hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\python,develop,776212,RyabovA,2023-11-26T15:37:37.000Z,265,,265,9,0,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775868,Bright_Translate,2023-11-26T10:00:02.000Z,2.3K,,2.3K,30,4,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\python,develop,776438,Alexander554,2023-11-26T08:31:12.000Z,4.1K,,4.1K,23,18,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,776262,DrArgentum,2023-11-24T16:04:48.000Z,4.3K,,4.3K,22,8,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,776170,badcasedaily1,2023-11-24T16:03:15.000Z,4.1K,,4.1K,78,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\python,develop,776220,Ryize,2023-11-24T13:40:43.000Z,872,,872,11,0,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775834,yadro_team,2023-11-24T09:20:00.000Z,4.4K,,4.4K,69,0,/ru/companies/yadro/articles/
D:\untitled3\.\hubs\python,develop,775870,slivka_83,2023-11-24T06:00:58.000Z,2.8K,,2.8K,37,16,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,773864,IPLATONI,2023-11-23T12:26:02.000Z,3.3K,,3.3K,25,9,/ru/companies/auriga/articles/
D:\untitled3\.\hubs\python,develop,775898,yt_xire,2023-11-23T10:18:37.000Z,3.7K,,3.7K,53,6,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775888,MaxRokatansky,2023-11-23T10:05:32.000Z,7.6K,,7.6K,60,10,/ru/companies/otus/articles/
D:\untitled3\.\hubs\python,develop,774806,CyberexTech,2023-11-23T08:01:01.000Z,4.3K,,4.3K,64,20,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\python,develop,775686,Yura_FX,2023-11-22T13:16:09.000Z,5.7K,,5.7K,35,27,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775630,Ryize,2023-11-22T10:22:36.000Z,1.8K,,1.8K,42,2,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,763270,na_hab,2023-11-22T07:01:02.000Z,1.8K,,1.8K,19,7,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\python,develop,775548,NewTechAudit,2023-11-22T06:12:17.000Z,20K,,20K,139,4,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,680060,Pavel_Dat,2023-11-21T21:28:45.000Z,4.7K,,4.7K,60,4,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775534,ValeryIvanov,2023-11-21T21:27:59.000Z,3K,,3K,29,2,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775464,DrArgentum,2023-11-21T15:30:38.000Z,5.6K,,5.6K,34,25,/ru/hubs/zadachki/
D:\untitled3\.\hubs\python,develop,774970,badcasedaily1,2023-11-21T13:10:24.000Z,3.1K,,3.1K,53,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\python,develop,775318,rikki_tikki,2023-11-21T09:08:09.000Z,1.7K,,1.7K,39,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\python,develop,775316,craxti,2023-11-21T09:01:19.000Z,3.3K,,3.3K,46,5,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774672,pomponchik,2023-11-21T07:30:01.000Z,6.4K,,6.4K,72,9,/ru/companies/vk/articles/
D:\untitled3\.\hubs\python,develop,774254,Morthan,2023-11-21T06:26:16.000Z,1.1K,,1.1K,22,0,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775052,mr-pickles,2023-11-20T09:01:06.000Z,21K,,21K,111,26,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\python,develop,775024,PatientZero,2023-11-20T08:10:20.000Z,2.7K,,2.7K,31,5,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,775032,DavidKharazian,2023-11-20T08:05:22.000Z,2.7K,,2.7K,39,4,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774754,rebuilder,2023-11-19T13:17:35.000Z,3.4K,,3.4K,34,38,/ru/hubs/hi/
D:\untitled3\.\hubs\python,develop,774918,DrArgentum,2023-11-19T11:05:38.000Z,9.6K,,9.6K,43,16,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774898,Ryize,2023-11-19T08:17:26.000Z,2.3K,,2.3K,46,1,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774870,Ryder95,2023-11-19T06:19:00.000Z,11K,,11K,64,30,/ru/hubs/open_source/
D:\untitled3\.\hubs\python,develop,774850,evia,2023-11-18T17:05:52.000Z,4K,,4K,57,15,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774840,pestich,2023-11-18T14:10:04.000Z,1.5K,,1.5K,32,0,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774582,vlakir,2023-11-17T10:22:44.000Z,7.5K,,7.5K,117,5,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774498,badcasedaily1,2023-11-17T09:55:26.000Z,4.7K,,4.7K,63,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\python,develop,774588,fenix1851,2023-11-17T09:30:57.000Z,7.4K,,7.4K,38,3,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774562,PlayingPlate6667,2023-11-17T08:30:53.000Z,3.4K,,3.4K,26,4,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,773420,fedorborovitsky,2023-11-17T06:23:38.000Z,4.6K,,4.6K,75,0,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\python,develop,774484,Ryize,2023-11-16T18:25:11.000Z,3.6K,,3.6K,58,8,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,774436,quanttelecom_ru,2023-11-16T15:14:16.000Z,5K,,5K,46,1,/ru/companies/quanttelecom/articles/
D:\untitled3\.\hubs\python,develop,774236,Ilya_Ryabov,2023-11-16T07:43:38.000Z,2K,,2K,14,6,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\python,develop,774146,Wladradchenko,2023-11-15T15:27:24.000Z,3.1K,,3.1K,59,10,/ru/hubs/open_source/
D:\untitled3\.\hubs\python,develop,773540,badcasedaily1,2023-11-15T11:56:39.000Z,4.6K,,4.6K,76,10,/ru/companies/otus/articles/
D:\untitled3\.\hubs\python,develop,774032,Aloxiy,2023-11-15T08:35:10.000Z,11K,,11K,97,12,/ru/hubs/python/
D:\untitled3\.\hubs\python,develop,773136,aszubarev,2023-11-15T08:00:03.000Z,2.2K,,2.2K,29,10,/ru/companies/domclick/articles/
