hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\qt_software,null,776190,DrArgentum,2023-11-24T12:16:09.000Z,4.8K,,4.8K,12,1,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,773300,kkmspb,2023-11-11T14:26:30.000Z,2.7K,,2.7K,18,7,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,772904,rikki_tikki,2023-11-09T12:39:33.000Z,2.3K,,2.3K,14,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\qt_software,null,772250,Digital_Design,2023-11-07T09:23:35.000Z,3.8K,,3.8K,16,13,/ru/companies/digdes/articles/
D:\untitled3\.\hubs\qt_software,null,771924,conelov,2023-11-04T15:43:37.000Z,2.4K,,2.4K,17,7,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,770302,Phoenix133,2023-10-27T12:33:32.000Z,3K,,3K,39,2,/ru/companies/raft/articles/
D:\untitled3\.\hubs\qt_software,null,761530,kkmspb,2023-10-25T19:32:47.000Z,9.3K,,9.3K,45,55,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,760912,IronMesh,2023-09-23T20:15:20.000Z,3.4K,,3.4K,17,7,/ru/hubs/python/
D:\untitled3\.\hubs\qt_software,null,760488,voznemozhno,2023-09-12T11:16:14.000Z,9K,,9K,59,40,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,751258,Quinekanc,2023-07-29T19:21:16.000Z,4.7K,,4.7K,40,15,/ru/hubs/python/
D:\untitled3\.\hubs\qt_software,null,748662,FirstJohn,2023-07-18T08:00:03.000Z,2K,,2K,10,0,/ru/companies/first/articles/
D:\untitled3\.\hubs\qt_software,null,741868,DungeonLords,2023-06-15T08:50:34.000Z,3.8K,,3.8K,25,1,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\qt_software,null,740054,sereje4kin,2023-06-07T05:19:36.000Z,10K,,10K,28,41,/ru/companies/2gis/articles/
D:\untitled3\.\hubs\qt_software,null,735716,mpolukarov,2023-05-23T09:12:59.000Z,7.2K,,7.2K,16,4,/ru/companies/vk/articles/
D:\untitled3\.\hubs\qt_software,null,736014,MaxRokatansky,2023-05-18T10:31:24.000Z,1.9K,,1.9K,6,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\qt_software,null,735204,MaxRokatansky,2023-05-15T12:39:47.000Z,3K,,3K,18,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\qt_software,null,734032,TheGast,2023-05-09T15:21:51.000Z,1.8K,,1.8K,10,0,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,733832,TheGast,2023-05-07T14:40:30.000Z,2K,,2K,11,2,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,733788,TheGast,2023-05-07T14:39:36.000Z,1.4K,,1.4K,6,0,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,727288,Aelentux,2023-04-05T21:30:41.000Z,2.1K,,2.1K,12,9,/ru/companies/stc_spb/articles/
D:\untitled3\.\hubs\qt_software,null,726604,GendOSIC,2023-04-05T07:54:28.000Z,4.1K,,4.1K,9,6,/ru/companies/vk/articles/
D:\untitled3\.\hubs\qt_software,null,721080,IronMesh,2023-03-08T10:09:09.000Z,3.6K,,3.6K,23,2,/ru/hubs/python/
D:\untitled3\.\hubs\qt_software,null,720716,kkmspb,2023-03-06T10:56:46.000Z,2.3K,,2.3K,9,7,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,719888,Kapping,2023-03-01T23:07:08.000Z,8.1K,,8.1K,63,15,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,712328,TheGast,2023-01-23T14:59:39.000Z,1.7K,,1.7K,7,2,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,710656,TheGast,2023-01-15T07:47:22.000Z,1.6K,,1.6K,11,0,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,710550,TheGast,2023-01-14T04:29:54.000Z,2.2K,,2.2K,8,2,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,710368,TheGast,2023-01-13T02:52:17.000Z,2K,,2K,16,2,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,709768,TheGast,2023-01-10T04:13:09.000Z,4.5K,,4.5K,31,0,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,709064,mapron,2023-01-04T07:05:45.000Z,26K,,26K,60,31,/ru/hubs/programming/
D:\untitled3\.\hubs\qt_software,null,705086,IronMesh,2022-12-13T01:45:48.000Z,5.8K,,5.8K,27,10,/ru/hubs/python/
D:\untitled3\.\hubs\qt_software,null,701382,mpolukarov,2022-11-25T09:20:59.000Z,12K,,12K,80,8,/ru/companies/vk/articles/
D:\untitled3\.\hubs\qt_software,null,700888,nikitakruglovx,2022-11-22T11:56:59.000Z,8.9K,,8.9K,56,7,/ru/hubs/python/
D:\untitled3\.\hubs\qt_software,null,700788,KindCat,2022-11-22T07:44:14.000Z,5K,,5K,25,21,/ru/hubs/python/
D:\untitled3\.\hubs\qt_software,null,696574,omprussia,2022-10-31T14:59:55.000Z,20K,,20K,31,13,/ru/companies/omprussia/articles/
D:\untitled3\.\hubs\qt_software,null,695432,dmitryvolochaev,2022-10-26T12:29:56.000Z,3K,,3K,8,2,/ru/companies/auriga/articles/
D:\untitled3\.\hubs\qt_software,null,692496,ujifman,2022-10-11T10:46:27.000Z,12K,,12K,56,16,/ru/hubs/cpp/
D:\untitled3\.\hubs\qt_software,null,691200,mpolukarov,2022-10-11T10:41:50.000Z,20K,,20K,89,7,/ru/companies/vk/articles/
