hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\quantum,null,774948,OlegSivchenko,2023-11-19T17:05:04.000Z,6.8K,,6.8K,19,60,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,774004,quantum-alex,2023-11-15T07:32:05.000Z,4.7K,,4.7K,25,1,/ru/hubs/algorithms/
D:\untitled3\.\hubs\quantum,null,773074,dprotopopov,2023-11-10T08:16:53.000Z,1K,,1K,12,24,/ru/hubs/crypto/
D:\untitled3\.\hubs\quantum,null,772722,dprotopopov,2023-11-08T23:21:20.000Z,1.4K,,1.4K,13,1,/ru/hubs/programming/
D:\untitled3\.\hubs\quantum,null,772378,hse_spb,2023-11-07T13:59:33.000Z,6.1K,,6.1K,16,0,/ru/companies/hsespb/articles/
D:\untitled3\.\hubs\quantum,null,772172,dprotopopov,2023-11-07T03:11:15.000Z,3.1K,,3.1K,27,23,/ru/hubs/crypto/
D:\untitled3\.\hubs\quantum,null,769954,java_prog,2023-11-03T08:57:06.000Z,8.8K,,8.8K,52,8,/ru/hubs/algorithms/
D:\untitled3\.\hubs\quantum,null,771480,Infotecs_official,2023-11-02T10:38:02.000Z,8.5K,,8.5K,8,24,/ru/companies/infotecs_official/articles/
D:\untitled3\.\hubs\quantum,null,770956,itglobalcom,2023-10-31T10:00:02.000Z,2.2K,,2.2K,10,4,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\quantum,null,769228,FirstJohn,2023-10-27T08:02:01.000Z,1.5K,,1.5K,19,0,/ru/companies/first/articles/
D:\untitled3\.\hubs\quantum,null,769764,dionisdimetor,2023-10-25T07:48:20.000Z,6.1K,,6.1K,26,5,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,769148,dprotopopov,2023-10-22T18:15:24.000Z,2K,,2K,14,3,/ru/hubs/crypto/
D:\untitled3\.\hubs\quantum,null,768768,Selishcheva,2023-10-20T09:01:31.000Z,1K,,1K,5,0,/ru/companies/misis/articles/
D:\untitled3\.\hubs\quantum,null,768666,dprotopopov,2023-10-19T16:59:19.000Z,4.3K,,4.3K,28,4,/ru/hubs/crypto/
D:\untitled3\.\hubs\quantum,null,760962,java_prog,2023-10-17T08:39:06.000Z,8.3K,,8.3K,35,5,/ru/hubs/algorithms/
D:\untitled3\.\hubs\quantum,null,767288,sacredtree,2023-10-14T07:29:02.000Z,5.5K,,5.5K,24,3,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\quantum,null,766512,dprotopopov,2023-10-10T12:18:13.000Z,2.2K,,2.2K,8,3,/ru/hubs/programming/
D:\untitled3\.\hubs\quantum,null,766502,dionisdimetor,2023-10-10T11:33:18.000Z,2K,,2K,18,6,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,766280,Dan_Melnikov,2023-10-09T12:53:06.000Z,1.4K,,1.4K,12,0,/ru/companies/domrf/articles/
D:\untitled3\.\hubs\quantum,null,765480,AleksandrTallinn,2023-10-05T07:31:52.000Z,23K,,23K,32,91,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,764018,dionisdimetor,2023-09-28T06:14:04.000Z,9.8K,,9.8K,36,10,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,761440,dionisdimetor,2023-09-16T08:07:59.000Z,18K,,18K,47,18,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,761222,sacredtree,2023-09-15T07:52:58.000Z,891,,891,3,0,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\quantum,null,760900,SLY_G,2023-09-13T18:25:12.000Z,4.3K,,4.3K,31,9,/ru/hubs/popular_science/
D:\untitled3\.\hubs\quantum,null,760548,Dan_Melnikov,2023-09-12T14:30:31.000Z,2.8K,,2.8K,16,13,/ru/companies/domrf/articles/
D:\untitled3\.\hubs\quantum,null,758540,java_prog,2023-09-08T10:16:28.000Z,3.5K,,3.5K,35,2,/ru/hubs/algorithms/
D:\untitled3\.\hubs\quantum,null,759352,dprotopopov,2023-09-06T17:28:27.000Z,4.7K,,4.7K,27,6,/ru/hubs/programming/
D:\untitled3\.\hubs\quantum,null,759208,sacredtree,2023-09-06T08:49:36.000Z,1.6K,,1.6K,8,1,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\quantum,null,758850,IgnatChuker,2023-09-04T15:15:03.000Z,1.4K,,1.4K,4,3,/ru/hubs/infosecurity/
