hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\r,develop,772188,Dad0va,2023-11-07T06:30:32.000Z,1.2K,,1.2K,13,6,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,763112,acheremuhin,2023-09-24T18:27:55.000Z,710,,710,4,0,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,757210,acheremuhin,2023-08-27T16:56:14.000Z,912,,912,3,2,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,757102,ptr128,2023-08-26T13:00:00.000Z,3K,,3K,33,23,/ru/hubs/postgresql/
D:\untitled3\.\hubs\r,develop,755642,badcasedaily1,2023-08-24T09:55:36.000Z,2K,,2K,29,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\r,develop,754316,v0br23,2023-08-19T00:19:10.000Z,1.2K,,1.2K,14,0,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,750660,badcasedaily1,2023-07-27T08:52:30.000Z,727,,727,12,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\r,develop,750648,acheremuhin,2023-07-26T19:20:16.000Z,452,,452,1,0,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,729766,itmo,2023-04-18T09:30:01.000Z,1.1K,,1.1K,8,6,/ru/companies/spbifmo/articles/
D:\untitled3\.\hubs\r,develop,729268,Marousssya,2023-04-15T06:45:35.000Z,3K,,3K,15,10,/ru/hubs/bigdata/
D:\untitled3\.\hubs\r,develop,723866,Blastim,2023-03-21T17:51:38.000Z,2.9K,,2.9K,27,6,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,723882,MaxRokatansky,2023-03-21T15:27:00.000Z,7.4K,,7.4K,28,6,/ru/companies/otus/articles/
D:\untitled3\.\hubs\r,develop,722654,Abby_Baby,2023-03-15T18:24:26.000Z,2.4K,,2.4K,17,0,/ru/hubs/data_mining/
D:\untitled3\.\hubs\r,develop,720762,MaxRokatansky,2023-03-06T12:48:44.000Z,1.6K,,1.6K,9,2,/ru/companies/otus/articles/
D:\untitled3\.\hubs\r,develop,718884,acheremuhin,2023-02-24T19:14:37.000Z,1.2K,,1.2K,12,2,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,718400,GolovinDS,2023-02-21T15:40:40.000Z,1.7K,,1.7K,21,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\r,develop,716672,Abby_Baby,2023-02-13T19:07:08.000Z,1.1K,,1.1K,6,2,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,712408,i_shutov,2023-01-24T07:09:18.000Z,2.9K,,2.9K,19,2,/ru/hubs/data_mining/
D:\untitled3\.\hubs\r,develop,710154,KirovDoc,2023-01-11T16:18:57.000Z,3.4K,,3.4K,38,15,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,709050,KirovDoc,2023-01-03T19:47:45.000Z,12K,,12K,70,67,/ru/hubs/r/
D:\untitled3\.\hubs\r,develop,702210,ma_gera,2022-11-29T07:58:39.000Z,2K,,2K,10,0,/ru/hubs/python/
D:\untitled3\.\hubs\r,develop,699090,Al-Capona,2022-11-13T18:59:23.000Z,2.8K,,2.8K,12,4,/ru/hubs/complete_code/
D:\untitled3\.\hubs\r,develop,691998,PatientZero,2022-10-07T10:35:41.000Z,20K,,20K,72,22,/ru/hubs/geo_systems/
