hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\raspberrypi,null,776212,RyabovA,2023-11-26T15:37:37.000Z,339,,339,10,0,without_company
D:\untitled3\.\hubs\raspberrypi,null,774926,antex_dom,2023-11-20T08:03:00.000Z,9.7K,,9.7K,44,34,without_company
D:\untitled3\.\hubs\raspberrypi,null,773110,BiktorSergeev,2023-11-10T10:01:50.000Z,5.1K,,5.1K,22,5,without_company
D:\untitled3\.\hubs\raspberrypi,null,770722,RyabovA,2023-11-06T11:46:12.000Z,6.2K,,6.2K,67,21,without_company
D:\untitled3\.\hubs\raspberrypi,null,771680,BiktorSergeev,2023-11-03T07:52:26.000Z,3.8K,,3.8K,21,0,without_company
D:\untitled3\.\hubs\raspberrypi,null,769958,don_alex_88,2023-10-25T18:16:26.000Z,6.4K,,6.4K,78,9,without_company
D:\untitled3\.\hubs\raspberrypi,null,769008,IvanGrigorjev,2023-10-21T13:22:49.000Z,1.8K,,1.8K,8,7,without_company
D:\untitled3\.\hubs\raspberrypi,null,766922,divolko3,2023-10-12T07:31:54.000Z,15K,,15K,25,14,without_company
D:\untitled3\.\hubs\raspberrypi,null,766054,oWart,2023-10-09T08:01:12.000Z,4.4K,,4.4K,19,15,without_company
D:\untitled3\.\hubs\raspberrypi,null,765430,Bright_Translate,2023-10-08T10:00:02.000Z,20K,,20K,71,30,without_company
D:\untitled3\.\hubs\raspberrypi,null,763996,deema35,2023-09-28T01:40:28.000Z,5K,,5K,64,17,without_company
D:\untitled3\.\hubs\raspberrypi,null,762214,zoldaten,2023-09-21T09:37:03.000Z,3K,,3K,19,9,without_company
D:\untitled3\.\hubs\raspberrypi,null,761416,v-milenin,2023-09-19T21:19:39.000Z,6.2K,,6.2K,64,15,without_company
D:\untitled3\.\hubs\raspberrypi,null,752412,RyabovA,2023-09-14T12:58:36.000Z,2.6K,,2.6K,48,5,without_company
D:\untitled3\.\hubs\raspberrypi,null,758676,DRoman0v,2023-09-03T23:24:45.000Z,5.8K,,5.8K,27,11,without_company
D:\untitled3\.\hubs\raspberrypi,null,758234,Andrey_Biryukov,2023-09-02T09:53:01.000Z,6.5K,,6.5K,53,5,without_company
D:\untitled3\.\hubs\raspberrypi,null,757522,RyabovA,2023-08-29T02:04:40.000Z,2K,,2K,28,1,without_company
D:\untitled3\.\hubs\raspberrypi,null,756980,tarasov999,2023-08-25T14:26:27.000Z,4.4K,,4.4K,27,28,without_company
D:\untitled3\.\hubs\raspberrypi,null,750222,RyabovA,2023-08-22T11:07:16.000Z,7.7K,,7.7K,54,8,without_company
D:\untitled3\.\hubs\raspberrypi,null,754496,geoink,2023-08-14T13:38:27.000Z,3.4K,,3.4K,50,4,without_company
D:\untitled3\.\hubs\raspberrypi,null,753834,xeovo,2023-08-10T14:25:15.000Z,83K,,83K,366,114,without_company
D:\untitled3\.\hubs\raspberrypi,null,753590,BiktorSergeev,2023-08-09T14:41:56.000Z,6.2K,,6.2K,36,6,without_company
D:\untitled3\.\hubs\raspberrypi,null,752256,Albert_Wesker,2023-08-08T08:01:02.000Z,4.2K,,4.2K,46,19,without_company
D:\untitled3\.\hubs\raspberrypi,null,751832,windoozatnick,2023-08-01T15:35:16.000Z,3.4K,,3.4K,21,24,without_company
D:\untitled3\.\hubs\raspberrypi,null,750108,bodyawm,2023-07-27T08:01:08.000Z,8.1K,,8.1K,57,84,without_company
D:\untitled3\.\hubs\raspberrypi,null,750190,ru_vds,2023-07-26T09:00:01.000Z,15K,,15K,65,43,without_company
D:\untitled3\.\hubs\raspberrypi,null,749550,don_alex_88,2023-07-21T10:27:24.000Z,3.3K,,3.3K,41,5,without_company
D:\untitled3\.\hubs\raspberrypi,null,749284,k0mar0v,2023-07-20T09:21:56.000Z,3.7K,,3.7K,21,7,without_company
D:\untitled3\.\hubs\raspberrypi,null,746696,Seleditor,2023-07-07T20:58:52.000Z,8.1K,,8.1K,38,15,without_company
D:\untitled3\.\hubs\raspberrypi,null,744810,RyabovA,2023-07-06T10:25:51.000Z,11K,,11K,80,68,without_company
D:\untitled3\.\hubs\raspberrypi,null,745608,don_alex_88,2023-07-03T14:44:02.000Z,13K,,13K,69,20,without_company
D:\untitled3\.\hubs\raspberrypi,null,744648,Bright_Translate,2023-07-02T10:00:02.000Z,12K,,12K,50,54,without_company
D:\untitled3\.\hubs\raspberrypi,null,743510,divolko3,2023-06-23T09:15:20.000Z,10K,,10K,27,14,without_company
D:\untitled3\.\hubs\raspberrypi,null,743424,AMV007,2023-06-22T18:20:07.000Z,12K,,12K,82,19,without_company
D:\untitled3\.\hubs\raspberrypi,null,743218,nckma,2023-06-22T08:04:50.000Z,2.6K,,2.6K,16,4,without_company
D:\untitled3\.\hubs\raspberrypi,null,741362,FirstJohn,2023-06-13T07:58:39.000Z,4.9K,,4.9K,31,31,without_company
D:\untitled3\.\hubs\raspberrypi,null,740472,Bright_Translate,2023-06-10T14:00:01.000Z,31K,,31K,120,50,without_company
D:\untitled3\.\hubs\raspberrypi,null,736456,RyabovA,2023-06-03T18:57:11.000Z,6.8K,,6.8K,43,7,without_company
D:\untitled3\.\hubs\raspberrypi,null,739282,MarkParker5,2023-06-01T14:59:26.000Z,3.3K,,3.3K,11,2,without_company
D:\untitled3\.\hubs\raspberrypi,null,737680,tgeshka,2023-05-30T23:58:10.000Z,20K,,20K,41,8,without_company
D:\untitled3\.\hubs\raspberrypi,null,737948,RyabovA,2023-05-27T18:38:37.000Z,5.8K,,5.8K,41,16,without_company
D:\untitled3\.\hubs\raspberrypi,null,737998,Seleditor,2023-05-27T12:41:15.000Z,8.6K,,8.6K,35,0,without_company
D:\untitled3\.\hubs\raspberrypi,null,737724,MarkParker5,2023-05-26T06:02:40.000Z,2.5K,,2.5K,10,1,without_company
D:\untitled3\.\hubs\raspberrypi,null,735754,DungeonLords,2023-05-17T12:31:38.000Z,3.1K,,3.1K,39,1,without_company
D:\untitled3\.\hubs\raspberrypi,null,735408,DungeonLords,2023-05-16T09:51:58.000Z,6.1K,,6.1K,56,7,without_company
D:\untitled3\.\hubs\raspberrypi,null,734724,JustJeremy,2023-05-12T11:51:59.000Z,18K,,18K,154,26,without_company
D:\untitled3\.\hubs\raspberrypi,null,733242,udvnl,2023-05-05T07:01:26.000Z,3.3K,,3.3K,25,4,without_company
D:\untitled3\.\hubs\raspberrypi,null,731704,oWart,2023-04-26T08:35:17.000Z,10K,,10K,69,38,without_company
D:\untitled3\.\hubs\raspberrypi,null,730606,sdy,2023-04-21T04:50:02.000Z,4.6K,,4.6K,38,11,without_company
D:\untitled3\.\hubs\raspberrypi,null,728560,JetHabr,2023-04-12T08:57:32.000Z,11K,,11K,84,19,without_company
D:\untitled3\.\hubs\raspberrypi,null,723334,rsashka,2023-03-24T14:24:58.000Z,6.5K,,6.5K,41,15,without_company
D:\untitled3\.\hubs\raspberrypi,null,722398,Greiv656,2023-03-20T20:59:22.000Z,14K,,14K,46,7,without_company
