hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\read,null,776468,AKlimenkov,2023-11-26T14:12:05.000Z,1.8K,,1.8K,13,8,/ru/hubs/gtd/
D:\untitled3\.\hubs\read,null,776476,Terentew,2023-11-26T14:04:59.000Z,1.4K,,1.4K,7,2,/ru/hubs/read/
D:\untitled3\.\hubs\read,null,776448,JetHabr,2023-11-26T10:29:05.000Z,804,,804,1,1,/ru/companies/jetinfosystems/articles/
D:\untitled3\.\hubs\read,null,776364,rpiontik,2023-11-25T21:01:48.000Z,15K,,15K,19,29,/ru/hubs/read/
D:\untitled3\.\hubs\read,null,776084,Erwinmal,2023-11-25T10:00:02.000Z,6K,,6K,27,13,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\read,null,776210,OldfagGamer,2023-11-25T08:03:42.000Z,1.6K,,1.6K,4,3,/ru/hubs/gamedev/
D:\untitled3\.\hubs\read,null,776276,GeeksCat,2023-11-25T08:01:02.000Z,2K,,2K,10,0,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\read,null,776226,Oksana_Nedvigina,2023-11-24T13:53:02.000Z,1.3K,,1.3K,19,3,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\read,null,775322,beeline_cloud,2023-11-21T09:12:04.000Z,703,,703,4,2,/ru/companies/beeline_cloud/articles/
D:\untitled3\.\hubs\read,null,774966,GeeksCat,2023-11-20T08:01:02.000Z,6.5K,,6.5K,32,54,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\read,null,774936,saipr,2023-11-19T14:43:14.000Z,5.4K,,5.4K,33,11,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\read,null,774930,arheo_pterix,2023-11-19T14:15:15.000Z,24K,,24K,47,54,/ru/hubs/read/
D:\untitled3\.\hubs\read,null,774764,OldfagGamer,2023-11-19T08:01:02.000Z,5.4K,,5.4K,17,25,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\read,null,774010,Erwinmal,2023-11-18T10:00:02.000Z,9.5K,,9.5K,59,34,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\read,null,774780,oleg_rico,2023-11-18T02:02:47.000Z,9.6K,,9.6K,41,148,/ru/hubs/read/
D:\untitled3\.\hubs\read,null,774430,sokolovps,2023-11-16T14:24:57.000Z,1.8K,,1.8K,13,5,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\read,null,774394,anastasiy_y,2023-11-16T13:00:07.000Z,4.3K,,4.3K,40,6,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\read,null,773352,OldfagGamer,2023-11-12T08:00:01.000Z,9.2K,,9.2K,12,22,/ru/hubs/read/
D:\untitled3\.\hubs\read,null,773014,Erwinmal,2023-11-11T10:00:02.000Z,16K,,16K,29,40,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\read,null,773226,GeeksCat,2023-11-11T08:01:02.000Z,5.4K,,5.4K,29,6,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\read,null,773184,gregyku,2023-11-10T14:33:49.000Z,1.4K,,1.4K,20,0,/ru/companies/onlinepatent/articles/
D:\untitled3\.\hubs\read,null,771836,jobgemws,2023-11-10T08:00:01.000Z,1K,,1K,9,2,/ru/hubs/read/
