hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\refactoring,null,776326,dzot_dev,2023-11-25T07:00:21.000Z,8.8K,,8.8K,92,1,without_company
D:\untitled3\.\hubs\refactoring,null,776170,badcasedaily1,2023-11-24T16:03:15.000Z,4.2K,,4.2K,78,2,without_company
D:\untitled3\.\hubs\refactoring,null,776194,mc_nick,2023-11-24T12:33:16.000Z,11K,,11K,25,35,without_company
D:\untitled3\.\hubs\refactoring,null,775332,Andrey2008,2023-11-21T09:33:46.000Z,1.8K,,1.8K,7,12,without_company
D:\untitled3\.\hubs\refactoring,null,774722,zloddey,2023-11-20T08:28:38.000Z,6.8K,,6.8K,86,14,without_company
D:\untitled3\.\hubs\refactoring,null,774856,AnimeSlave,2023-11-18T18:52:59.000Z,9K,,9K,42,16,without_company
D:\untitled3\.\hubs\refactoring,null,770912,devalio,2023-11-15T08:01:01.000Z,7.8K,,7.8K,89,20,without_company
D:\untitled3\.\hubs\refactoring,null,773330,Hardelele,2023-11-11T20:47:19.000Z,1.9K,,1.9K,11,2,without_company
D:\untitled3\.\hubs\refactoring,null,773310,Hardelele,2023-11-11T15:31:27.000Z,4.3K,,4.3K,45,2,without_company
D:\untitled3\.\hubs\refactoring,null,773292,dalerank,2023-11-11T12:47:24.000Z,10K,,10K,36,40,without_company
D:\untitled3\.\hubs\refactoring,null,772730,jdev,2023-11-09T04:28:50.000Z,11K,,11K,47,56,without_company
D:\untitled3\.\hubs\refactoring,null,770606,badcasedaily1,2023-11-07T14:26:38.000Z,4.7K,,4.7K,64,6,without_company
D:\untitled3\.\hubs\refactoring,null,772162,vldmrmlkv,2023-11-07T07:30:01.000Z,4.9K,,4.9K,47,0,without_company
D:\untitled3\.\hubs\refactoring,null,771608,rpiontik,2023-11-02T18:59:40.000Z,13K,,13K,92,29,without_company
D:\untitled3\.\hubs\refactoring,null,770544,EvgeniiGerasin,2023-10-29T18:21:16.000Z,1.3K,,1.3K,15,3,without_company
D:\untitled3\.\hubs\refactoring,null,770248,badcasedaily1,2023-10-27T10:34:34.000Z,3.2K,,3.2K,49,3,without_company
D:\untitled3\.\hubs\refactoring,null,769386,TechThink,2023-10-27T07:12:57.000Z,7.4K,,7.4K,53,11,without_company
D:\untitled3\.\hubs\refactoring,null,770226,katherine_a,2023-10-27T05:37:01.000Z,22K,,22K,193,302,without_company
D:\untitled3\.\hubs\refactoring,null,769636,ak_khudyakov,2023-10-25T06:05:21.000Z,951,,951,10,0,without_company
D:\untitled3\.\hubs\refactoring,null,769460,xngel,2023-10-24T06:55:42.000Z,4.7K,,4.7K,56,17,without_company
D:\untitled3\.\hubs\refactoring,null,768936,ElonReeveMusk,2023-10-20T19:25:26.000Z,4.7K,,4.7K,13,8,without_company
D:\untitled3\.\hubs\refactoring,null,768220,badcasedaily1,2023-10-20T15:23:02.000Z,2.6K,,2.6K,50,2,without_company
D:\untitled3\.\hubs\refactoring,null,767724,badcasedaily1,2023-10-19T14:57:23.000Z,14K,,14K,141,10,without_company
D:\untitled3\.\hubs\refactoring,null,768298,ru_vds,2023-10-18T13:00:01.000Z,49K,,49K,176,77,without_company
D:\untitled3\.\hubs\refactoring,null,766672,badcasedaily1,2023-10-16T11:45:39.000Z,7.2K,,7.2K,62,1,without_company
D:\untitled3\.\hubs\refactoring,null,767118,badcasedaily1,2023-10-13T09:54:03.000Z,1.1K,,1.1K,26,2,without_company
D:\untitled3\.\hubs\refactoring,null,767042,quorcs,2023-10-12T12:13:14.000Z,4.3K,,4.3K,22,18,without_company
D:\untitled3\.\hubs\refactoring,null,766088,flancer,2023-10-08T15:54:35.000Z,7.5K,,7.5K,39,42,without_company
D:\untitled3\.\hubs\refactoring,null,764902,badcasedaily1,2023-10-03T11:22:15.000Z,6.9K,,6.9K,120,5,without_company
D:\untitled3\.\hubs\refactoring,null,765028,undeadlol1,2023-10-03T09:43:43.000Z,10K,,10K,31,67,without_company
D:\untitled3\.\hubs\refactoring,null,764136,badcasedaily1,2023-09-28T12:44:00.000Z,5.6K,,5.6K,108,0,without_company
D:\untitled3\.\hubs\refactoring,null,763158,badcasedaily1,2023-09-25T10:47:34.000Z,13K,,13K,148,6,without_company
D:\untitled3\.\hubs\refactoring,null,762574,1CUnlimited,2023-09-21T11:41:11.000Z,3K,,3K,13,5,without_company
D:\untitled3\.\hubs\refactoring,null,760928,katherine_a,2023-09-15T05:23:01.000Z,12K,,12K,80,6,without_company
