hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\remote,null,775462,Startup_visa_Spain,2023-11-21T15:17:58.000Z,2.9K,,2.9K,21,5,without_company
D:\untitled3\.\hubs\remote,null,775370,lichnost,2023-11-21T11:00:02.000Z,12K,,12K,34,10,without_company
D:\untitled3\.\hubs\remote,null,775026,IT_princess,2023-11-20T08:02:19.000Z,19K,,19K,26,21,without_company
D:\untitled3\.\hubs\remote,null,774860,Mr_Volkula,2023-11-18T19:53:02.000Z,21K,,21K,88,97,without_company
D:\untitled3\.\hubs\remote,null,774704,MegaplanCEO,2023-11-17T14:02:24.000Z,4.6K,,4.6K,14,3,without_company
D:\untitled3\.\hubs\remote,null,774246,JetHabr,2023-11-16T08:10:09.000Z,4K,,4K,14,4,without_company
D:\untitled3\.\hubs\remote,null,773224,biz-l,2023-11-10T19:19:26.000Z,2.3K,,2.3K,8,21,without_company
D:\untitled3\.\hubs\remote,null,765616,shpringer,2023-11-09T16:01:47.000Z,3.6K,,3.6K,9,4,without_company
D:\untitled3\.\hubs\remote,null,772724,Kiel,2023-11-09T10:40:25.000Z,2.2K,,2.2K,11,9,without_company
D:\untitled3\.\hubs\remote,null,772694,grokru,2023-11-08T16:10:26.000Z,7.9K,,7.9K,37,11,without_company
D:\untitled3\.\hubs\remote,null,772236,novikovalegal,2023-11-07T12:14:04.000Z,7.8K,,7.8K,47,53,without_company
D:\untitled3\.\hubs\remote,null,769868,titanium007,2023-10-26T15:41:50.000Z,5K,,5K,54,13,without_company
D:\untitled3\.\hubs\remote,null,769184,blognetology,2023-10-24T11:47:02.000Z,13K,,13K,34,16,without_company
D:\untitled3\.\hubs\remote,null,769078,ocaseyclub,2023-10-22T08:15:48.000Z,8.6K,,8.6K,37,0,without_company
D:\untitled3\.\hubs\remote,null,768332,krumpans,2023-10-21T08:07:05.000Z,8.5K,,8.5K,38,20,without_company
D:\untitled3\.\hubs\remote,null,768966,novikovalegal,2023-10-21T07:58:06.000Z,4.5K,,4.5K,36,23,without_company
D:\untitled3\.\hubs\remote,null,767776,Maxilect,2023-10-16T12:37:38.000Z,49K,,49K,69,260,without_company
D:\untitled3\.\hubs\remote,null,767216,madbrains,2023-10-13T09:21:05.000Z,640,,640,4,2,without_company
D:\untitled3\.\hubs\remote,null,766746,Daria09,2023-10-12T11:22:40.000Z,16K,,16K,98,15,without_company
D:\untitled3\.\hubs\remote,null,766982,CloudMTS,2023-10-12T10:10:41.000Z,2.5K,,2.5K,17,1,without_company
D:\untitled3\.\hubs\remote,null,765358,Pany-Any,2023-10-04T15:56:30.000Z,1.8K,,1.8K,16,0,without_company
D:\untitled3\.\hubs\remote,null,762496,SearchInform_team,2023-09-21T08:45:17.000Z,1.5K,,1.5K,6,1,without_company
D:\untitled3\.\hubs\remote,null,760386,bapxat,2023-09-12T11:48:22.000Z,6.5K,,6.5K,45,30,without_company
D:\untitled3\.\hubs\remote,null,759442,AlexandraPurgina,2023-09-12T10:05:51.000Z,14K,,14K,77,29,without_company
D:\untitled3\.\hubs\remote,null,760102,jacksparrow,2023-09-11T06:00:01.000Z,7.8K,,7.8K,22,10,without_company
D:\untitled3\.\hubs\remote,null,759730,Maxilect,2023-09-08T10:02:02.000Z,5.2K,,5.2K,21,8,without_company
D:\untitled3\.\hubs\remote,null,759590,wildetech,2023-09-07T16:15:01.000Z,8.4K,,8.4K,24,28,without_company
D:\untitled3\.\hubs\remote,null,758974,EvaTeam,2023-09-05T09:09:59.000Z,19K,,19K,28,77,without_company
D:\untitled3\.\hubs\remote,null,757920,Cruniac,2023-08-30T12:27:36.000Z,36K,,36K,237,32,without_company
D:\untitled3\.\hubs\remote,null,756912,ekaterina_merkusheva,2023-08-25T09:42:20.000Z,7.1K,,7.1K,24,84,without_company
D:\untitled3\.\hubs\remote,null,756204,itoster,2023-08-22T12:43:30.000Z,8.6K,,8.6K,22,60,without_company
D:\untitled3\.\hubs\remote,null,756134,Denis_Chernobaev,2023-08-22T10:22:39.000Z,3.3K,,3.3K,23,13,without_company
D:\untitled3\.\hubs\remote,null,755404,yanorm,2023-08-19T09:00:01.000Z,4.5K,,4.5K,47,3,without_company
D:\untitled3\.\hubs\remote,null,755490,Ekaterina_Severnaja,2023-08-18T12:05:59.000Z,31K,,31K,42,21,without_company
D:\untitled3\.\hubs\remote,null,754980,jaroslau,2023-08-16T10:49:01.000Z,26K,,26K,113,114,without_company
D:\untitled3\.\hubs\remote,null,754850,TAU15,2023-08-15T19:50:02.000Z,7.9K,,7.9K,17,8,without_company
D:\untitled3\.\hubs\remote,null,754644,m-sorvachev,2023-08-15T07:31:13.000Z,1.4K,,1.4K,6,1,without_company
D:\untitled3\.\hubs\remote,null,753698,SmartLockMaster,2023-08-10T06:41:38.000Z,2K,,2K,6,3,without_company
D:\untitled3\.\hubs\remote,null,753592,Rembo123,2023-08-09T14:56:55.000Z,3.5K,,3.5K,10,30,without_company
D:\untitled3\.\hubs\remote,null,752726,Kirkickiy,2023-08-06T07:00:14.000Z,11K,,11K,46,22,without_company
D:\untitled3\.\hubs\remote,null,752192,lesallaydialog,2023-08-04T09:30:01.000Z,975,,975,5,1,without_company
D:\untitled3\.\hubs\remote,null,752396,titanium007,2023-08-03T21:11:35.000Z,35K,,35K,56,453,without_company
D:\untitled3\.\hubs\remote,null,752260,Maxilect,2023-08-03T11:58:41.000Z,8.3K,,8.3K,15,39,without_company
D:\untitled3\.\hubs\remote,null,751420,Golub,2023-07-31T07:23:18.000Z,21K,,21K,34,26,without_company
D:\untitled3\.\hubs\remote,null,751070,alicezavels,2023-07-28T12:16:41.000Z,12K,,12K,86,9,without_company
D:\untitled3\.\hubs\remote,null,750506,rumin_v_rabote,2023-07-26T10:15:04.000Z,11K,,11K,50,23,without_company
D:\untitled3\.\hubs\remote,null,750410,rumin_v_rabote,2023-07-26T08:03:59.000Z,1.9K,,1.9K,8,3,without_company
D:\untitled3\.\hubs\remote,null,749936,katya_sergeeva,2023-07-24T09:46:42.000Z,4.3K,,4.3K,17,9,without_company
D:\untitled3\.\hubs\remote,null,749630,roman_logo,2023-07-21T14:34:12.000Z,2.1K,,2.1K,12,5,without_company
D:\untitled3\.\hubs\remote,null,748426,Artezio_team,2023-07-18T07:01:04.000Z,2.3K,,2.3K,28,0,without_company
D:\untitled3\.\hubs\remote,null,747874,Agn1986,2023-07-13T14:45:20.000Z,1K,,1K,7,2,without_company
D:\untitled3\.\hubs\remote,null,747708,maxnechaev,2023-07-13T06:04:33.000Z,4.8K,,4.8K,26,12,without_company
D:\untitled3\.\hubs\remote,null,745634,lesallaydialog,2023-07-10T08:03:08.000Z,3.1K,,3.1K,5,3,without_company
D:\untitled3\.\hubs\remote,null,744272,VladimirBrejcha,2023-06-27T14:17:09.000Z,5.8K,,5.8K,39,11,without_company
D:\untitled3\.\hubs\remote,null,744250,nadya-t,2023-06-27T13:06:45.000Z,1.9K,,1.9K,22,0,without_company
D:\untitled3\.\hubs\remote,null,743092,lesallaydialog,2023-06-22T12:03:55.000Z,4.2K,,4.2K,12,15,without_company
D:\untitled3\.\hubs\remote,null,741220,ryazanov-space,2023-06-12T09:28:29.000Z,7.7K,,7.7K,55,20,without_company
D:\untitled3\.\hubs\remote,null,740920,dp1976,2023-06-09T10:40:25.000Z,17K,,17K,26,38,without_company
D:\untitled3\.\hubs\remote,null,740192,gserge,2023-06-08T06:21:01.000Z,8.2K,,8.2K,42,2,without_company
D:\untitled3\.\hubs\remote,null,739278,a1eksei,2023-06-01T14:33:53.000Z,13K,,13K,66,21,without_company
D:\untitled3\.\hubs\remote,null,738926,MISYar,2023-06-01T10:52:06.000Z,4.7K,,4.7K,19,2,without_company
D:\untitled3\.\hubs\remote,null,739158,Rr-r,2023-06-01T10:09:21.000Z,8K,,8K,27,6,without_company
D:\untitled3\.\hubs\remote,null,738420,NatKul,2023-05-29T19:48:12.000Z,4.2K,,4.2K,24,8,without_company
D:\untitled3\.\hubs\remote,null,737580,Alekseipromopoisk,2023-05-29T06:19:43.000Z,2.3K,,2.3K,8,14,without_company
D:\untitled3\.\hubs\remote,null,737874,lesallaydialog,2023-05-26T13:21:37.000Z,2.5K,,2.5K,9,2,without_company
D:\untitled3\.\hubs\remote,null,737878,kristina_29,2023-05-26T12:51:44.000Z,16K,,16K,100,66,without_company
D:\untitled3\.\hubs\remote,null,737736,blognetology,2023-05-26T07:34:04.000Z,5.9K,,5.9K,35,3,without_company
D:\untitled3\.\hubs\remote,null,736794,Ekamelev,2023-05-22T14:31:51.000Z,3.6K,,3.6K,28,4,without_company
D:\untitled3\.\hubs\remote,null,736274,rumin_v_rabote,2023-05-19T10:08:05.000Z,7.4K,,7.4K,57,37,without_company
D:\untitled3\.\hubs\remote,null,736012,akargina,2023-05-18T10:29:55.000Z,11K,,11K,31,16,without_company
D:\untitled3\.\hubs\remote,null,735938,rumin_v_rabote,2023-05-18T07:36:12.000Z,3K,,3K,5,2,without_company
D:\untitled3\.\hubs\remote,null,735068,Onarh,2023-05-15T07:23:32.000Z,3.1K,,3.1K,11,17,without_company
