hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\ror,null,767876,VeronikaMolchanova,2023-10-17T08:53:59.000Z,506,,506,9,1,without_company
D:\untitled3\.\hubs\ror,null,755914,cyber_river,2023-08-21T12:30:50.000Z,1K,,1K,4,0,without_company
D:\untitled3\.\hubs\ror,null,751674,Ale2Da,2023-08-01T10:00:02.000Z,411,,411,2,0,without_company
D:\untitled3\.\hubs\ror,null,741776,cupraer,2023-06-14T14:23:39.000Z,5.3K,,5.3K,12,119,without_company
D:\untitled3\.\hubs\ror,null,740988,alenafomina0204,2023-06-09T13:49:41.000Z,2.1K,,2.1K,11,1,without_company
D:\untitled3\.\hubs\ror,null,740216,cupraer,2023-06-06T13:18:30.000Z,2.9K,,2.9K,19,3,without_company
D:\untitled3\.\hubs\ror,null,735250,Evrone,2023-05-19T12:04:17.000Z,1.8K,,1.8K,15,0,without_company
D:\untitled3\.\hubs\ror,null,733012,myoffice_ru,2023-05-04T09:32:03.000Z,8.5K,,8.5K,79,6,without_company
D:\untitled3\.\hubs\ror,null,726438,Ale2Da,2023-04-02T16:16:38.000Z,3.6K,,3.6K,29,5,without_company
D:\untitled3\.\hubs\ror,null,722858,Evrone,2023-03-22T12:40:30.000Z,2.6K,,2.6K,10,1,without_company
D:\untitled3\.\hubs\ror,null,720462,aykuli,2023-03-04T15:38:00.000Z,1.3K,,1.3K,4,4,without_company
D:\untitled3\.\hubs\ror,null,716848,Sbermarket,2023-02-14T10:21:05.000Z,2.9K,,2.9K,18,9,without_company
D:\untitled3\.\hubs\ror,null,716250,tuykin,2023-02-14T08:30:04.000Z,882,,882,4,0,without_company
D:\untitled3\.\hubs\ror,null,715964,Ale2Da,2023-02-09T18:01:31.000Z,1.3K,,1.3K,5,0,without_company
D:\untitled3\.\hubs\ror,null,715668,Cloud4Y,2023-02-09T06:01:50.000Z,35K,,35K,66,338,without_company
D:\untitled3\.\hubs\ror,null,715410,Ale2Da,2023-02-07T11:46:33.000Z,1.4K,,1.4K,5,0,without_company
D:\untitled3\.\hubs\ror,null,712166,VeronikaMolchanova,2023-01-23T09:22:28.000Z,2.3K,,2.3K,10,4,without_company
