hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\rust,develop,775868,Bright_Translate,2023-11-26T10:00:02.000Z,2.4K,,2.4K,34,4,without_company
D:\untitled3\.\hubs\rust,develop,776098,itmind,2023-11-24T06:48:13.000Z,7.2K,,7.2K,11,82,without_company
D:\untitled3\.\hubs\rust,develop,775076,RustLangRu,2023-11-20T10:01:54.000Z,1.7K,,1.7K,3,4,without_company
D:\untitled3\.\hubs\rust,develop,774042,Bright_Translate,2023-11-17T13:00:02.000Z,12K,,12K,53,22,without_company
D:\untitled3\.\hubs\rust,develop,773250,damal,2023-11-11T06:47:45.000Z,986,,986,9,0,without_company
D:\untitled3\.\hubs\rust,develop,772360,MaxRokatansky,2023-11-07T17:43:01.000Z,5.4K,,5.4K,21,8,without_company
D:\untitled3\.\hubs\rust,develop,771554,krakotay,2023-11-02T13:55:46.000Z,110K,,110K,52,156,without_company
D:\untitled3\.\hubs\rust,develop,771288,MaxRokatansky,2023-11-01T14:15:05.000Z,4.7K,,4.7K,23,21,without_company
D:\untitled3\.\hubs\rust,develop,770314,PatientZero,2023-10-27T13:14:58.000Z,36K,,36K,83,62,without_company
D:\untitled3\.\hubs\rust,develop,769808,Bright_Translate,2023-10-27T13:00:02.000Z,16K,,16K,109,12,without_company
D:\untitled3\.\hubs\rust,develop,770332,KivApple,2023-10-27T10:21:00.000Z,761,,761,5,8,without_company
D:\untitled3\.\hubs\rust,develop,769802,ph_piter,2023-10-27T08:00:43.000Z,3.6K,,3.6K,17,3,without_company
D:\untitled3\.\hubs\rust,develop,769846,ru_vds,2023-10-25T13:00:02.000Z,44K,,44K,186,147,without_company
D:\untitled3\.\hubs\rust,develop,769100,KivApple,2023-10-22T11:29:37.000Z,6.8K,,6.8K,29,12,without_company
D:\untitled3\.\hubs\rust,develop,768828,lelyakuznetsova,2023-10-20T13:37:24.000Z,2.1K,,2.1K,10,2,without_company
D:\untitled3\.\hubs\rust,develop,768484,bingo347,2023-10-19T08:14:46.000Z,11K,,11K,27,50,without_company
D:\untitled3\.\hubs\rust,develop,767416,hexacosichoron,2023-10-14T10:13:01.000Z,4K,,4K,23,4,without_company
D:\untitled3\.\hubs\rust,develop,767254,ivankudryavtsev,2023-10-13T12:25:59.000Z,3.6K,,3.6K,70,8,without_company
D:\untitled3\.\hubs\rust,develop,767036,Sivchenko_translate,2023-10-12T11:53:53.000Z,7K,,7K,24,52,without_company
D:\untitled3\.\hubs\rust,develop,766772,Albert_Wesker,2023-10-12T08:01:01.000Z,7.4K,,7.4K,76,10,without_company
D:\untitled3\.\hubs\rust,develop,766682,justwack,2023-10-12T07:14:59.000Z,3.8K,,3.8K,32,15,without_company
D:\untitled3\.\hubs\rust,develop,766620,Luchnik22,2023-10-11T10:25:07.000Z,7.4K,,7.4K,82,16,without_company
D:\untitled3\.\hubs\rust,develop,766064,igumnov,2023-10-08T13:35:39.000Z,1.3K,,1.3K,3,19,without_company
D:\untitled3\.\hubs\rust,develop,765890,RustLangRu,2023-10-06T17:43:06.000Z,3.9K,,3.9K,20,2,without_company
D:\untitled3\.\hubs\rust,develop,765580,igumnov,2023-10-05T12:18:59.000Z,2.3K,,2.3K,15,21,without_company
D:\untitled3\.\hubs\rust,develop,765446,mojojojo,2023-10-05T05:59:56.000Z,4.6K,,4.6K,12,12,without_company
D:\untitled3\.\hubs\rust,develop,764936,AlexWriter,2023-10-04T07:00:02.000Z,1.9K,,1.9K,21,10,without_company
D:\untitled3\.\hubs\rust,develop,764416,ph_piter,2023-09-29T12:09:18.000Z,3.5K,,3.5K,40,6,without_company
D:\untitled3\.\hubs\rust,develop,761398,Alkash-kolyadun,2023-09-21T08:01:01.000Z,3.6K,,3.6K,59,1,without_company
D:\untitled3\.\hubs\rust,develop,761746,ru_vds,2023-09-18T13:00:01.000Z,6.3K,,6.3K,80,6,without_company
D:\untitled3\.\hubs\rust,develop,759978,girvel,2023-09-09T17:32:26.000Z,4.2K,,4.2K,23,29,without_company
D:\untitled3\.\hubs\rust,develop,759326,Albert_Wesker,2023-09-07T08:01:04.000Z,5.8K,,5.8K,55,11,without_company
D:\untitled3\.\hubs\rust,develop,758658,igumnov,2023-09-03T18:04:12.000Z,2.7K,,2.7K,27,5,without_company
D:\untitled3\.\hubs\rust,develop,758566,igumnov,2023-09-02T17:22:20.000Z,19K,,19K,90,39,without_company
D:\untitled3\.\hubs\rust,develop,757362,kamaisha,2023-08-29T07:00:01.000Z,16K,,16K,57,16,without_company
D:\untitled3\.\hubs\rust,develop,757158,RustLangRu,2023-08-27T08:18:22.000Z,4.2K,,4.2K,12,0,without_company
D:\untitled3\.\hubs\rust,develop,757070,igumnov,2023-08-26T07:58:00.000Z,3.9K,,3.9K,22,8,without_company
D:\untitled3\.\hubs\rust,develop,756984,igumnov,2023-08-25T15:41:45.000Z,9.3K,,9.3K,73,23,without_company
D:\untitled3\.\hubs\rust,develop,746860,mascai,2023-08-23T14:00:02.000Z,4K,,4K,28,4,without_company
D:\untitled3\.\hubs\rust,develop,756482,AbrielTartar,2023-08-23T13:13:07.000Z,18K,,18K,53,17,without_company
D:\untitled3\.\hubs\rust,develop,756174,kamaisha,2023-08-23T07:00:02.000Z,1.8K,,1.8K,9,3,without_company
D:\untitled3\.\hubs\rust,develop,755946,MaxRokatansky,2023-08-22T05:31:02.000Z,7.3K,,7.3K,35,0,without_company
D:\untitled3\.\hubs\rust,develop,755940,EvilMan,2023-08-21T14:05:25.000Z,4.8K,,4.8K,39,10,without_company
D:\untitled3\.\hubs\rust,develop,755728,onekawdalg,2023-08-20T11:30:23.000Z,9.9K,,9.9K,37,21,without_company
D:\untitled3\.\hubs\rust,develop,755704,igumnov,2023-08-20T09:24:32.000Z,2.3K,,2.3K,13,18,without_company
D:\untitled3\.\hubs\rust,develop,755690,SeniorJoinu,2023-08-20T08:30:08.000Z,3.7K,,3.7K,25,2,without_company
D:\untitled3\.\hubs\rust,develop,753180,abs0luty,2023-08-08T06:44:26.000Z,1.5K,,1.5K,13,2,without_company
D:\untitled3\.\hubs\rust,develop,751616,gpaw,2023-07-31T22:00:38.000Z,11K,,11K,166,18,without_company
D:\untitled3\.\hubs\rust,develop,748978,abs0luty,2023-07-19T08:50:17.000Z,2.1K,,2.1K,18,2,without_company
D:\untitled3\.\hubs\rust,develop,748534,MatveySss,2023-07-17T13:43:01.000Z,2.3K,,2.3K,13,14,without_company
D:\untitled3\.\hubs\rust,develop,748122,RustLangRu,2023-07-14T14:01:06.000Z,2.3K,,2.3K,7,1,without_company
D:\untitled3\.\hubs\rust,develop,747582,Albert_Wesker,2023-07-13T08:01:01.000Z,4.5K,,4.5K,32,10,without_company
D:\untitled3\.\hubs\rust,develop,747188,khmheh,2023-07-10T21:11:58.000Z,1.7K,,1.7K,7,3,without_company
D:\untitled3\.\hubs\rust,develop,746176,DaniilUbica,2023-07-05T20:17:17.000Z,2.8K,,2.8K,35,23,without_company
D:\untitled3\.\hubs\rust,develop,743540,Albert_Wesker,2023-06-23T14:01:02.000Z,6.6K,,6.6K,51,1,without_company
D:\untitled3\.\hubs\rust,develop,743186,Sivchenko_translate,2023-06-21T19:08:36.000Z,5.6K,,5.6K,24,8,without_company
D:\untitled3\.\hubs\rust,develop,741712,rsk,2023-06-14T11:18:58.000Z,1.5K,,1.5K,15,6,without_company
D:\untitled3\.\hubs\rust,develop,741458,hexacosichoron,2023-06-13T13:06:16.000Z,5.7K,,5.7K,28,7,without_company
D:\untitled3\.\hubs\rust,develop,741124,Sivchenko_translate,2023-06-11T07:24:46.000Z,15K,,15K,39,14,without_company
D:\untitled3\.\hubs\rust,develop,740936,knikitin,2023-06-09T11:22:08.000Z,6.1K,,6.1K,27,110,without_company
D:\untitled3\.\hubs\rust,develop,739936,rsk,2023-06-05T13:10:06.000Z,2.8K,,2.8K,19,15,without_company
D:\untitled3\.\hubs\rust,develop,739054,Bright_Translate,2023-06-04T10:00:01.000Z,19K,,19K,59,61,without_company
D:\untitled3\.\hubs\rust,develop,739570,RustLangRu,2023-06-02T16:35:21.000Z,4.1K,,4.1K,9,24,without_company
D:\untitled3\.\hubs\rust,develop,738432,Sivchenko_translate,2023-05-29T20:51:22.000Z,9.8K,,9.8K,73,17,without_company
D:\untitled3\.\hubs\rust,develop,738272,gir004,2023-05-29T11:02:05.000Z,3.2K,,3.2K,32,11,without_company
D:\untitled3\.\hubs\rust,develop,737808,Albert_Wesker,2023-05-26T14:01:01.000Z,9.1K,,9.1K,68,9,without_company
D:\untitled3\.\hubs\rust,develop,736842,ris58h,2023-05-22T19:54:52.000Z,28K,,28K,216,42,without_company
D:\untitled3\.\hubs\rust,develop,736174,Davydoff33,2023-05-18T21:11:24.000Z,2.8K,,2.8K,27,0,without_company
D:\untitled3\.\hubs\rust,develop,735734,MaxRokatansky,2023-05-17T13:46:01.000Z,3.3K,,3.3K,15,4,without_company
D:\untitled3\.\hubs\rust,develop,734046,LIMPIX31,2023-05-10T13:21:09.000Z,2.9K,,2.9K,17,2,without_company
D:\untitled3\.\hubs\rust,develop,733454,aectaan,2023-05-10T07:54:32.000Z,6K,,6K,34,7,without_company
D:\untitled3\.\hubs\rust,develop,733622,artslob,2023-05-05T14:36:27.000Z,6.6K,,6.6K,47,15,without_company
D:\untitled3\.\hubs\rust,develop,733468,MaxRokatansky,2023-05-05T13:08:02.000Z,1.7K,,1.7K,6,2,without_company
D:\untitled3\.\hubs\rust,develop,732530,ru_vds,2023-04-30T14:15:02.000Z,18K,,18K,135,10,without_company
D:\untitled3\.\hubs\rust,develop,719174,belich,2023-04-29T12:34:29.000Z,44K,,44K,52,227,without_company
D:\untitled3\.\hubs\rust,develop,731478,Albert_Wesker,2023-04-25T13:02:19.000Z,3.6K,,3.6K,17,1,without_company
D:\untitled3\.\hubs\rust,develop,731268,RustLangRu,2023-04-24T14:28:14.000Z,2.5K,,2.5K,9,0,without_company
D:\untitled3\.\hubs\rust,develop,730746,ph_piter,2023-04-21T12:17:34.000Z,3.3K,,3.3K,39,2,without_company
D:\untitled3\.\hubs\rust,develop,730610,XO490,2023-04-21T03:10:18.000Z,4.2K,,4.2K,8,2,without_company
D:\untitled3\.\hubs\rust,develop,729734,PatientZero,2023-04-18T08:18:18.000Z,2.5K,,2.5K,13,1,without_company
D:\untitled3\.\hubs\rust,develop,728870,Davydoff33,2023-04-13T10:41:52.000Z,5K,,5K,36,4,without_company
D:\untitled3\.\hubs\rust,develop,725630,PatientZero,2023-04-11T06:55:38.000Z,9K,,9K,29,8,without_company
D:\untitled3\.\hubs\rust,develop,727294,ProductivityInside,2023-04-06T05:01:18.000Z,27K,,27K,50,41,without_company
D:\untitled3\.\hubs\rust,develop,726552,XO490,2023-04-03T10:11:25.000Z,3.1K,,3.1K,8,1,without_company
D:\untitled3\.\hubs\rust,develop,725148,nizovtsevnv,2023-03-27T19:47:41.000Z,4.3K,,4.3K,28,10,without_company
D:\untitled3\.\hubs\rust,develop,723536,mr-pickles,2023-03-20T10:05:04.000Z,11K,,11K,68,12,without_company
D:\untitled3\.\hubs\rust,develop,723434,nanoqsh,2023-03-19T18:51:36.000Z,7.1K,,7.1K,32,15,without_company
D:\untitled3\.\hubs\rust,develop,723194,Gorthauer87,2023-03-17T15:02:56.000Z,3.4K,,3.4K,27,11,without_company
