hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\s_admin,null,763600,CodeDroidX,2023-11-22T09:00:01.000Z,55K,,55K,472,89,without_company
D:\untitled3\.\hubs\s_admin,null,774576,Liloon21,2023-11-17T09:01:56.000Z,4.3K,,4.3K,44,2,without_company
D:\untitled3\.\hubs\s_admin,null,774370,randall,2023-11-16T13:24:04.000Z,1.1K,,1.1K,4,0,without_company
D:\untitled3\.\hubs\s_admin,null,774274,daniilshat,2023-11-16T13:00:04.000Z,11K,,11K,26,13,without_company
D:\untitled3\.\hubs\s_admin,null,772702,piton_nsk,2023-11-16T05:53:53.000Z,5.8K,,5.8K,68,9,without_company
D:\untitled3\.\hubs\s_admin,null,771566,dasafyev,2023-11-03T09:00:01.000Z,6.8K,,6.8K,39,10,without_company
D:\untitled3\.\hubs\s_admin,null,771598,Dorlas,2023-11-02T17:14:45.000Z,7.4K,,7.4K,55,38,without_company
D:\untitled3\.\hubs\s_admin,null,770662,vStack,2023-10-30T09:00:03.000Z,5.8K,,5.8K,50,3,without_company
D:\untitled3\.\hubs\s_admin,null,770608,GlobalSign_admin,2023-10-29T18:13:55.000Z,4.2K,,4.2K,17,10,without_company
D:\untitled3\.\hubs\s_admin,null,770448,kodor,2023-10-28T06:01:23.000Z,3.8K,,3.8K,35,7,without_company
D:\untitled3\.\hubs\s_admin,null,770174,Beeline_tech,2023-10-26T14:57:57.000Z,12K,,12K,64,8,without_company
D:\untitled3\.\hubs\s_admin,null,770054,itglobalcom,2023-10-26T09:00:04.000Z,2.4K,,2.4K,6,5,without_company
D:\untitled3\.\hubs\s_admin,null,768548,alizar,2023-10-23T09:00:02.000Z,62K,,62K,354,117,without_company
D:\untitled3\.\hubs\s_admin,null,768340,miheych,2023-10-20T06:30:02.000Z,1.1K,,1.1K,6,2,without_company
D:\untitled3\.\hubs\s_admin,null,767104,dasafyev,2023-10-16T09:08:06.000Z,1.9K,,1.9K,14,4,without_company
D:\untitled3\.\hubs\s_admin,null,766664,R0bur,2023-10-11T07:22:18.000Z,2.4K,,2.4K,15,4,without_company
D:\untitled3\.\hubs\s_admin,null,766284,Okunev_Sergey,2023-10-10T13:00:03.000Z,4K,,4K,44,10,without_company
D:\untitled3\.\hubs\s_admin,null,764906,pavelvorobev,2023-10-05T09:09:29.000Z,1.2K,,1.2K,12,2,without_company
D:\untitled3\.\hubs\s_admin,null,765378,Liloon21,2023-10-05T08:00:01.000Z,1.3K,,1.3K,10,0,without_company
D:\untitled3\.\hubs\s_admin,null,764940,Tamerlan666,2023-10-03T00:12:36.000Z,2K,,2K,24,0,without_company
D:\untitled3\.\hubs\s_admin,null,764772,itmo,2023-10-02T15:09:02.000Z,5.4K,,5.4K,74,2,without_company
D:\untitled3\.\hubs\s_admin,null,764822,Sber,2023-10-02T12:23:40.000Z,2.3K,,2.3K,7,2,without_company
D:\untitled3\.\hubs\s_admin,null,763858,Eskimo,2023-09-28T12:21:59.000Z,1.1K,,1.1K,14,7,without_company
D:\untitled3\.\hubs\s_admin,null,763626,OS_Killer,2023-09-27T08:37:54.000Z,4.2K,,4.2K,26,4,without_company
D:\untitled3\.\hubs\s_admin,null,762892,dasafyev,2023-09-26T10:37:09.000Z,1.2K,,1.2K,13,4,without_company
D:\untitled3\.\hubs\s_admin,null,763390,znhv,2023-09-25T19:38:35.000Z,6.6K,,6.6K,77,12,without_company
D:\untitled3\.\hubs\s_admin,null,762806,salavec,2023-09-22T11:01:51.000Z,2.5K,,2.5K,9,1,without_company
D:\untitled3\.\hubs\s_admin,null,762676,nikshav,2023-09-21T18:17:17.000Z,8.5K,,8.5K,116,11,without_company
D:\untitled3\.\hubs\s_admin,null,762320,ru_vds,2023-09-20T13:00:01.000Z,6.1K,,6.1K,62,14,without_company
D:\untitled3\.\hubs\s_admin,null,760716,alizar,2023-09-18T09:00:01.000Z,36K,,36K,321,73,without_company
D:\untitled3\.\hubs\s_admin,null,758828,Chipchilinka,2023-09-12T12:31:50.000Z,1.6K,,1.6K,16,4,without_company
D:\untitled3\.\hubs\s_admin,null,759554,am83,2023-09-12T05:01:19.000Z,32K,,32K,259,50,without_company
D:\untitled3\.\hubs\s_admin,null,760232,Tzimie,2023-09-11T12:41:17.000Z,2.1K,,2.1K,18,0,without_company
D:\untitled3\.\hubs\s_admin,null,759912,perevalov_a,2023-09-09T09:44:38.000Z,40K,,40K,76,49,without_company
D:\untitled3\.\hubs\s_admin,null,758680,ru_vds,2023-09-06T09:00:02.000Z,15K,,15K,76,14,without_company
D:\untitled3\.\hubs\s_admin,null,759014,Sber,2023-09-05T11:05:27.000Z,2.2K,,2.2K,8,0,without_company
D:\untitled3\.\hubs\s_admin,null,758464,dasafyev,2023-09-04T07:18:02.000Z,1.3K,,1.3K,12,0,without_company
D:\untitled3\.\hubs\s_admin,null,758272,Ave_Ls,2023-09-01T12:33:02.000Z,3.5K,,3.5K,26,9,without_company
D:\untitled3\.\hubs\s_admin,null,757906,Morozilla,2023-08-31T13:47:15.000Z,6.3K,,6.3K,32,30,without_company
D:\untitled3\.\hubs\s_admin,null,756804,len2367,2023-08-24T21:50:23.000Z,8.2K,,8.2K,73,45,without_company
