hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\saas,null,773730,jeltiyy,2023-11-13T21:37:32.000Z,3K,,3K,12,13,without_company
D:\untitled3\.\hubs\saas,null,772810,tw0face,2023-11-09T08:59:49.000Z,1.2K,,1.2K,8,5,without_company
D:\untitled3\.\hubs\saas,null,772352,Axelus,2023-11-07T12:37:15.000Z,2.1K,,2.1K,11,0,without_company
D:\untitled3\.\hubs\saas,null,766450,tw0face,2023-10-10T08:58:50.000Z,2.1K,,2.1K,8,2,without_company
D:\untitled3\.\hubs\saas,null,765550,tw0face,2023-10-06T06:37:14.000Z,1.6K,,1.6K,9,4,without_company
D:\untitled3\.\hubs\saas,null,748434,SSul,2023-07-18T08:11:22.000Z,856,,856,2,3,without_company
D:\untitled3\.\hubs\saas,null,744476,ohm,2023-07-12T06:32:02.000Z,5.3K,,5.3K,65,12,without_company
D:\untitled3\.\hubs\saas,null,736724,tw0face,2023-07-07T04:09:00.000Z,3.2K,,3.2K,11,0,without_company
D:\untitled3\.\hubs\saas,null,746382,DevStars,2023-07-06T13:53:03.000Z,666,,666,8,0,without_company
D:\untitled3\.\hubs\saas,null,742198,tw0face,2023-06-16T12:21:13.000Z,1.9K,,1.9K,5,14,without_company
D:\untitled3\.\hubs\saas,null,741022,TheMultiFive,2023-06-11T07:21:06.000Z,8.3K,,8.3K,31,11,without_company
D:\untitled3\.\hubs\saas,null,739180,tw0face,2023-06-05T06:45:45.000Z,2.7K,,2.7K,3,0,without_company
D:\untitled3\.\hubs\saas,null,736792,DevStars,2023-05-22T14:24:22.000Z,2.2K,,2.2K,16,18,without_company
D:\untitled3\.\hubs\saas,null,731142,Onarh,2023-04-24T10:49:44.000Z,2.6K,,2.6K,17,9,without_company
D:\untitled3\.\hubs\saas,null,728320,tw0face,2023-04-17T06:18:41.000Z,3.5K,,3.5K,4,3,without_company
D:\untitled3\.\hubs\saas,null,728786,tw0face,2023-04-13T09:09:14.000Z,2.9K,,2.9K,12,2,without_company
D:\untitled3\.\hubs\saas,null,721542,tw0face,2023-03-28T07:08:07.000Z,4.9K,,4.9K,14,8,without_company
D:\untitled3\.\hubs\saas,null,724902,FirstJohn,2023-03-27T08:00:13.000Z,2.5K,,2.5K,30,11,without_company
D:\untitled3\.\hubs\saas,null,721844,amal_abdullaev,2023-03-12T14:59:55.000Z,1.8K,,1.8K,13,2,without_company
D:\untitled3\.\hubs\saas,null,718918,Zyryanek,2023-03-01T14:08:49.000Z,2.1K,,2.1K,16,4,without_company
D:\untitled3\.\hubs\saas,null,717614,tw0face,2023-02-17T10:18:11.000Z,16K,,16K,15,6,without_company
D:\untitled3\.\hubs\saas,null,712464,Axelus,2023-01-24T11:32:39.000Z,6.5K,,6.5K,37,15,without_company
D:\untitled3\.\hubs\saas,null,706196,KarolAndruszkow,2022-12-18T11:27:05.000Z,707,,707,1,2,without_company
D:\untitled3\.\hubs\saas,null,698204,And4w,2022-11-10T07:25:22.000Z,2.9K,,2.9K,25,3,without_company
D:\untitled3\.\hubs\saas,null,695036,UprightMan,2022-10-25T08:02:02.000Z,12K,,12K,40,5,without_company
D:\untitled3\.\hubs\saas,null,693390,tw0face,2022-10-14T12:09:25.000Z,2.8K,,2.8K,6,0,without_company
D:\untitled3\.\hubs\saas,null,683226,YremeY,2022-08-18T03:38:33.000Z,2.9K,,2.9K,19,1,without_company
D:\untitled3\.\hubs\saas,null,681290,YremeY,2022-08-07T20:33:05.000Z,3.7K,,3.7K,23,9,without_company
D:\untitled3\.\hubs\saas,null,676916,Zextras,2022-07-14T12:00:02.000Z,983,,983,1,0,without_company
D:\untitled3\.\hubs\saas,null,673874,markinkirill,2022-07-12T08:01:29.000Z,11K,,11K,49,24,without_company
D:\untitled3\.\hubs\saas,null,674612,PhystechGenesis,2022-07-01T13:40:25.000Z,815,,815,2,3,without_company
D:\untitled3\.\hubs\saas,null,672398,Dmitry_V_Litvinov,2022-06-20T11:52:17.000Z,1.7K,,1.7K,8,2,without_company
D:\untitled3\.\hubs\saas,null,670282,Bessome,2022-06-08T14:36:26.000Z,1.6K,,1.6K,7,6,without_company
D:\untitled3\.\hubs\saas,null,660245,kouptsovoushkin,2022-04-11T13:23:39.000Z,12K,,12K,7,0,without_company
D:\untitled3\.\hubs\saas,null,658583,EvelinaSar,2022-04-01T09:10:46.000Z,6.8K,,6.8K,14,0,without_company
D:\untitled3\.\hubs\saas,null,655671,max_buranbaev,2022-03-15T06:57:57.000Z,5.6K,,5.6K,32,1,without_company
D:\untitled3\.\hubs\saas,null,646775,Axelus,2022-01-20T13:37:25.000Z,3.6K,,3.6K,12,14,without_company
D:\untitled3\.\hubs\saas,null,594419,ITSumma,2021-12-09T09:30:06.000Z,3.5K,,3.5K,14,1,without_company
D:\untitled3\.\hubs\saas,null,591857,IgorDimitrov,2021-11-30T11:28:43.000Z,3.7K,,3.7K,14,4,without_company
D:\untitled3\.\hubs\saas,null,583086,MaxRokatansky,2021-10-12T15:08:06.000Z,1K,,1K,4,0,without_company
D:\untitled3\.\hubs\saas,null,581464,ExpertMonitoring,2021-10-04T13:57:03.000Z,2.9K,,2.9K,8,3,without_company
D:\untitled3\.\hubs\saas,null,580194,Axelus,2021-09-27T12:36:12.000Z,7.6K,,7.6K,25,4,without_company
D:\untitled3\.\hubs\saas,null,575554,ramil_trinion,2021-08-31T12:10:28.000Z,6.6K,,6.6K,16,0,without_company
D:\untitled3\.\hubs\saas,null,572960,DNovikov,2021-08-14T18:20:50.000Z,3.1K,,3.1K,21,12,without_company
D:\untitled3\.\hubs\saas,null,564458,Zyryanek,2021-06-24T10:50:34.000Z,9.3K,,9.3K,42,19,without_company
D:\untitled3\.\hubs\saas,null,562508,Tony_Lad,2021-06-12T20:49:11.000Z,40K,,40K,47,10,without_company
D:\untitled3\.\hubs\saas,null,558522,Bura81,2021-05-20T15:47:49.000Z,2.6K,,2.6K,9,15,without_company
D:\untitled3\.\hubs\saas,null,548544,RePlaner,2021-04-06T06:30:01.000Z,9.8K,,9.8K,33,24,without_company
D:\untitled3\.\hubs\saas,null,550754,VG_GC,2021-04-05T09:35:43.000Z,1.9K,,1.9K,9,2,without_company
D:\untitled3\.\hubs\saas,null,547064,host_m,2021-03-15T08:44:20.000Z,88K,,88K,118,266,without_company
D:\untitled3\.\hubs\saas,null,543534,maxkunitsa,2021-02-21T11:09:15.000Z,4.7K,,4.7K,15,6,without_company
D:\untitled3\.\hubs\saas,null,543094,Voipman,2021-02-19T10:06:27.000Z,10K,,10K,20,6,without_company
D:\untitled3\.\hubs\saas,null,542294,diegomadness,2021-02-13T19:51:24.000Z,13K,,13K,36,17,without_company
D:\untitled3\.\hubs\saas,null,538108,m1rko,2021-01-19T14:44:59.000Z,99K,,99K,199,181,without_company
D:\untitled3\.\hubs\saas,null,537962,ForwardTelecom,2021-01-18T17:32:03.000Z,1.7K,,1.7K,8,0,without_company
D:\untitled3\.\hubs\saas,null,534526,meet2code,2020-12-23T08:16:13.000Z,3.2K,,3.2K,20,18,without_company
D:\untitled3\.\hubs\saas,null,532564,RPAconsultant,2020-12-11T13:42:08.000Z,1.1K,,1.1K,4,2,without_company
D:\untitled3\.\hubs\saas,null,529954,Axelus,2020-11-26T09:38:11.000Z,11K,,11K,17,48,without_company
D:\untitled3\.\hubs\saas,null,529104,meet2code,2020-11-20T12:41:36.000Z,4.9K,,4.9K,31,15,without_company
D:\untitled3\.\hubs\saas,null,523290,OkHelpDesk,2020-10-13T12:47:46.000Z,10K,,10K,11,4,without_company
D:\untitled3\.\hubs\saas,null,521028,ElizavetaL,2020-09-28T13:55:00.000Z,23K,,23K,23,0,without_company
D:\untitled3\.\hubs\saas,null,518380,viktor_ponkratov,2020-09-09T09:18:26.000Z,78K,,78K,64,6,without_company
D:\untitled3\.\hubs\saas,null,517714,Marger1,2020-09-03T14:33:15.000Z,2.2K,,2.2K,24,3,without_company
D:\untitled3\.\hubs\saas,null,515526,alexlash,2020-08-17T15:46:08.000Z,3.9K,,3.9K,24,10,without_company
D:\untitled3\.\hubs\saas,null,514350,arkady_landpro,2020-08-08T12:41:27.000Z,2.9K,,2.9K,8,0,without_company
D:\untitled3\.\hubs\saas,null,513942,host_m,2020-08-07T07:30:01.000Z,11K,,11K,17,4,without_company
D:\untitled3\.\hubs\saas,null,505856,ForwardTelecom,2020-06-08T13:03:06.000Z,1.3K,,1.3K,6,1,without_company
D:\untitled3\.\hubs\saas,null,502608,olegnekludov,2020-05-19T08:18:36.000Z,3.9K,,3.9K,11,2,without_company
D:\untitled3\.\hubs\saas,null,499236,pavlikarev,2020-04-27T11:49:16.000Z,15K,,15K,50,12,without_company
D:\untitled3\.\hubs\saas,null,495970,idzenski,2020-04-06T16:19:53.000Z,7.2K,,7.2K,66,1,without_company
D:\untitled3\.\hubs\saas,null,493668,alexanderisora,2020-03-23T10:47:13.000Z,14K,,14K,44,14,without_company
D:\untitled3\.\hubs\saas,null,492190,EvseyFaydo,2020-03-13T10:03:10.000Z,3.4K,,3.4K,8,1,without_company
D:\untitled3\.\hubs\saas,null,487132,Softliner,2020-03-12T14:19:23.000Z,2.2K,,2.2K,7,1,without_company
D:\untitled3\.\hubs\saas,null,480020,nzulfigarov,2020-01-30T22:06:54.000Z,9.2K,,9.2K,64,7,without_company
D:\untitled3\.\hubs\saas,null,485772,ForwardTelecom,2020-01-27T20:36:02.000Z,2.7K,,2.7K,7,1,without_company
D:\untitled3\.\hubs\saas,null,478406,IgorDimitrov,2019-12-03T14:29:56.000Z,13K,,13K,70,44,without_company
D:\untitled3\.\hubs\saas,null,474192,agurnov,2019-11-06T10:00:01.000Z,3.2K,,3.2K,21,0,without_company
D:\untitled3\.\hubs\saas,null,473568,krubinshteyn,2019-10-29T08:39:26.000Z,2.9K,,2.9K,23,18,without_company
D:\untitled3\.\hubs\saas,null,472042,Zextras,2019-10-18T10:12:23.000Z,1.8K,,1.8K,8,19,without_company
D:\untitled3\.\hubs\saas,null,470173,KirillLevitskiy,2019-10-10T15:03:34.000Z,7.1K,,7.1K,23,0,without_company
D:\untitled3\.\hubs\saas,null,470672,kfedulov,2019-10-08T14:28:33.000Z,4.9K,,4.9K,42,8,without_company
