hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\sales,null,776352,Testograf,2023-11-25T12:58:30.000Z,446,,446,6,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\sales,null,775646,v3tr0v,2023-11-23T07:20:45.000Z,2.3K,,2.3K,19,0,/ru/companies/flant/articles/
D:\untitled3\.\hubs\sales,null,775824,Katrin_O,2023-11-23T07:10:17.000Z,481,,481,1,1,/ru/companies/vsk_insurance/articles/
D:\untitled3\.\hubs\sales,null,775760,Pavel_Koryakin,2023-11-22T18:43:50.000Z,13K,,13K,17,21,/ru/hubs/ecommerce/
D:\untitled3\.\hubs\sales,null,775412,Alliesverse,2023-11-21T15:30:02.000Z,2.5K,,2.5K,10,3,/ru/companies/av/articles/
D:\untitled3\.\hubs\sales,null,774420,biz-l,2023-11-16T13:54:17.000Z,6.5K,,6.5K,10,26,/ru/hubs/erp/
D:\untitled3\.\hubs\sales,null,774242,vikdovnar,2023-11-16T10:21:31.000Z,2K,,2K,11,5,/ru/hubs/ecommerce/
D:\untitled3\.\hubs\sales,null,773730,jeltiyy,2023-11-13T21:37:32.000Z,3K,,3K,12,13,/ru/hubs/saas/
D:\untitled3\.\hubs\sales,null,773414,fedorborovitsky,2023-11-12T16:50:43.000Z,3.4K,,3.4K,8,40,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\sales,null,773130,Testograf,2023-11-11T07:12:07.000Z,452,,452,7,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\sales,null,772836,vikdovnar,2023-11-10T09:11:33.000Z,11K,,11K,16,10,/ru/hubs/ecommerce/
D:\untitled3\.\hubs\sales,null,772516,Testograf,2023-11-08T10:45:12.000Z,548,,548,6,0,/ru/companies/testograf/articles/
D:\untitled3\.\hubs\sales,null,771246,a_melnikov,2023-11-01T09:43:16.000Z,1.3K,,1.3K,21,2,/ru/companies/beeline_tech/articles/
D:\untitled3\.\hubs\sales,null,770010,sashadzen,2023-10-26T07:17:16.000Z,2.5K,,2.5K,31,1,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\sales,null,769664,LyudmilaAlt,2023-10-25T10:01:28.000Z,955,,955,12,2,/ru/companies/altcraft/articles/
D:\untitled3\.\hubs\sales,null,768698,xeovo,2023-10-20T07:21:25.000Z,16K,,16K,44,19,/ru/companies/xeovo/articles/
D:\untitled3\.\hubs\sales,null,768324,rumin_v_rabote,2023-10-18T13:10:15.000Z,4.7K,,4.7K,16,24,/ru/hubs/freelance/
D:\untitled3\.\hubs\sales,null,767326,Loriowar,2023-10-13T16:30:33.000Z,2.4K,,2.4K,8,6,/ru/hubs/programming/
D:\untitled3\.\hubs\sales,null,767158,sashadzen,2023-10-13T05:14:22.000Z,1.1K,,1.1K,12,6,/ru/hubs/web_design/
D:\untitled3\.\hubs\sales,null,765806,Xryamzik,2023-10-06T11:28:51.000Z,654,,654,2,4,/ru/hubs/productpm/
D:\untitled3\.\hubs\sales,null,765792,MAKO_digital,2023-10-06T11:00:02.000Z,679,,679,3,0,/ru/companies/mako_digital/articles/
D:\untitled3\.\hubs\sales,null,764826,AndrewYaremko,2023-10-02T12:23:00.000Z,1.2K,,1.2K,3,1,/ru/hubs/sales/
