hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\sci-fi,null,776312,kalupin,2023-11-25T00:17:47.000Z,1.9K,,1.9K,9,2,without_company
D:\untitled3\.\hubs\sci-fi,null,774966,GeeksCat,2023-11-20T08:01:02.000Z,6.5K,,6.5K,32,54,without_company
D:\untitled3\.\hubs\sci-fi,null,774828,SLY_G,2023-11-18T13:07:40.000Z,9.9K,,9.9K,21,53,without_company
D:\untitled3\.\hubs\sci-fi,null,774430,sokolovps,2023-11-16T14:24:57.000Z,1.8K,,1.8K,13,5,without_company
D:\untitled3\.\hubs\sci-fi,null,767842,Hawkeye889,2023-11-02T13:00:01.000Z,14K,,14K,26,35,without_company
D:\untitled3\.\hubs\sci-fi,null,771154,OlegSivchenko,2023-10-31T20:38:10.000Z,8.9K,,8.9K,23,28,without_company
D:\untitled3\.\hubs\sci-fi,null,770438,SLY_G,2023-10-31T08:11:01.000Z,6.7K,,6.7K,14,20,without_company
D:\untitled3\.\hubs\sci-fi,null,770094,saipr,2023-10-26T10:25:13.000Z,5.6K,,5.6K,19,101,without_company
D:\untitled3\.\hubs\sci-fi,null,769354,gregyku,2023-10-23T13:07:22.000Z,5.7K,,5.7K,25,30,without_company
D:\untitled3\.\hubs\sci-fi,null,769092,OSINT_mindset,2023-10-22T09:51:50.000Z,6.6K,,6.6K,62,21,without_company
D:\untitled3\.\hubs\sci-fi,null,768918,mvideo,2023-10-20T16:34:40.000Z,2.5K,,2.5K,14,0,without_company
D:\untitled3\.\hubs\sci-fi,null,767896,Physics-for-Humanities,2023-10-17T01:21:27.000Z,17K,,17K,29,60,without_company
D:\untitled3\.\hubs\sci-fi,null,767594,OlegSivchenko,2023-10-15T20:00:49.000Z,5.6K,,5.6K,21,39,without_company
D:\untitled3\.\hubs\sci-fi,null,766274,vasilisa_b,2023-10-10T07:02:01.000Z,1.4K,,1.4K,7,3,without_company
D:\untitled3\.\hubs\sci-fi,null,766080,Maslukhin,2023-10-09T04:02:02.000Z,5.1K,,5.1K,25,5,without_company
D:\untitled3\.\hubs\sci-fi,null,765320,Hiro_Protagonist,2023-10-04T13:39:31.000Z,8K,,8K,34,0,without_company
D:\untitled3\.\hubs\sci-fi,null,763974,GeeksCat,2023-10-04T07:05:02.000Z,11K,,11K,50,41,without_company
D:\untitled3\.\hubs\sci-fi,null,764022,SemenOk2,2023-09-29T05:59:01.000Z,5.2K,,5.2K,25,24,without_company
D:\untitled3\.\hubs\sci-fi,null,764018,dionisdimetor,2023-09-28T06:14:04.000Z,9.8K,,9.8K,36,10,without_company
D:\untitled3\.\hubs\sci-fi,null,761674,nevmenandr,2023-09-23T21:32:00.000Z,43K,,43K,99,283,without_company
D:\untitled3\.\hubs\sci-fi,null,762378,Oksana_Nedvigina,2023-09-20T16:07:13.000Z,15K,,15K,41,25,without_company
D:\untitled3\.\hubs\sci-fi,null,761180,OlegSivchenko,2023-09-14T20:32:27.000Z,9.9K,,9.9K,38,6,without_company
D:\untitled3\.\hubs\sci-fi,null,760870,Hiro_Protagonist,2023-09-13T15:37:01.000Z,18K,,18K,69,23,without_company
D:\untitled3\.\hubs\sci-fi,null,760278,SergioPrieto,2023-09-11T13:15:56.000Z,6.9K,,6.9K,23,20,without_company
D:\untitled3\.\hubs\sci-fi,null,760058,SLY_G,2023-09-11T08:15:02.000Z,16K,,16K,22,48,without_company
D:\untitled3\.\hubs\sci-fi,null,759576,Nurked,2023-09-07T13:39:55.000Z,12K,,12K,71,50,without_company
D:\untitled3\.\hubs\sci-fi,null,758112,alizar,2023-09-04T09:00:02.000Z,13K,,13K,51,1,without_company
D:\untitled3\.\hubs\sci-fi,null,758028,Electrohedgehog,2023-09-02T11:41:46.000Z,2.5K,,2.5K,10,25,without_company
D:\untitled3\.\hubs\sci-fi,null,758342,klimensky,2023-09-01T09:55:06.000Z,43K,,43K,149,15,without_company
D:\untitled3\.\hubs\sci-fi,null,757486,SLY_G,2023-08-29T07:10:02.000Z,5.5K,,5.5K,11,15,without_company
D:\untitled3\.\hubs\sci-fi,null,756868,SergioPrieto,2023-08-25T07:43:06.000Z,2.9K,,2.9K,13,7,without_company
