hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\search_technologies,null,775934,Rombneromb,2023-11-24T08:55:15.000Z,1.1K,,1.1K,5,2,without_company
D:\untitled3\.\hubs\search_technologies,null,774516,igor_suhorukov,2023-11-17T06:07:21.000Z,2.3K,,2.3K,26,16,without_company
D:\untitled3\.\hubs\search_technologies,null,774288,setishin,2023-11-16T09:18:45.000Z,2.4K,,2.4K,8,5,without_company
D:\untitled3\.\hubs\search_technologies,null,771636,ganzmavag,2023-11-07T16:12:16.000Z,42K,,42K,59,304,without_company
D:\untitled3\.\hubs\search_technologies,null,770378,EkaterinaMz,2023-10-27T13:18:37.000Z,632,,632,2,1,without_company
D:\untitled3\.\hubs\search_technologies,null,769690,YarIkGU,2023-10-24T18:44:24.000Z,11K,,11K,130,10,without_company
D:\untitled3\.\hubs\search_technologies,null,769592,EkaterinaMz,2023-10-24T11:59:15.000Z,610,,610,2,0,without_company
D:\untitled3\.\hubs\search_technologies,null,768102,p_a_arty,2023-10-20T10:02:27.000Z,2.6K,,2.6K,27,6,without_company
D:\untitled3\.\hubs\search_technologies,null,767422,akurilov,2023-10-14T19:45:23.000Z,2.7K,,2.7K,19,14,without_company
D:\untitled3\.\hubs\search_technologies,null,767066,StepanRodionov,2023-10-13T08:36:32.000Z,2.5K,,2.5K,41,8,without_company
D:\untitled3\.\hubs\search_technologies,null,766060,YarIkGU,2023-10-08T12:52:38.000Z,15K,,15K,135,28,without_company
D:\untitled3\.\hubs\search_technologies,null,764272,PashaPodolsky,2023-10-04T06:25:44.000Z,19K,,19K,159,8,without_company
D:\untitled3\.\hubs\search_technologies,null,763956,gtkek,2023-09-28T12:48:22.000Z,2.9K,,2.9K,55,1,without_company
D:\untitled3\.\hubs\search_technologies,null,762426,bgarkushin,2023-09-21T10:33:05.000Z,2.6K,,2.6K,28,5,without_company
D:\untitled3\.\hubs\search_technologies,null,759306,hommforever,2023-09-07T07:34:28.000Z,37K,,37K,44,88,without_company
D:\untitled3\.\hubs\search_technologies,null,757058,aGGre55or,2023-09-01T05:00:01.000Z,40K,,40K,36,77,without_company
D:\untitled3\.\hubs\search_technologies,null,756270,gtkek,2023-08-31T11:20:58.000Z,7.7K,,7.7K,98,0,without_company
D:\untitled3\.\hubs\search_technologies,null,757388,BraveSoftware,2023-08-29T10:43:06.000Z,1.3K,,1.3K,6,8,without_company
D:\untitled3\.\hubs\search_technologies,null,756004,gtkek,2023-08-24T11:32:47.000Z,10K,,10K,145,1,without_company
D:\untitled3\.\hubs\search_technologies,null,755502,EkaterinaMz,2023-08-18T11:36:55.000Z,4.9K,,4.9K,16,0,without_company
D:\untitled3\.\hubs\search_technologies,null,753560,alizar,2023-08-14T09:00:05.000Z,64K,,64K,101,274,without_company
D:\untitled3\.\hubs\search_technologies,null,753204,seo7908801,2023-08-08T07:06:34.000Z,1.6K,,1.6K,5,4,without_company
D:\untitled3\.\hubs\search_technologies,null,752238,ITMan82,2023-08-03T10:34:47.000Z,3.4K,,3.4K,13,14,without_company
D:\untitled3\.\hubs\search_technologies,null,752004,ru_vds,2023-08-02T13:00:01.000Z,27K,,27K,66,68,without_company
D:\untitled3\.\hubs\search_technologies,null,750756,DjMpegAlex,2023-07-27T08:31:42.000Z,1.3K,,1.3K,15,5,without_company
D:\untitled3\.\hubs\search_technologies,null,750196,alguryanov,2023-07-25T12:21:31.000Z,894,,894,7,2,without_company
D:\untitled3\.\hubs\search_technologies,null,748134,Dasfex,2023-07-25T07:01:06.000Z,4.3K,,4.3K,15,0,without_company
D:\untitled3\.\hubs\search_technologies,null,749302,Keva,2023-07-21T09:36:22.000Z,8.2K,,8.2K,73,43,without_company
