hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\seo,null,774288,setishin,2023-11-16T09:18:45.000Z,2.4K,,2.4K,8,5,without_company
D:\untitled3\.\hubs\seo,null,771636,ganzmavag,2023-11-07T16:12:16.000Z,42K,,42K,59,304,without_company
D:\untitled3\.\hubs\seo,null,772252,Saitcraft77,2023-11-07T09:23:50.000Z,1.5K,,1.5K,4,2,without_company
D:\untitled3\.\hubs\seo,null,770772,Saitcraft77,2023-10-30T12:26:24.000Z,1.5K,,1.5K,3,7,without_company
D:\untitled3\.\hubs\seo,null,770378,EkaterinaMz,2023-10-27T13:18:37.000Z,632,,632,2,1,without_company
D:\untitled3\.\hubs\seo,null,769592,EkaterinaMz,2023-10-24T11:59:15.000Z,610,,610,2,0,without_company
D:\untitled3\.\hubs\seo,null,769330,igorvarnavsky,2023-10-23T12:28:33.000Z,1.7K,,1.7K,18,5,without_company
D:\untitled3\.\hubs\seo,null,769198,Saitcraft77,2023-10-23T06:24:11.000Z,879,,879,6,5,without_company
D:\untitled3\.\hubs\seo,null,767366,Gleb_SEO,2023-10-13T15:16:22.000Z,1.9K,,1.9K,5,9,without_company
D:\untitled3\.\hubs\seo,null,767066,StepanRodionov,2023-10-13T08:36:32.000Z,2.5K,,2.5K,41,8,without_company
D:\untitled3\.\hubs\seo,null,767170,Saitcraft77,2023-10-13T07:03:36.000Z,497,,497,2,1,without_company
D:\untitled3\.\hubs\seo,null,765532,Saitcraft77,2023-10-05T10:09:44.000Z,792,,792,2,2,without_company
D:\untitled3\.\hubs\seo,null,764856,vinari,2023-10-02T13:38:28.000Z,1.3K,,1.3K,17,5,without_company
D:\untitled3\.\hubs\seo,null,764584,EkaterinaMz,2023-09-30T16:58:56.000Z,990,,990,7,0,without_company
D:\untitled3\.\hubs\seo,null,764008,Saitcraft77,2023-09-28T05:26:30.000Z,1.1K,,1.1K,3,0,without_company
D:\untitled3\.\hubs\seo,null,761460,Satvalduev,2023-09-16T09:35:15.000Z,1.9K,,1.9K,11,5,without_company
D:\untitled3\.\hubs\seo,null,761068,pavlusha311245,2023-09-14T11:37:04.000Z,2.3K,,2.3K,54,6,without_company
D:\untitled3\.\hubs\seo,null,760384,Saitcraft77,2023-09-12T03:56:20.000Z,1.4K,,1.4K,6,1,without_company
D:\untitled3\.\hubs\seo,null,758926,SimbirSoft_frontend,2023-09-05T07:46:29.000Z,2.2K,,2.2K,24,0,without_company
D:\untitled3\.\hubs\seo,null,758886,Saitcraft77,2023-09-04T18:11:59.000Z,801,,801,8,0,without_company
D:\untitled3\.\hubs\seo,null,757146,akopyl,2023-08-27T07:25:28.000Z,1.3K,,1.3K,10,2,without_company
D:\untitled3\.\hubs\seo,null,756004,gtkek,2023-08-24T11:32:47.000Z,10K,,10K,145,1,without_company
D:\untitled3\.\hubs\seo,null,755502,EkaterinaMz,2023-08-18T11:36:55.000Z,4.9K,,4.9K,16,0,without_company
D:\untitled3\.\hubs\seo,null,755410,Saitcraft77,2023-08-18T07:31:21.000Z,707,,707,3,3,without_company
D:\untitled3\.\hubs\seo,null,753848,koloskovv,2023-08-10T15:04:42.000Z,3.3K,,3.3K,18,11,without_company
D:\untitled3\.\hubs\seo,null,753204,seo7908801,2023-08-08T07:06:34.000Z,1.6K,,1.6K,5,4,without_company
D:\untitled3\.\hubs\seo,null,752238,ITMan82,2023-08-03T10:34:47.000Z,3.4K,,3.4K,13,14,without_company
D:\untitled3\.\hubs\seo,null,751880,Hidadmin,2023-08-02T13:00:02.000Z,1.7K,,1.7K,21,4,without_company
D:\untitled3\.\hubs\seo,null,750838,Saitcraft77,2023-07-27T12:25:12.000Z,1.2K,,1.2K,16,0,without_company
D:\untitled3\.\hubs\seo,null,750196,alguryanov,2023-07-25T12:21:31.000Z,894,,894,7,2,without_company
D:\untitled3\.\hubs\seo,null,749646,ValentinaIgorevna,2023-07-21T16:58:15.000Z,2.7K,,2.7K,9,13,without_company
D:\untitled3\.\hubs\seo,null,747126,seohive,2023-07-10T15:48:43.000Z,4.7K,,4.7K,9,5,without_company
D:\untitled3\.\hubs\seo,null,745236,EkaterinaMz,2023-07-05T08:37:53.000Z,1.4K,,1.4K,10,0,without_company
D:\untitled3\.\hubs\seo,null,741786,wolf,2023-06-14T14:52:04.000Z,1.2K,,1.2K,1,0,without_company
D:\untitled3\.\hubs\seo,null,741404,pervuhin_kinetica,2023-06-13T10:01:50.000Z,1.1K,,1.1K,10,3,without_company
D:\untitled3\.\hubs\seo,null,741054,garipovazamat,2023-06-11T06:45:37.000Z,1.4K,,1.4K,11,0,without_company
D:\untitled3\.\hubs\seo,null,740672,pervuhin_kinetica,2023-06-08T10:32:22.000Z,616,,616,4,0,without_company
D:\untitled3\.\hubs\seo,null,740498,tolstenkoaa,2023-06-07T13:52:17.000Z,2.4K,,2.4K,12,0,without_company
D:\untitled3\.\hubs\seo,null,739572,Angelina_Kurgak,2023-06-02T16:51:06.000Z,5.8K,,5.8K,63,4,without_company
D:\untitled3\.\hubs\seo,null,738948,EkaterinaMz,2023-05-31T13:53:28.000Z,841,,841,1,0,without_company
D:\untitled3\.\hubs\seo,null,738566,pervuhin_kinetica,2023-05-30T10:55:00.000Z,562,,562,3,0,without_company
D:\untitled3\.\hubs\seo,null,733730,GalsSoftware,2023-05-20T03:19:28.000Z,1.5K,,1.5K,8,0,without_company
D:\untitled3\.\hubs\seo,null,735698,rrromochka,2023-05-17T10:19:15.000Z,2.8K,,2.8K,13,2,without_company
D:\untitled3\.\hubs\seo,null,733140,sladom,2023-05-04T10:50:40.000Z,2.7K,,2.7K,14,8,without_company
D:\untitled3\.\hubs\seo,null,732970,Scraponist,2023-05-03T07:13:46.000Z,9.6K,,9.6K,78,36,without_company
D:\untitled3\.\hubs\seo,null,731558,EkaterinaMz,2023-04-25T14:54:38.000Z,2.2K,,2.2K,11,2,without_company
D:\untitled3\.\hubs\seo,null,731522,GalsSoftware,2023-04-25T12:29:07.000Z,3.4K,,3.4K,14,2,without_company
