hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\service_desk,null,773324,Loiqig,2023-11-14T10:47:02.000Z,10K,,10K,21,23,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\service_desk,null,772864,AlexeiVP,2023-11-09T10:51:05.000Z,456,,456,4,0,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\service_desk,null,771654,ivansychev,2023-11-03T07:31:59.000Z,2.7K,,2.7K,12,10,/ru/companies/inferit/articles/
D:\untitled3\.\hubs\service_desk,null,764422,Andrey_ITSM365,2023-09-29T12:17:02.000Z,716,,716,3,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\service_desk,null,760848,Andrey_ITSM365,2023-09-13T14:37:28.000Z,826,,826,4,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\service_desk,null,757356,ypchelin,2023-08-29T14:53:08.000Z,2.7K,,2.7K,19,6,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\service_desk,null,756390,YYanovski,2023-08-24T08:23:08.000Z,2.4K,,2.4K,19,8,/ru/companies/k2tech/articles/
D:\untitled3\.\hubs\service_desk,null,753850,u2mario,2023-08-10T15:30:37.000Z,1.3K,,1.3K,17,2,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\service_desk,null,752236,Daniella_Starchenko,2023-08-03T10:33:56.000Z,4.4K,,4.4K,22,0,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\service_desk,null,751324,DGorkov,2023-07-30T12:00:11.000Z,1.6K,,1.6K,12,0,/ru/hubs/itstandarts/
D:\untitled3\.\hubs\service_desk,null,750950,DigitalTatarstan,2023-07-28T07:03:56.000Z,834,,834,3,0,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\service_desk,null,746564,Admin24,2023-07-07T10:08:11.000Z,756,,756,5,0,/ru/hubs/service_desk/
D:\untitled3\.\hubs\service_desk,null,746496,AMukoseev,2023-07-07T08:00:52.000Z,3.2K,,3.2K,13,3,/ru/companies/k2tech/articles/
D:\untitled3\.\hubs\service_desk,null,746332,Daniella_Starchenko,2023-07-06T11:13:25.000Z,1.4K,,1.4K,7,0,/ru/companies/glowbyte/articles/
D:\untitled3\.\hubs\service_desk,null,744420,Admin24,2023-06-28T08:38:36.000Z,1.1K,,1.1K,7,0,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\service_desk,null,744192,Axelus,2023-06-27T10:18:26.000Z,2.6K,,2.6K,14,0,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\service_desk,null,742558,SberKorus,2023-06-19T11:00:28.000Z,954,,954,43,0,/ru/companies/SberKorus/articles/
D:\untitled3\.\hubs\service_desk,null,737900,DmitryDm12,2023-06-01T08:44:01.000Z,9.9K,,9.9K,22,3,/ru/hubs/helpdesk/
