hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\smartphones,popsci,776222,divolko3,2023-11-24T13:51:06.000Z,6.2K,,6.2K,6,9,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,775716,divolko3,2023-11-22T16:00:02.000Z,4.3K,,4.3K,1,7,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,773968,bodyawm,2023-11-21T08:01:28.000Z,15K,,15K,69,68,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\smartphones,popsci,775238,aaplpro,2023-11-21T01:48:32.000Z,959,,959,1,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,774698,k0mar0v,2023-11-17T13:50:33.000Z,3.7K,,3.7K,14,11,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,773704,Maxilect,2023-11-14T06:20:01.000Z,38K,,38K,50,75,/ru/companies/maxilect/articles/
D:\untitled3\.\hubs\smartphones,popsci,773682,aaplpro,2023-11-13T16:50:27.000Z,1.2K,,1.2K,2,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,773284,k0mar0v,2023-11-11T11:55:44.000Z,11K,,11K,23,7,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,773266,zloiromantik,2023-11-11T08:57:56.000Z,3.8K,,3.8K,7,25,/ru/hubs/smartphones/
D:\untitled3\.\hubs\smartphones,popsci,772406,aaplpro,2023-11-07T15:49:02.000Z,1.1K,,1.1K,3,1,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,771356,divolko3,2023-11-01T15:18:34.000Z,10K,,10K,7,39,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,770902,aaplpro,2023-10-31T05:30:10.000Z,5.9K,,5.9K,2,4,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,770644,aaplpro,2023-10-30T04:50:01.000Z,959,,959,0,0,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,770436,SLY_G,2023-10-28T08:04:02.000Z,27K,,27K,21,92,/ru/hubs/smartphones/
D:\untitled3\.\hubs\smartphones,popsci,769400,aaplpro,2023-10-24T16:59:02.000Z,2.3K,,2.3K,1,1,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,769654,Everland,2023-10-24T15:43:24.000Z,2.4K,,2.4K,10,8,/ru/hubs/android_dev/
D:\untitled3\.\hubs\smartphones,popsci,768814,MagicHappens,2023-10-21T08:00:02.000Z,4.7K,,4.7K,16,35,/ru/companies/first/articles/
D:\untitled3\.\hubs\smartphones,popsci,768416,SLY_G,2023-10-18T21:18:47.000Z,17K,,17K,35,128,/ru/hubs/smartphones/
D:\untitled3\.\hubs\smartphones,popsci,768384,gfx_pro,2023-10-18T17:21:40.000Z,3.7K,,3.7K,25,45,/ru/hubs/image_processing/
D:\untitled3\.\hubs\smartphones,popsci,767812,aaplpro,2023-10-16T14:25:03.000Z,1K,,1K,0,3,/ru/hubs/gadgets/
D:\untitled3\.\hubs\smartphones,popsci,767374,divolko3,2023-10-13T15:49:14.000Z,36K,,36K,10,26,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,766792,divolko3,2023-10-11T14:00:01.000Z,38K,,38K,30,54,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\smartphones,popsci,766518,ru_vds,2023-10-11T09:00:02.000Z,31K,,31K,182,56,/ru/companies/ruvds/articles/
