hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\social_networks,null,776084,Erwinmal,2023-11-25T10:00:02.000Z,6K,,6K,27,13,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\social_networks,null,775482,Anna_sila,2023-11-21T16:53:09.000Z,85K,,85K,155,77,/ru/hubs/internetmarketing/
D:\untitled3\.\hubs\social_networks,null,775452,alumnibmstu,2023-11-21T15:03:24.000Z,3.9K,,3.9K,17,18,/ru/companies/alumnibmstu/articles/
D:\untitled3\.\hubs\social_networks,null,775176,vasyaivanovpv,2023-11-20T17:47:01.000Z,1.7K,,1.7K,5,10,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\social_networks,null,774010,Erwinmal,2023-11-18T10:00:02.000Z,9.5K,,9.5K,59,34,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\social_networks,null,774380,Abejorro,2023-11-16T12:56:57.000Z,5K,,5K,22,18,/ru/companies/roskomsvoboda/articles/
D:\untitled3\.\hubs\social_networks,null,774124,alenafomina0204,2023-11-15T13:49:23.000Z,941,,941,9,3,/ru/companies/uchi_ru/articles/
D:\untitled3\.\hubs\social_networks,null,773234,OlgaPy,2023-11-10T21:59:04.000Z,8.4K,,8.4K,18,21,/ru/hubs/webdev/
D:\untitled3\.\hubs\social_networks,null,772664,GrayHoax,2023-11-08T14:40:22.000Z,655,,655,4,9,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\social_networks,null,772326,Svetlana_headz,2023-11-07T13:06:13.000Z,5.5K,,5.5K,80,17,/ru/companies/headzio/articles/
D:\untitled3\.\hubs\social_networks,null,702724,grishkaa,2023-11-05T14:38:40.000Z,4.6K,,4.6K,54,27,/ru/hubs/p2p/
D:\untitled3\.\hubs\social_networks,null,771926,roman_deev,2023-11-04T16:30:02.000Z,1.2K,,1.2K,3,1,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\social_networks,null,771910,bratchikov,2023-11-04T12:55:59.000Z,4K,,4K,21,2,/ru/hubs/social_networks/
D:\untitled3\.\hubs\social_networks,null,771042,vasilisa_b,2023-11-01T08:34:01.000Z,6.1K,,6.1K,9,13,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\social_networks,null,770596,SergiiDia,2023-10-29T16:42:01.000Z,5.8K,,5.8K,19,23,/ru/hubs/instant_messaging/
D:\untitled3\.\hubs\social_networks,null,770476,AlexSmithPsy,2023-10-28T10:48:49.000Z,3.8K,,3.8K,34,9,/ru/hubs/funcprog/
D:\untitled3\.\hubs\social_networks,null,769766,Erwinmal,2023-10-28T10:00:02.000Z,13K,,13K,45,80,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\social_networks,null,769774,rumin_v_rabote,2023-10-25T08:13:43.000Z,29K,,29K,43,141,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\social_networks,null,769568,evil_HFT,2023-10-24T11:22:11.000Z,5.8K,,5.8K,19,9,/ru/hubs/programming/
D:\untitled3\.\hubs\social_networks,null,769434,dprotopopov,2023-10-24T00:31:59.000Z,1.9K,,1.9K,11,29,/ru/hubs/research/
