hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\sound,popsci,767386,aabzel,2023-11-26T00:37:42.000Z,3.5K,,3.5K,22,21,without_company
D:\untitled3\.\hubs\sound,popsci,775988,iMonin,2023-11-23T14:28:17.000Z,7.5K,,7.5K,32,128,without_company
D:\untitled3\.\hubs\sound,popsci,773736,Lunathecat,2023-11-17T09:00:01.000Z,2.6K,,2.6K,15,3,without_company
D:\untitled3\.\hubs\sound,popsci,774146,Wladradchenko,2023-11-15T15:27:24.000Z,3.1K,,3.1K,59,10,without_company
D:\untitled3\.\hubs\sound,popsci,773356,MountainGoat,2023-11-12T12:11:13.000Z,7.8K,,7.8K,47,30,without_company
D:\untitled3\.\hubs\sound,popsci,772656,IgnatChuker,2023-11-08T14:18:22.000Z,3.6K,,3.6K,5,13,without_company
D:\untitled3\.\hubs\sound,popsci,772132,zheldak,2023-11-06T16:51:58.000Z,3.9K,,3.9K,33,14,without_company
D:\untitled3\.\hubs\sound,popsci,771216,shiru8bit,2023-11-03T09:00:03.000Z,3.3K,,3.3K,32,11,without_company
D:\untitled3\.\hubs\sound,popsci,771202,Hanamime,2023-11-01T09:16:26.000Z,25K,,25K,18,85,without_company
D:\untitled3\.\hubs\sound,popsci,770896,YuriPanchul,2023-10-31T04:19:09.000Z,2.7K,,2.7K,16,9,without_company
D:\untitled3\.\hubs\sound,popsci,769436,Lunathecat,2023-10-26T13:00:02.000Z,4.8K,,4.8K,35,20,without_company
D:\untitled3\.\hubs\sound,popsci,769270,Cloud4Y,2023-10-23T10:57:04.000Z,7.8K,,7.8K,14,6,without_company
D:\untitled3\.\hubs\sound,popsci,766894,Lunathecat,2023-10-20T09:00:02.000Z,15K,,15K,31,5,without_company
D:\untitled3\.\hubs\sound,popsci,768522,mvideo,2023-10-19T09:23:48.000Z,3K,,3K,25,18,without_company
D:\untitled3\.\hubs\sound,popsci,768270,nurtdinovadf,2023-10-18T11:29:28.000Z,2.6K,,2.6K,33,24,without_company
D:\untitled3\.\hubs\sound,popsci,767434,lanuser,2023-10-14T07:36:59.000Z,8.6K,,8.6K,43,9,without_company
D:\untitled3\.\hubs\sound,popsci,767294,orfus,2023-10-13T12:36:10.000Z,59K,,59K,239,153,without_company
D:\untitled3\.\hubs\sound,popsci,766908,Dmytro_Kikot,2023-10-13T07:00:05.000Z,8.5K,,8.5K,31,5,without_company
D:\untitled3\.\hubs\sound,popsci,766066,DAN_SEA,2023-10-12T13:00:01.000Z,15K,,15K,140,21,without_company
D:\untitled3\.\hubs\sound,popsci,766704,mvideo,2023-10-11T09:28:16.000Z,6.8K,,6.8K,20,34,without_company
D:\untitled3\.\hubs\sound,popsci,765896,aabzel,2023-10-10T14:59:01.000Z,4.6K,,4.6K,30,15,without_company
D:\untitled3\.\hubs\sound,popsci,765614,YandexCloudEditor,2023-10-06T09:00:04.000Z,1.7K,,1.7K,8,3,without_company
D:\untitled3\.\hubs\sound,popsci,764616,Lunathecat,2023-10-06T09:00:01.000Z,3.9K,,3.9K,33,5,without_company
D:\untitled3\.\hubs\sound,popsci,763482,Dmytro_Kikot,2023-09-27T07:00:13.000Z,1.7K,,1.7K,14,2,without_company
D:\untitled3\.\hubs\sound,popsci,761718,Lunathecat,2023-09-26T13:00:02.000Z,5.9K,,5.9K,44,7,without_company
D:\untitled3\.\hubs\sound,popsci,763290,Wanderality,2023-09-25T12:00:29.000Z,1.2K,,1.2K,14,0,without_company
D:\untitled3\.\hubs\sound,popsci,758778,Lunathecat,2023-09-22T09:00:02.000Z,5.5K,,5.5K,40,6,without_company
D:\untitled3\.\hubs\sound,popsci,762334,Catherine_Romanova,2023-09-20T12:52:22.000Z,3.7K,,3.7K,18,11,without_company
D:\untitled3\.\hubs\sound,popsci,761762,ATeslenko,2023-09-20T11:01:38.000Z,3.4K,,3.4K,7,1,without_company
D:\untitled3\.\hubs\sound,popsci,758782,N1kSt4r,2023-09-15T07:00:17.000Z,12K,,12K,63,19,without_company
D:\untitled3\.\hubs\sound,popsci,761052,headmusic,2023-09-14T10:23:39.000Z,4.4K,,4.4K,20,26,without_company
D:\untitled3\.\hubs\sound,popsci,760472,headmusic,2023-09-12T10:48:09.000Z,6.2K,,6.2K,11,48,without_company
D:\untitled3\.\hubs\sound,popsci,760286,mvideo,2023-09-11T13:56:48.000Z,9.2K,,9.2K,33,28,without_company
D:\untitled3\.\hubs\sound,popsci,760146,romanrex,2023-09-11T08:33:13.000Z,1.8K,,1.8K,13,7,without_company
D:\untitled3\.\hubs\sound,popsci,759870,aabzel,2023-09-09T12:38:22.000Z,1.7K,,1.7K,4,6,without_company
D:\untitled3\.\hubs\sound,popsci,756570,Lunathecat,2023-09-08T09:00:02.000Z,18K,,18K,87,8,without_company
D:\untitled3\.\hubs\sound,popsci,759214,headmusic,2023-09-06T08:59:01.000Z,2.2K,,2.2K,12,6,without_company
D:\untitled3\.\hubs\sound,popsci,758538,headmusic,2023-09-02T11:01:06.000Z,6.3K,,6.3K,29,16,without_company
D:\untitled3\.\hubs\sound,popsci,758304,snakers4,2023-09-01T08:25:10.000Z,18K,,18K,42,266,without_company
D:\untitled3\.\hubs\sound,popsci,758188,aabzel,2023-08-31T21:07:38.000Z,1.8K,,1.8K,27,23,without_company
D:\untitled3\.\hubs\sound,popsci,758140,aabzel,2023-08-31T10:43:52.000Z,2.2K,,2.2K,13,12,without_company
D:\untitled3\.\hubs\sound,popsci,757130,badcasedaily1,2023-08-30T10:29:19.000Z,4.7K,,4.7K,67,6,without_company
D:\untitled3\.\hubs\sound,popsci,749196,shiru8bit,2023-08-29T09:00:02.000Z,3.4K,,3.4K,31,5,without_company
D:\untitled3\.\hubs\sound,popsci,757006,3DSound,2023-08-26T05:11:44.000Z,2.8K,,2.8K,12,13,without_company
D:\untitled3\.\hubs\sound,popsci,756598,SergioPrieto,2023-08-24T07:12:16.000Z,5.4K,,5.4K,22,18,without_company
D:\untitled3\.\hubs\sound,popsci,756062,Dmytro_Kikot,2023-08-23T07:00:03.000Z,1.9K,,1.9K,12,1,without_company
D:\untitled3\.\hubs\sound,popsci,738282,nglaz,2023-08-22T07:01:20.000Z,4K,,4K,32,10,without_company
D:\untitled3\.\hubs\sound,popsci,754772,snakers4,2023-08-17T09:38:26.000Z,5K,,5K,33,15,without_company
D:\untitled3\.\hubs\sound,popsci,754510,whitenoise-fr,2023-08-15T11:03:34.000Z,6.5K,,6.5K,49,5,without_company
D:\untitled3\.\hubs\sound,popsci,754592,vladkorotnev,2023-08-15T08:01:09.000Z,5K,,5K,18,9,without_company
D:\untitled3\.\hubs\sound,popsci,752096,TilekSamiev,2023-08-13T14:04:19.000Z,11K,,11K,26,14,without_company
D:\untitled3\.\hubs\sound,popsci,754292,3DSound,2023-08-13T11:12:35.000Z,20K,,20K,27,50,without_company
