hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\spam,null,772576,E_BEREZIN,2023-11-08T11:45:47.000Z,1.9K,,1.9K,14,17,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,768470,pochtaboy,2023-10-19T07:40:11.000Z,683,,683,10,1,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,767684,ifap,2023-10-16T08:43:18.000Z,25K,,25K,37,104,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,767502,user18383,2023-10-14T18:19:53.000Z,3.7K,,3.7K,13,20,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,751362,ifap,2023-07-30T21:06:38.000Z,3.3K,,3.3K,14,6,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,749350,eshfield,2023-07-20T11:40:39.000Z,4.6K,,4.6K,16,17,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,747492,ifap,2023-07-12T10:01:24.000Z,13K,,13K,63,67,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,745248,Story-teller,2023-07-01T00:19:52.000Z,4K,,4K,36,10,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,735598,toshchakov,2023-05-17T07:18:29.000Z,21K,,21K,40,99,/ru/companies/yandex_cloud_and_infra/articles/
D:\untitled3\.\hubs\spam,null,733306,Bright_Translate,2023-05-12T13:00:01.000Z,5.3K,,5.3K,24,8,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\spam,null,731242,Antikiller,2023-04-24T12:56:50.000Z,52K,,52K,61,147,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,729988,kucev,2023-04-20T09:01:31.000Z,2.2K,,2.2K,8,4,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,723224,MaxRokatansky,2023-03-17T17:13:28.000Z,1.4K,,1.4K,17,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\spam,null,719306,MaxRokatansky,2023-02-27T16:52:40.000Z,1.3K,,1.3K,13,4,/ru/companies/otus/articles/
D:\untitled3\.\hubs\spam,null,713816,DigitalTatarstan,2023-01-31T06:19:01.000Z,12K,,12K,20,49,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\spam,null,709812,tim_saf,2023-01-10T09:22:09.000Z,4.8K,,4.8K,25,19,/ru/companies/hflabs/articles/
D:\untitled3\.\hubs\spam,null,696726,nik_m,2022-11-01T09:10:06.000Z,17K,,17K,87,15,/ru/companies/intervolga/articles/
D:\untitled3\.\hubs\spam,null,693136,JustJeremy,2022-10-13T12:37:08.000Z,15K,,15K,33,20,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\spam,null,688784,Story-teller,2022-09-17T00:08:17.000Z,33K,,33K,94,4,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,680544,RationalAnswer,2022-08-03T05:02:16.000Z,66K,,66K,201,143,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,673700,Cydoor,2022-06-27T15:44:57.000Z,33K,,33K,132,14,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,665090,Zextras,2022-05-11T12:00:02.000Z,3.5K,,3.5K,6,1,/ru/companies/Zextras/articles/
D:\untitled3\.\hubs\spam,null,662962,Zextras,2022-04-26T12:00:02.000Z,6.5K,,6.5K,14,2,/ru/companies/Zextras/articles/
D:\untitled3\.\hubs\spam,null,662670,toxella,2022-04-24T16:27:50.000Z,26K,,26K,58,19,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,658775,vvzvlad,2022-04-04T06:40:01.000Z,28K,,28K,178,99,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,651275,shmelev-1987,2022-02-19T06:11:01.000Z,3.7K,,3.7K,17,4,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,650607,Wolchara000,2022-02-09T11:11:08.000Z,10K,,10K,42,25,/ru/companies/tomhunter/articles/
D:\untitled3\.\hubs\spam,null,650095,FanatPHP,2022-02-07T09:01:15.000Z,6.9K,,6.9K,10,65,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,647579,slimlv,2022-01-24T22:34:37.000Z,6.7K,,6.7K,28,6,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,591497,ifap,2021-11-25T10:10:59.000Z,5.6K,,5.6K,8,34,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,584032,Wolchara000,2021-10-18T09:55:38.000Z,16K,,16K,30,25,/ru/companies/tomhunter/articles/
D:\untitled3\.\hubs\spam,null,582984,berryllium,2021-10-12T10:13:11.000Z,19K,,19K,42,5,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,580906,ifap,2021-09-30T11:32:15.000Z,68K,,68K,272,189,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,573718,torquey,2021-08-19T13:15:22.000Z,2.4K,,2.4K,11,8,/ru/companies/vk/articles/
D:\untitled3\.\hubs\spam,null,570948,mir-mir,2021-08-02T18:02:32.000Z,1.1K,,1.1K,2,1,/ru/companies/acronis/articles/
D:\untitled3\.\hubs\spam,null,562070,ne555,2021-06-12T09:16:37.000Z,113K,,113K,171,188,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,557400,AlexFedos,2021-05-14T13:48:56.000Z,8.7K,,8.7K,30,4,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\spam,null,554002,ifap,2021-04-23T12:31:36.000Z,77K,,77K,50,277,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,553432,ifap,2021-04-20T14:33:06.000Z,52K,,52K,100,121,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,549996,toshchakov,2021-04-06T08:01:49.000Z,37K,,37K,50,123,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\spam,null,549186,mikhail_mar,2021-03-29T11:52:43.000Z,19K,,19K,46,16,/ru/companies/odnoklassniki/articles/
D:\untitled3\.\hubs\spam,null,544376,polnd,2021-02-26T15:30:44.000Z,128K,,128K,374,123,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,544140,Varonis,2021-02-25T11:58:37.000Z,36K,,36K,53,2,/ru/companies/varonis/articles/
D:\untitled3\.\hubs\spam,null,543166,2naive,2021-02-18T19:05:47.000Z,19K,,19K,33,48,/ru/companies/itsoft/articles/
D:\untitled3\.\hubs\spam,null,540702,ifap,2021-02-03T11:45:27.000Z,8.2K,,8.2K,27,12,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,538794,iiwabor,2021-01-22T18:08:54.000Z,132K,,132K,103,703,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,538190,ifap,2021-01-19T20:27:55.000Z,63K,,63K,539,259,/ru/hubs/spam/
D:\untitled3\.\hubs\spam,null,537644,VASExperts,2021-01-16T17:16:05.000Z,11K,,11K,11,96,/ru/companies/vasexperts/articles/
D:\untitled3\.\hubs\spam,null,533156,oldadmin,2020-12-15T10:10:15.000Z,29K,,29K,37,6,/ru/companies/ruvds/articles/
