hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\sw,null,774198,Exilon,2023-11-15T22:30:25.000Z,4.6K,,4.6K,48,31,without_company
D:\untitled3\.\hubs\sw,null,772252,Saitcraft77,2023-11-07T09:23:50.000Z,1.5K,,1.5K,4,2,without_company
D:\untitled3\.\hubs\sw,null,770772,Saitcraft77,2023-10-30T12:26:24.000Z,1.5K,,1.5K,3,7,without_company
D:\untitled3\.\hubs\sw,null,769198,Saitcraft77,2023-10-23T06:24:11.000Z,879,,879,6,5,without_company
D:\untitled3\.\hubs\sw,null,767940,PPR,2023-10-17T07:47:11.000Z,2.3K,,2.3K,42,0,without_company
D:\untitled3\.\hubs\sw,null,765532,Saitcraft77,2023-10-05T10:09:44.000Z,793,,793,2,2,without_company
D:\untitled3\.\hubs\sw,null,763004,AntiLogik,2023-09-24T13:21:02.000Z,1.6K,,1.6K,27,4,without_company
D:\untitled3\.\hubs\sw,null,761068,pavlusha311245,2023-09-14T11:37:04.000Z,2.3K,,2.3K,54,6,without_company
D:\untitled3\.\hubs\sw,null,760434,m1llark,2023-09-12T09:23:51.000Z,5.4K,,5.4K,32,7,without_company
D:\untitled3\.\hubs\sw,null,755014,ewolf,2023-08-24T09:00:02.000Z,5.1K,,5.1K,34,7,without_company
D:\untitled3\.\hubs\sw,null,755410,Saitcraft77,2023-08-18T07:31:21.000Z,707,,707,3,3,without_company
D:\untitled3\.\hubs\sw,null,753462,Saitcraft77,2023-08-09T08:09:30.000Z,942,,942,11,5,without_company
D:\untitled3\.\hubs\sw,null,752366,Dmitri_L,2023-08-03T16:45:54.000Z,1.4K,,1.4K,15,10,without_company
D:\untitled3\.\hubs\sw,null,750838,Saitcraft77,2023-07-27T12:25:12.000Z,1.2K,,1.2K,16,0,without_company
D:\untitled3\.\hubs\sw,null,750790,AntiLogik,2023-07-27T10:16:31.000Z,3.2K,,3.2K,38,17,without_company
D:\untitled3\.\hubs\sw,null,749302,Keva,2023-07-21T09:36:22.000Z,8.2K,,8.2K,73,43,without_company
D:\untitled3\.\hubs\sw,null,744972,cointegrated,2023-06-30T07:12:10.000Z,2.5K,,2.5K,16,1,without_company
D:\untitled3\.\hubs\sw,null,730286,svetlovism,2023-04-20T05:45:20.000Z,1.3K,,1.3K,9,0,without_company
D:\untitled3\.\hubs\sw,null,715588,Amvera_Speech,2023-02-09T10:12:12.000Z,2.6K,,2.6K,46,5,without_company
D:\untitled3\.\hubs\sw,null,715492,boldachev,2023-02-07T16:24:28.000Z,19K,,19K,58,47,without_company
D:\untitled3\.\hubs\sw,null,713376,boldachev,2023-01-27T20:07:35.000Z,6.8K,,6.8K,16,42,without_company
D:\untitled3\.\hubs\sw,null,712402,franky_d_zoro,2023-01-24T06:47:45.000Z,2.7K,,2.7K,20,5,without_company
D:\untitled3\.\hubs\sw,null,712140,Sanek22,2023-01-23T09:09:24.000Z,1.5K,,1.5K,11,20,without_company
D:\untitled3\.\hubs\sw,null,708026,boldachev,2022-12-27T13:50:35.000Z,2.1K,,2.1K,14,8,without_company
D:\untitled3\.\hubs\sw,null,707664,JetHabr,2022-12-26T09:34:42.000Z,2.2K,,2.2K,13,1,without_company
D:\untitled3\.\hubs\sw,null,706916,boldachev,2022-12-21T14:35:07.000Z,4.1K,,4.1K,34,14,without_company
D:\untitled3\.\hubs\sw,null,706716,Amvera_Speech,2022-12-20T17:51:13.000Z,1.9K,,1.9K,9,13,without_company
D:\untitled3\.\hubs\sw,null,703012,wanderro,2022-12-01T19:55:45.000Z,18K,,18K,62,38,without_company
D:\untitled3\.\hubs\sw,null,702424,kirillkosolapov,2022-12-01T05:37:02.000Z,2K,,2K,16,2,without_company
D:\untitled3\.\hubs\sw,null,699058,kirillkosolapov,2022-11-14T08:33:02.000Z,4.4K,,4.4K,22,14,without_company
D:\untitled3\.\hubs\sw,null,693546,Amvera_Speech,2022-10-17T05:52:02.000Z,2.4K,,2.4K,18,3,without_company
D:\untitled3\.\hubs\sw,null,693058,diana_dev,2022-10-13T10:09:39.000Z,1.9K,,1.9K,16,0,without_company
D:\untitled3\.\hubs\sw,null,692296,Amvera_Speech,2022-10-10T16:43:12.000Z,3.2K,,3.2K,15,11,without_company
D:\untitled3\.\hubs\sw,null,692168,cointegrated,2022-10-09T10:00:05.000Z,11K,,11K,60,20,without_company
D:\untitled3\.\hubs\sw,null,690730,Weshid,2022-09-30T10:04:33.000Z,3.1K,,3.1K,20,0,without_company
D:\untitled3\.\hubs\sw,null,687148,Xeanst,2022-09-08T10:53:48.000Z,8.7K,,8.7K,45,5,without_company
D:\untitled3\.\hubs\sw,null,684830,diana_dev,2022-08-26T12:20:58.000Z,5.2K,,5.2K,21,0,without_company
D:\untitled3\.\hubs\sw,null,682032,Weshid,2022-08-11T11:16:28.000Z,3.5K,,3.5K,31,3,without_company
D:\untitled3\.\hubs\sw,null,679838,Xeanst,2022-07-29T10:30:42.000Z,3.3K,,3.3K,31,4,without_company
D:\untitled3\.\hubs\sw,null,677618,cointegrated,2022-07-19T05:01:02.000Z,5.2K,,5.2K,19,31,without_company
