hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\swift,develop,776196,bitwise,2023-11-24T12:42:44.000Z,11K,,11K,36,0,/ru/hubs/complete_code/
D:\untitled3\.\hubs\swift,develop,775128,VladGalkib,2023-11-20T11:57:20.000Z,1.3K,,1.3K,2,4,/ru/companies/dododev/articles/
D:\untitled3\.\hubs\swift,develop,774894,VAnsimov,2023-11-19T08:00:35.000Z,549,,549,10,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,774890,VAnsimov,2023-11-19T07:33:46.000Z,503,,503,6,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,774888,VAnsimov,2023-11-19T07:19:14.000Z,528,,528,7,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,774884,VAnsimov,2023-11-19T06:55:32.000Z,503,,503,12,5,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,774868,Mulish,2023-11-18T21:18:09.000Z,1.7K,,1.7K,8,5,/ru/hubs/complete_code/
D:\untitled3\.\hubs\swift,develop,774714,MaxRokatansky,2023-11-18T08:23:02.000Z,888,,888,7,0,/ru/companies/otus/articles/
D:\untitled3\.\hubs\swift,develop,774108,anzmax,2023-11-15T12:59:44.000Z,825,,825,3,1,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,773388,anzmax,2023-11-12T13:22:57.000Z,9.7K,,9.7K,28,8,/ru/hubs/complete_code/
D:\untitled3\.\hubs\swift,develop,771948,SergeyAbA,2023-11-04T20:34:42.000Z,2.4K,,2.4K,9,3,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,771444,sashadzen,2023-11-02T09:45:46.000Z,4K,,4K,24,9,/ru/companies/pyrobyte/articles/
D:\untitled3\.\hubs\swift,develop,771354,Friflex_dev,2023-11-01T15:16:16.000Z,2.1K,,2.1K,15,5,/ru/companies/friflex/articles/
D:\untitled3\.\hubs\swift,develop,770472,svgnovosibirsk,2023-10-28T09:47:48.000Z,2.1K,,2.1K,10,7,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,769886,FrD1,2023-10-25T12:54:40.000Z,2K,,2K,14,9,/ru/companies/banki/articles/
D:\untitled3\.\hubs\swift,develop,769624,haron1020,2023-10-25T08:27:19.000Z,2.8K,,2.8K,13,4,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\swift,develop,768850,maukur,2023-10-20T13:02:52.000Z,1.1K,,1.1K,12,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,768262,TDMNS,2023-10-18T10:03:58.000Z,5.5K,,5.5K,20,4,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\swift,develop,767340,divolko3,2023-10-15T10:00:03.000Z,3.1K,,3.1K,51,8,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\swift,develop,765850,lelyakuznetsova,2023-10-13T14:49:44.000Z,1K,,1K,5,0,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\swift,develop,767332,Surf_Studio,2023-10-13T13:24:01.000Z,1.5K,,1.5K,12,1,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\swift,develop,761772,AlekseyNikitin,2023-10-03T07:43:01.000Z,1.2K,,1.2K,9,3,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,763032,nurekeshka,2023-09-29T14:25:45.000Z,1.2K,,1.2K,10,0,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\swift,develop,763582,noblemanum,2023-09-26T12:47:11.000Z,2.4K,,2.4K,20,1,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\swift,develop,762656,akaDuality,2023-09-26T08:59:48.000Z,2.5K,,2.5K,15,1,/ru/companies/dododev/articles/
D:\untitled3\.\hubs\swift,develop,761980,Dinozavr2005,2023-09-19T10:55:18.000Z,1.3K,,1.3K,17,3,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,761888,svgnovosibirsk,2023-09-19T06:55:20.000Z,711,,711,6,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,761722,kuradnaths,2023-09-18T11:14:12.000Z,1.5K,,1.5K,5,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,761432,magicfefe,2023-09-16T07:35:05.000Z,3.6K,,3.6K,18,5,/ru/hubs/swift/
D:\untitled3\.\hubs\swift,develop,761132,mimorealnogo,2023-09-14T16:11:18.000Z,8.6K,,8.6K,39,25,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,759974,anzmax,2023-09-09T16:45:18.000Z,566,,566,10,1,/ru/hubs/programming/
D:\untitled3\.\hubs\swift,develop,759842,anzmax,2023-09-08T16:32:37.000Z,1.8K,,1.8K,20,4,/ru/hubs/programming/
D:\untitled3\.\hubs\swift,develop,758470,Azon,2023-09-02T19:29:14.000Z,1.9K,,1.9K,8,3,/ru/companies/broadcast/articles/
D:\untitled3\.\hubs\swift,develop,757214,chesnikovofficial,2023-08-27T17:21:51.000Z,1.6K,,1.6K,6,4,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,740720,WildGreyPlus,2023-08-25T10:44:50.000Z,1.4K,,1.4K,13,4,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,756418,IBS_habrablog,2023-08-23T10:38:14.000Z,1.3K,,1.3K,9,10,/ru/companies/ibs/articles/
D:\untitled3\.\hubs\swift,develop,755992,VladimirBrejcha,2023-08-21T17:24:32.000Z,4.7K,,4.7K,42,10,/ru/hubs/open_source/
D:\untitled3\.\hubs\swift,develop,755774,anzmax,2023-08-20T19:32:07.000Z,1.4K,,1.4K,4,8,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,755744,anzmax,2023-08-20T14:30:37.000Z,1.3K,,1.3K,14,8,/ru/hubs/programming/
D:\untitled3\.\hubs\swift,develop,753552,CrazyMiller,2023-08-09T12:36:08.000Z,1.7K,,1.7K,11,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,752614,Azon,2023-08-07T06:00:03.000Z,1.8K,,1.8K,6,2,/ru/companies/broadcast/articles/
D:\untitled3\.\hubs\swift,develop,752670,FedorEronin,2023-08-05T11:30:56.000Z,1.7K,,1.7K,21,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,751322,svgnovosibirsk,2023-07-30T11:40:33.000Z,1.6K,,1.6K,18,3,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,750732,AceRodstin,2023-07-27T07:28:45.000Z,1.4K,,1.4K,6,1,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\swift,develop,750348,Aleksandr812,2023-07-27T06:26:58.000Z,5.9K,,5.9K,32,1,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\swift,develop,750162,Azon,2023-07-25T09:10:48.000Z,1.4K,,1.4K,5,0,/ru/companies/broadcast/articles/
D:\untitled3\.\hubs\swift,develop,749700,svgnovosibirsk,2023-07-22T10:08:50.000Z,3.4K,,3.4K,18,3,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,749554,voro_byov,2023-07-21T10:29:17.000Z,2.5K,,2.5K,14,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,748478,Debash,2023-07-17T11:33:28.000Z,2.5K,,2.5K,12,0,/ru/hubs/xcode/
D:\untitled3\.\hubs\swift,develop,747462,mobileSimbirSoft,2023-07-13T10:54:23.000Z,4.7K,,4.7K,41,15,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\swift,develop,746892,svgnovosibirsk,2023-07-09T16:35:07.000Z,3.5K,,3.5K,21,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,746410,k1ng,2023-07-06T16:26:24.000Z,6.9K,,6.9K,68,20,/ru/hubs/programming/
D:\untitled3\.\hubs\swift,develop,746068,Dinozavr2005,2023-07-05T12:25:24.000Z,2.3K,,2.3K,22,2,/ru/hubs/algorithms/
D:\untitled3\.\hubs\swift,develop,746050,danyaffff,2023-07-05T11:11:49.000Z,1.8K,,1.8K,6,2,/ru/companies/cleverpumpkin/articles/
D:\untitled3\.\hubs\swift,develop,745130,Debash,2023-06-30T12:45:01.000Z,670,,670,3,2,/ru/hubs/xcode/
D:\untitled3\.\hubs\swift,develop,745118,Debash,2023-06-30T12:26:38.000Z,479,,479,3,0,/ru/hubs/xcode/
D:\untitled3\.\hubs\swift,develop,745112,Debash,2023-06-30T12:11:37.000Z,516,,516,2,0,/ru/hubs/xcode/
D:\untitled3\.\hubs\swift,develop,745102,Debash,2023-06-30T12:08:27.000Z,414,,414,3,0,/ru/hubs/xcode/
D:\untitled3\.\hubs\swift,develop,744414,nikit6000,2023-06-28T12:51:22.000Z,4.1K,,4.1K,25,0,/ru/companies/cleverpumpkin/articles/
D:\untitled3\.\hubs\swift,develop,744470,Debash,2023-06-28T10:30:20.000Z,1.7K,,1.7K,15,2,/ru/hubs/swift/
D:\untitled3\.\hubs\swift,develop,744344,Debash,2023-06-27T21:25:26.000Z,3.4K,,3.4K,9,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,744216,BarredEwe,2023-06-27T11:52:26.000Z,2.6K,,2.6K,14,9,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\swift,develop,743548,anastasiia_belykh,2023-06-23T12:14:14.000Z,8.3K,,8.3K,30,14,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,743208,spetryaev,2023-06-21T22:04:25.000Z,3.4K,,3.4K,17,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,742502,Chulakov_Dev,2023-06-21T11:25:01.000Z,9.1K,,9.1K,45,5,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,743014,Grigorii_K,2023-06-21T08:39:44.000Z,4.2K,,4.2K,27,5,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\swift,develop,742750,gnatyuk_sergey,2023-06-21T07:15:56.000Z,9.4K,,9.4K,60,40,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\swift,develop,742696,Surf_Studio,2023-06-20T07:27:01.000Z,3.8K,,3.8K,27,3,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\swift,develop,742462,Rockerman,2023-06-19T06:57:00.000Z,2.2K,,2.2K,5,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,741266,svgnovosibirsk,2023-06-12T14:07:19.000Z,2.4K,,2.4K,19,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,740044,svgnovosibirsk,2023-06-06T03:25:15.000Z,2.8K,,2.8K,11,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,738368,AceRodstin,2023-05-29T14:35:00.000Z,962,,962,4,1,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,737578,Surf_Studio,2023-05-26T09:32:39.000Z,1.9K,,1.9K,16,0,/ru/companies/surfstudio/articles/
D:\untitled3\.\hubs\swift,develop,736072,SwiftBook,2023-05-26T09:17:14.000Z,363,,363,3,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,736074,SwiftBook,2023-05-25T08:58:10.000Z,435,,435,3,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,736516,Dinozavr2005,2023-05-22T06:47:41.000Z,1.2K,,1.2K,4,4,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\swift,develop,736106,movpushmov,2023-05-18T14:49:23.000Z,1.8K,,1.8K,10,5,/ru/hubs/objectivec/
D:\untitled3\.\hubs\swift,develop,735946,Cmuphobk,2023-05-18T08:13:42.000Z,5.3K,,5.3K,29,7,/ru/companies/docdoc/articles/
D:\untitled3\.\hubs\swift,develop,734214,SofBix,2023-05-18T07:13:33.000Z,2.1K,,2.1K,10,2,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\swift,develop,732576,Streetmage,2023-05-17T07:00:01.000Z,1.1K,,1.1K,9,28,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,734468,GolovinDS,2023-05-11T11:54:16.000Z,2.2K,,2.2K,7,1,/ru/companies/otus/articles/
D:\untitled3\.\hubs\swift,develop,728732,kymacat,2023-05-10T21:11:51.000Z,6.9K,,6.9K,38,5,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,730788,SwiftBook,2023-05-04T10:11:10.000Z,534,,534,1,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,733038,lolsmh,2023-05-03T11:49:47.000Z,2.5K,,2.5K,19,3,/ru/companies/cleverpumpkin/articles/
D:\untitled3\.\hubs\swift,develop,732676,SLMax_by,2023-05-01T18:02:02.000Z,6.8K,,6.8K,19,12,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,732640,TyomaZago,2023-05-01T11:51:49.000Z,3.6K,,3.6K,24,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,731918,mobileSimbirSoft,2023-04-27T07:39:50.000Z,3.4K,,3.4K,13,0,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\swift,develop,731808,Usetech,2023-04-27T03:10:02.000Z,2K,,2K,6,2,/ru/companies/usetech/articles/
D:\untitled3\.\hubs\swift,develop,731048,Dinozavr2005,2023-04-23T18:05:16.000Z,3.7K,,3.7K,16,12,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,728016,SwiftBook,2023-04-21T09:05:43.000Z,1.1K,,1.1K,6,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,728018,SwiftBook,2023-04-17T08:43:29.000Z,636,,636,2,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,728772,zradacore,2023-04-13T06:45:42.000Z,2.1K,,2.1K,13,1,/ru/hubs/map_api/
D:\untitled3\.\hubs\swift,develop,727788,kymacat,2023-04-08T13:33:08.000Z,12K,,12K,52,13,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,723128,SwiftBook,2023-03-24T08:42:00.000Z,802,,802,5,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,724376,Dinozavr2005,2023-03-23T15:29:40.000Z,5.6K,,5.6K,33,2,/ru/hubs/algorithms/
D:\untitled3\.\hubs\swift,develop,723120,SwiftBook,2023-03-23T10:36:18.000Z,575,,575,4,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,723124,SwiftBook,2023-03-22T08:33:37.000Z,622,,622,4,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,723954,mobileSimbirSoft,2023-03-22T06:52:41.000Z,3.9K,,3.9K,32,3,/ru/companies/simbirsoft/articles/
D:\untitled3\.\hubs\swift,develop,723672,nsurl-dev,2023-03-21T09:44:52.000Z,1.8K,,1.8K,19,0,/ru/companies/vk/articles/
D:\untitled3\.\hubs\swift,develop,723132,SwiftBook,2023-03-21T07:45:46.000Z,780,,780,7,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,723140,SwiftBook,2023-03-20T10:52:40.000Z,294,,294,4,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,723190,Cmuphobk,2023-03-17T14:25:41.000Z,3.3K,,3.3K,16,0,/ru/companies/docdoc/articles/
D:\untitled3\.\hubs\swift,develop,722812,bshkrva,2023-03-16T15:14:08.000Z,7.5K,,7.5K,48,6,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\swift,develop,722172,MarkParker5,2023-03-13T23:12:52.000Z,2.7K,,2.7K,14,9,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,719948,SwiftBook,2023-03-07T09:10:21.000Z,3.3K,,3.3K,20,17,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,720018,SwiftBook,2023-03-06T07:23:14.000Z,2.6K,,2.6K,14,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,720020,SwiftBook,2023-03-03T07:26:48.000Z,470,,470,7,0,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,718540,SwiftBook,2023-02-28T09:17:28.000Z,510,,510,5,1,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\swift,develop,718548,SwiftBook,2023-02-27T07:17:12.000Z,2.4K,,2.4K,15,1,/ru/hubs/ios_dev/
