hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\symfony,develop,775056,vodevel,2023-11-20T09:12:22.000Z,6K,,6K,30,9,without_company
D:\untitled3\.\hubs\symfony,develop,774842,maxkain,2023-11-18T14:43:25.000Z,7.7K,,7.7K,15,24,without_company
D:\untitled3\.\hubs\symfony,develop,773898,oneNevan,2023-11-14T14:39:08.000Z,2.9K,,2.9K,29,0,without_company
D:\untitled3\.\hubs\symfony,develop,772918,MaxRokatansky,2023-11-09T14:02:01.000Z,2.4K,,2.4K,11,4,without_company
D:\untitled3\.\hubs\symfony,develop,763084,Izenx,2023-09-29T07:24:55.000Z,1.8K,,1.8K,12,3,without_company
D:\untitled3\.\hubs\symfony,develop,760606,alexrozen,2023-09-13T06:52:09.000Z,4.4K,,4.4K,29,20,without_company
D:\untitled3\.\hubs\symfony,develop,756498,nProfessor,2023-08-24T07:01:02.000Z,21K,,21K,68,55,without_company
D:\untitled3\.\hubs\symfony,develop,754806,MaxRokatansky,2023-08-16T04:10:02.000Z,2.2K,,2.2K,10,2,without_company
D:\untitled3\.\hubs\symfony,develop,754134,otezvikentiy,2023-08-11T17:17:04.000Z,1.9K,,1.9K,4,11,without_company
D:\untitled3\.\hubs\symfony,develop,753264,adss332,2023-08-08T10:55:48.000Z,2.8K,,2.8K,30,15,without_company
D:\untitled3\.\hubs\symfony,develop,750574,MaxRokatansky,2023-07-26T19:44:01.000Z,1.5K,,1.5K,9,1,without_company
D:\untitled3\.\hubs\symfony,develop,740788,ipatiev,2023-06-08T20:19:56.000Z,2.7K,,2.7K,18,2,without_company
D:\untitled3\.\hubs\symfony,develop,739350,strokoff,2023-06-02T17:26:22.000Z,3.4K,,3.4K,14,9,without_company
D:\untitled3\.\hubs\symfony,develop,738996,ArtemKiyashko,2023-05-31T17:34:32.000Z,1.6K,,1.6K,12,3,without_company
D:\untitled3\.\hubs\symfony,develop,737530,MaxRokatansky,2023-05-25T09:42:08.000Z,7.3K,,7.3K,11,19,without_company
D:\untitled3\.\hubs\symfony,develop,736574,maxkain,2023-05-21T17:27:28.000Z,13K,,13K,38,54,without_company
D:\untitled3\.\hubs\symfony,develop,735670,MaxRokatansky,2023-05-17T09:47:21.000Z,835,,835,2,1,without_company
D:\untitled3\.\hubs\symfony,develop,733436,MaxRokatansky,2023-05-04T18:02:12.000Z,3.1K,,3.1K,15,3,without_company
D:\untitled3\.\hubs\symfony,develop,732470,Izenx,2023-04-30T03:59:08.000Z,6.1K,,6.1K,40,9,without_company
D:\untitled3\.\hubs\symfony,develop,730480,NikitchenkoSergey,2023-04-20T13:28:04.000Z,4.8K,,4.8K,18,6,without_company
D:\untitled3\.\hubs\symfony,develop,729360,Izenx,2023-04-16T09:56:42.000Z,4.8K,,4.8K,37,4,without_company
D:\untitled3\.\hubs\symfony,develop,720216,Alex-Volodin,2023-03-15T09:01:17.000Z,18K,,18K,127,13,without_company
D:\untitled3\.\hubs\symfony,develop,718916,anny_anny,2023-02-25T08:15:10.000Z,43K,,43K,150,34,without_company
D:\untitled3\.\hubs\symfony,develop,718374,OlegMifle,2023-02-22T10:31:51.000Z,7.2K,,7.2K,58,11,without_company
D:\untitled3\.\hubs\symfony,develop,715942,franzose,2023-02-09T15:43:57.000Z,4.1K,,4.1K,18,9,without_company
D:\untitled3\.\hubs\symfony,develop,715672,MaxRokatansky,2023-02-08T14:04:54.000Z,7.9K,,7.9K,32,8,without_company
D:\untitled3\.\hubs\symfony,develop,714802,Helldar,2023-02-03T21:16:30.000Z,4.3K,,4.3K,30,39,without_company
D:\untitled3\.\hubs\symfony,develop,714616,rikki_tikki,2023-02-03T09:20:56.000Z,1.5K,,1.5K,4,0,without_company
D:\untitled3\.\hubs\symfony,develop,713454,Aeliot,2023-01-28T20:20:53.000Z,6.5K,,6.5K,46,5,without_company
D:\untitled3\.\hubs\symfony,develop,713080,MaxRokatansky,2023-01-26T14:27:19.000Z,1.6K,,1.6K,6,0,without_company
D:\untitled3\.\hubs\symfony,develop,709448,Webjox,2023-01-08T04:45:24.000Z,11K,,11K,51,20,without_company
D:\untitled3\.\hubs\symfony,develop,707666,kxxb,2022-12-26T09:52:59.000Z,7.6K,,7.6K,26,11,without_company
D:\untitled3\.\hubs\symfony,develop,705194,S__vet,2022-12-13T14:49:55.000Z,34K,,34K,44,69,without_company
D:\untitled3\.\hubs\symfony,develop,702078,fourfingers,2022-11-28T13:47:02.000Z,4.9K,,4.9K,24,0,without_company
D:\untitled3\.\hubs\symfony,develop,688202,gophp,2022-09-14T10:25:49.000Z,3.4K,,3.4K,19,5,without_company
D:\untitled3\.\hubs\symfony,develop,687632,RNSNS,2022-09-11T18:17:33.000Z,1.8K,,1.8K,5,6,without_company
D:\untitled3\.\hubs\symfony,develop,676560,worksolutions,2022-07-14T05:00:01.000Z,6.1K,,6.1K,30,6,without_company
D:\untitled3\.\hubs\symfony,develop,671956,mvs,2022-06-17T12:02:15.000Z,3.2K,,3.2K,13,3,without_company
D:\untitled3\.\hubs\symfony,develop,671074,AlexLeonov,2022-06-13T10:44:55.000Z,6.9K,,6.9K,16,7,without_company
D:\untitled3\.\hubs\symfony,develop,669590,pp_rpz39,2022-06-04T13:25:19.000Z,9.1K,,9.1K,24,8,without_company
D:\untitled3\.\hubs\symfony,develop,667590,AlexLeonov,2022-05-25T15:35:30.000Z,21K,,21K,168,19,without_company
D:\untitled3\.\hubs\symfony,develop,666602,Blacker,2022-05-19T10:10:10.000Z,4.2K,,4.2K,18,0,without_company
D:\untitled3\.\hubs\symfony,develop,662545,AlexLeonov,2022-05-08T10:15:04.000Z,6.2K,,6.2K,12,5,without_company
D:\untitled3\.\hubs\symfony,develop,657873,AlexLeonov,2022-04-03T09:54:41.000Z,7.3K,,7.3K,25,27,without_company
D:\untitled3\.\hubs\symfony,develop,655399,AlexLeonov,2022-03-13T15:08:38.000Z,34K,,34K,176,13,without_company
D:\untitled3\.\hubs\symfony,develop,652753,pronskiy,2022-02-21T13:07:01.000Z,13K,,13K,32,12,without_company
D:\untitled3\.\hubs\symfony,develop,650145,pronskiy,2022-02-07T11:42:15.000Z,11K,,11K,27,17,without_company
D:\untitled3\.\hubs\symfony,develop,647491,pronskiy,2022-01-24T13:38:20.000Z,12K,,12K,21,10,without_company
D:\untitled3\.\hubs\symfony,develop,646575,MaxRokatansky,2022-01-19T16:41:14.000Z,3.9K,,3.9K,15,1,without_company
D:\untitled3\.\hubs\symfony,develop,645261,kmoseenk,2022-01-12T15:00:07.000Z,3K,,3K,6,0,without_company
D:\untitled3\.\hubs\symfony,develop,599935,pronskiy,2022-01-10T13:38:28.000Z,13K,,13K,27,6,without_company
D:\untitled3\.\hubs\symfony,develop,597505,spasibo_kep,2021-12-29T07:05:01.000Z,4K,,4K,3,4,without_company
D:\untitled3\.\hubs\symfony,develop,598189,pronskiy,2021-12-27T13:52:23.000Z,11K,,11K,21,14,without_company
D:\untitled3\.\hubs\symfony,develop,596841,hatman,2021-12-21T07:18:04.000Z,51K,,51K,76,126,without_company
D:\untitled3\.\hubs\symfony,develop,595501,spasibo_kep,2021-12-20T11:58:18.000Z,6K,,6K,11,3,without_company
D:\untitled3\.\hubs\symfony,develop,596559,Russell-s-Teapot,2021-12-19T16:10:36.000Z,6.8K,,6.8K,20,8,without_company
D:\untitled3\.\hubs\symfony,develop,595309,pronskiy,2021-12-13T15:35:33.000Z,8.1K,,8.1K,18,11,without_company
D:\untitled3\.\hubs\symfony,develop,594473,pronskiy,2021-12-09T11:20:20.000Z,10K,,10K,8,43,without_company
D:\untitled3\.\hubs\symfony,develop,592621,pronskiy,2021-11-30T16:44:30.000Z,9.9K,,9.9K,30,12,without_company
D:\untitled3\.\hubs\symfony,develop,590471,myks92,2021-11-20T20:01:25.000Z,4.3K,,4.3K,27,11,without_company
D:\untitled3\.\hubs\symfony,develop,589229,pronskiy,2021-11-15T11:45:22.000Z,11K,,11K,19,11,without_company
D:\untitled3\.\hubs\symfony,develop,585326,pronskiy,2021-10-25T10:28:48.000Z,11K,,11K,27,10,without_company
D:\untitled3\.\hubs\symfony,develop,582776,pronskiy,2021-10-11T11:44:33.000Z,11K,,11K,20,12,without_company
D:\untitled3\.\hubs\symfony,develop,580422,Ramapriya,2021-09-28T10:27:03.000Z,3.6K,,3.6K,8,11,without_company
D:\untitled3\.\hubs\symfony,develop,580210,pronskiy,2021-09-27T12:53:02.000Z,11K,,11K,25,3,without_company
D:\untitled3\.\hubs\symfony,develop,579976,maxkain,2021-09-25T17:19:27.000Z,6.7K,,6.7K,21,12,without_company
D:\untitled3\.\hubs\symfony,develop,577660,pronskiy,2021-09-13T13:06:46.000Z,11K,,11K,28,1,without_company
D:\untitled3\.\hubs\symfony,develop,575354,pronskiy,2021-08-30T12:09:36.000Z,10K,,10K,26,19,without_company
D:\untitled3\.\hubs\symfony,develop,573184,pronskiy,2021-08-16T14:10:45.000Z,11K,,11K,22,5,without_company
D:\untitled3\.\hubs\symfony,develop,569626,pronskiy,2021-07-26T10:37:59.000Z,9.4K,,9.4K,19,6,without_company
D:\untitled3\.\hubs\symfony,develop,568100,ysirotenko,2021-07-16T13:09:00.000Z,4.9K,,4.9K,39,5,without_company
D:\untitled3\.\hubs\symfony,develop,567228,pronskiy,2021-07-12T08:39:04.000Z,8.6K,,8.6K,17,21,without_company
D:\untitled3\.\hubs\symfony,develop,566394,genkovich,2021-07-06T12:44:59.000Z,9.6K,,9.6K,54,118,without_company
D:\untitled3\.\hubs\symfony,develop,565202,pronskiy,2021-06-29T08:33:41.000Z,11K,,11K,28,21,without_company
D:\untitled3\.\hubs\symfony,develop,560842,Skyeng-Habr,2021-06-25T10:24:24.000Z,12K,,12K,89,2,without_company
D:\untitled3\.\hubs\symfony,develop,564532,MaxRokatansky,2021-06-24T20:56:40.000Z,12K,,12K,22,19,without_company
D:\untitled3\.\hubs\symfony,develop,562718,pronskiy,2021-06-14T21:10:14.000Z,12K,,12K,20,8,without_company
D:\untitled3\.\hubs\symfony,develop,562392,MaxRokatansky,2021-06-11T15:01:41.000Z,3.4K,,3.4K,18,2,without_company
D:\untitled3\.\hubs\symfony,develop,561550,genkovich,2021-06-07T17:53:33.000Z,18K,,18K,85,14,without_company
D:\untitled3\.\hubs\symfony,develop,560496,MaxRokatansky,2021-06-01T14:34:20.000Z,3.4K,,3.4K,16,1,without_company
D:\untitled3\.\hubs\symfony,develop,560158,pronskiy,2021-05-31T10:10:35.000Z,10K,,10K,32,23,without_company
D:\untitled3\.\hubs\symfony,develop,557828,pronskiy,2021-05-17T13:31:20.000Z,11K,,11K,30,40,without_company
D:\untitled3\.\hubs\symfony,develop,555954,Aeliot,2021-05-05T14:19:07.000Z,981,,981,5,0,without_company
D:\untitled3\.\hubs\symfony,develop,555242,pronskiy,2021-04-30T08:08:19.000Z,10K,,10K,33,16,without_company
D:\untitled3\.\hubs\symfony,develop,553128,spasibo_kep,2021-04-19T08:27:45.000Z,5K,,5K,26,0,without_company
D:\untitled3\.\hubs\symfony,develop,552310,pronskiy,2021-04-14T08:23:42.000Z,12K,,12K,28,63,without_company
D:\untitled3\.\hubs\symfony,develop,550616,vsh797,2021-04-04T13:34:25.000Z,28K,,28K,80,33,without_company
D:\untitled3\.\hubs\symfony,develop,549462,pronskiy,2021-03-29T08:55:08.000Z,12K,,12K,34,25,without_company
D:\untitled3\.\hubs\symfony,develop,548336,cezar75rus,2021-03-22T12:21:17.000Z,6.6K,,6.6K,24,1,without_company
D:\untitled3\.\hubs\symfony,develop,547158,pronskiy,2021-03-15T13:43:49.000Z,9.9K,,9.9K,31,16,without_company
D:\untitled3\.\hubs\symfony,develop,543802,aatk,2021-02-23T16:10:00.000Z,3.7K,,3.7K,10,5,without_company
D:\untitled3\.\hubs\symfony,develop,543628,pronskiy,2021-02-22T10:43:15.000Z,12K,,12K,37,23,without_company
D:\untitled3\.\hubs\symfony,develop,542272,VladislavPav,2021-02-13T15:40:37.000Z,15K,,15K,107,17,without_company
D:\untitled3\.\hubs\symfony,develop,541300,pronskiy,2021-02-08T00:06:30.000Z,11K,,11K,28,17,without_company
D:\untitled3\.\hubs\symfony,develop,540082,vsh797,2021-01-30T17:02:10.000Z,4.3K,,4.3K,26,14,without_company
D:\untitled3\.\hubs\symfony,develop,539464,Helldar,2021-01-27T08:13:51.000Z,3.8K,,3.8K,6,22,without_company
D:\untitled3\.\hubs\symfony,develop,539084,Dionisvl,2021-01-25T10:26:00.000Z,14K,,14K,50,3,without_company
D:\untitled3\.\hubs\symfony,develop,539034,pronskiy,2021-01-25T09:01:30.000Z,11K,,11K,26,37,without_company
D:\untitled3\.\hubs\symfony,develop,538482,MaxRokatansky,2021-01-21T13:29:07.000Z,6.3K,,6.3K,7,1,without_company
D:\untitled3\.\hubs\symfony,develop,538094,GolovinDS,2021-01-19T11:21:30.000Z,5.5K,,5.5K,15,4,without_company
D:\untitled3\.\hubs\symfony,develop,537784,pvsaintpe,2021-01-17T23:13:38.000Z,115K,,115K,39,9,without_company
D:\untitled3\.\hubs\symfony,develop,536726,pronskiy,2021-01-11T09:35:11.000Z,14K,,14K,33,18,without_company
D:\untitled3\.\hubs\symfony,develop,536238,Grikdotnet,2021-01-06T01:50:50.000Z,10K,,10K,82,69,without_company
D:\untitled3\.\hubs\symfony,develop,535526,MaxRokatansky,2020-12-29T13:30:33.000Z,6.4K,,6.4K,13,0,without_company
D:\untitled3\.\hubs\symfony,develop,535308,pronskiy,2020-12-28T09:21:16.000Z,11K,,11K,34,7,without_company
D:\untitled3\.\hubs\symfony,develop,535158,Andchir,2020-12-27T16:12:46.000Z,2.3K,,2.3K,12,0,without_company
D:\untitled3\.\hubs\symfony,develop,532950,pronskiy,2020-12-14T11:22:09.000Z,13K,,13K,27,44,without_company
D:\untitled3\.\hubs\symfony,develop,531676,Skyeng-Habr,2020-12-10T12:09:28.000Z,12K,,12K,26,12,without_company
D:\untitled3\.\hubs\symfony,develop,531828,pronskiy,2020-12-08T04:23:59.000Z,28K,,28K,48,134,without_company
D:\untitled3\.\hubs\symfony,develop,530562,pronskiy,2020-11-30T10:01:48.000Z,12K,,12K,35,20,without_company
D:\untitled3\.\hubs\symfony,develop,528256,pronskiy,2020-11-16T10:06:09.000Z,9.5K,,9.5K,23,9,without_company
D:\untitled3\.\hubs\symfony,develop,526098,pronskiy,2020-11-02T10:02:00.000Z,13K,,13K,31,6,without_company
D:\untitled3\.\hubs\symfony,develop,524252,spasibo_kep,2020-10-20T12:16:12.000Z,3.3K,,3.3K,14,9,without_company
D:\untitled3\.\hubs\symfony,develop,524040,pronskiy,2020-10-19T09:11:45.000Z,12K,,12K,32,10,without_company
D:\untitled3\.\hubs\symfony,develop,522042,pronskiy,2020-10-05T08:16:13.000Z,13K,,13K,20,16,without_company
D:\untitled3\.\hubs\symfony,develop,521292,gotz,2020-09-29T22:31:01.000Z,19K,,19K,43,118,without_company
D:\untitled3\.\hubs\symfony,develop,519960,pronskiy,2020-09-21T08:20:20.000Z,13K,,13K,31,15,without_company
D:\untitled3\.\hubs\symfony,develop,518064,pronskiy,2020-09-07T08:17:43.000Z,14K,,14K,32,22,without_company
D:\untitled3\.\hubs\symfony,develop,515416,pronskiy,2020-08-17T08:24:40.000Z,11K,,11K,29,6,without_company
D:\untitled3\.\hubs\symfony,develop,513682,corelab,2020-08-10T10:24:34.000Z,11K,,11K,26,10,without_company
D:\untitled3\.\hubs\symfony,develop,513558,pronskiy,2020-08-03T08:26:35.000Z,14K,,14K,26,22,without_company
D:\untitled3\.\hubs\symfony,develop,513250,pronskiy,2020-07-31T07:30:24.000Z,11K,,11K,22,42,without_company
D:\untitled3\.\hubs\symfony,develop,511686,pronskiy,2020-07-20T08:05:29.000Z,12K,,12K,29,19,without_company
D:\untitled3\.\hubs\symfony,develop,510764,vlstrochkov,2020-07-13T13:51:23.000Z,5.7K,,5.7K,31,7,without_company
D:\untitled3\.\hubs\symfony,develop,509842,vlstrochkov,2020-07-06T15:22:48.000Z,23K,,23K,34,10,without_company
D:\untitled3\.\hubs\symfony,develop,509738,pronskiy,2020-07-06T07:31:23.000Z,13K,,13K,31,22,without_company
D:\untitled3\.\hubs\symfony,develop,508376,AloneCoder,2020-06-30T16:57:30.000Z,8.2K,,8.2K,55,10,without_company
D:\untitled3\.\hubs\symfony,develop,508936,themaxlife,2020-06-30T11:31:57.000Z,15K,,15K,34,12,without_company
D:\untitled3\.\hubs\symfony,develop,508286,seregazhuk,2020-06-30T09:00:02.000Z,13K,,13K,54,77,without_company
D:\untitled3\.\hubs\symfony,develop,508424,MaxRokatansky,2020-06-26T12:56:12.000Z,4.2K,,4.2K,20,3,without_company
D:\untitled3\.\hubs\symfony,develop,507636,pronskiy,2020-06-22T06:27:52.000Z,13K,,13K,35,58,without_company
D:\untitled3\.\hubs\symfony,develop,506346,vasia_dunaev,2020-06-11T11:53:51.000Z,17K,,17K,120,55,without_company
D:\untitled3\.\hubs\symfony,develop,505798,pronskiy,2020-06-08T13:39:01.000Z,11K,,11K,26,71,without_company
D:\untitled3\.\hubs\symfony,develop,504734,pronskiy,2020-06-01T01:22:47.000Z,12K,,12K,25,8,without_company
D:\untitled3\.\hubs\symfony,develop,502442,pronskiy,2020-05-17T23:59:03.000Z,13K,,13K,33,52,without_company
D:\untitled3\.\hubs\symfony,develop,500596,bravik,2020-05-15T12:33:56.000Z,2.2K,,2.2K,15,0,without_company
D:\untitled3\.\hubs\symfony,develop,501508,seregazhuk,2020-05-15T09:00:02.000Z,4.2K,,4.2K,19,3,without_company
D:\untitled3\.\hubs\symfony,develop,501062,spasibo_kep,2020-05-08T10:11:03.000Z,2.2K,,2.2K,15,3,without_company
D:\untitled3\.\hubs\symfony,develop,500044,bravik,2020-05-04T13:23:33.000Z,2.7K,,2.7K,17,5,without_company
D:\untitled3\.\hubs\symfony,develop,500314,pronskiy,2020-05-04T08:11:17.000Z,13K,,13K,33,25,without_company
D:\untitled3\.\hubs\symfony,develop,499076,bravik,2020-05-01T14:06:57.000Z,2.6K,,2.6K,16,0,without_company
D:\untitled3\.\hubs\symfony,develop,499074,bravik,2020-04-26T02:02:52.000Z,5K,,5K,21,6,without_company
D:\untitled3\.\hubs\symfony,develop,498610,bravik,2020-04-24T03:18:23.000Z,2K,,2K,14,0,without_company
D:\untitled3\.\hubs\symfony,develop,498536,bravik,2020-04-22T13:59:46.000Z,3.6K,,3.6K,16,2,without_company
D:\untitled3\.\hubs\symfony,develop,498246,pronskiy,2020-04-21T07:06:19.000Z,11K,,11K,26,6,without_company
D:\untitled3\.\hubs\symfony,develop,498134,bravik,2020-04-20T12:10:01.000Z,11K,,11K,75,1,without_company
D:\untitled3\.\hubs\symfony,develop,497450,prinkov,2020-04-15T18:40:52.000Z,7.5K,,7.5K,10,1,without_company
D:\untitled3\.\hubs\symfony,develop,495838,pronskiy,2020-04-06T07:00:58.000Z,12K,,12K,29,14,without_company
D:\untitled3\.\hubs\symfony,develop,495604,prinkov,2020-04-03T19:18:26.000Z,2.4K,,2.4K,6,0,without_company
D:\untitled3\.\hubs\symfony,develop,493594,pronskiy,2020-03-23T01:21:14.000Z,13K,,13K,30,21,without_company
D:\untitled3\.\hubs\symfony,develop,492038,spasibo_kep,2020-03-12T10:30:22.000Z,1.5K,,1.5K,5,0,without_company
D:\untitled3\.\hubs\symfony,develop,491660,pronskiy,2020-03-09T23:55:14.000Z,13K,,13K,26,24,without_company
D:\untitled3\.\hubs\symfony,develop,490846,GKogan,2020-03-03T11:00:40.000Z,2.2K,,2.2K,12,3,without_company
D:\untitled3\.\hubs\symfony,develop,489662,pronskiy,2020-02-24T07:01:16.000Z,15K,,15K,48,39,without_company
D:\untitled3\.\hubs\symfony,develop,489426,Darius_Grigorjevas,2020-02-21T14:57:07.000Z,19K,,19K,65,22,without_company
D:\untitled3\.\hubs\symfony,develop,488030,ghost404,2020-02-18T06:14:24.000Z,2.6K,,2.6K,11,3,without_company
D:\untitled3\.\hubs\symfony,develop,487690,pronskiy,2020-02-10T02:22:23.000Z,15K,,15K,39,14,without_company
D:\untitled3\.\hubs\symfony,develop,485620,spasibo_kep,2020-01-27T08:45:46.000Z,6.4K,,6.4K,14,1,without_company
D:\untitled3\.\hubs\symfony,develop,485592,pronskiy,2020-01-27T01:45:36.000Z,16K,,16K,55,13,without_company
D:\untitled3\.\hubs\symfony,develop,483684,pronskiy,2020-01-13T00:15:15.000Z,16K,,16K,41,15,without_company
D:\untitled3\.\hubs\symfony,develop,483584,borisd_ru,2020-01-11T22:28:13.000Z,8.7K,,8.7K,57,12,without_company
D:\untitled3\.\hubs\symfony,develop,481786,transpond,2019-12-24T11:52:57.000Z,10K,,10K,23,41,without_company
D:\untitled3\.\hubs\symfony,develop,481564,pronskiy,2019-12-23T00:47:12.000Z,17K,,17K,45,19,without_company
D:\untitled3\.\hubs\symfony,develop,479870,spasibo_kep,2019-12-12T07:25:44.000Z,2.7K,,2.7K,7,5,without_company
D:\untitled3\.\hubs\symfony,develop,479306,pronskiy,2019-12-09T08:17:34.000Z,15K,,15K,41,29,without_company
D:\untitled3\.\hubs\symfony,develop,479168,Andchir,2019-12-08T20:44:05.000Z,24K,,24K,36,12,without_company
D:\untitled3\.\hubs\symfony,develop,478432,spasibo_kep,2019-12-03T11:20:17.000Z,6.1K,,6.1K,12,21,without_company
D:\untitled3\.\hubs\symfony,develop,478350,navvygator,2019-12-02T11:38:26.000Z,1.3K,,1.3K,3,0,without_company
D:\untitled3\.\hubs\symfony,develop,477318,pronskiy,2019-11-25T08:02:34.000Z,15K,,15K,46,15,without_company
D:\untitled3\.\hubs\symfony,develop,475624,seregazhuk,2019-11-14T12:05:01.000Z,7.2K,,7.2K,79,22,without_company
D:\untitled3\.\hubs\symfony,develop,474724,spasibo_kep,2019-11-06T11:46:01.000Z,8K,,8K,26,48,without_company
D:\untitled3\.\hubs\symfony,develop,474380,pronskiy,2019-11-04T00:15:07.000Z,14K,,14K,43,7,without_company
D:\untitled3\.\hubs\symfony,develop,472306,pronskiy,2019-10-21T00:28:44.000Z,13K,,13K,34,8,without_company
D:\untitled3\.\hubs\symfony,develop,471882,ragequit,2019-10-17T14:58:35.000Z,4.8K,,4.8K,27,19,without_company
D:\untitled3\.\hubs\symfony,develop,470373,pronskiy,2019-10-07T01:41:53.000Z,16K,,16K,40,12,without_company
D:\untitled3\.\hubs\symfony,develop,469323,Maksclub,2019-09-29T05:15:30.000Z,17K,,17K,62,238,without_company
D:\untitled3\.\hubs\symfony,develop,468109,spasibo_kep,2019-09-20T07:15:02.000Z,6.6K,,6.6K,17,20,without_company
D:\untitled3\.\hubs\symfony,develop,466039,zuse,2019-09-12T08:51:49.000Z,6.5K,,6.5K,55,8,without_company
D:\untitled3\.\hubs\symfony,develop,466671,pronskiy,2019-09-08T22:58:55.000Z,16K,,16K,31,61,without_company
D:\untitled3\.\hubs\symfony,develop,464971,pronskiy,2019-08-25T22:35:16.000Z,14K,,14K,36,12,without_company
D:\untitled3\.\hubs\symfony,develop,463279,pronskiy,2019-08-12T02:06:51.000Z,16K,,16K,37,41,without_company
D:\untitled3\.\hubs\symfony,develop,462415,MrWishmaster,2019-08-04T07:24:41.000Z,5.8K,,5.8K,39,6,without_company
D:\untitled3\.\hubs\symfony,develop,461669,pronskiy,2019-07-29T03:02:12.000Z,15K,,15K,43,7,without_company
D:\untitled3\.\hubs\symfony,develop,460523,spasibo_kep,2019-07-19T10:13:12.000Z,3.4K,,3.4K,11,0,without_company
D:\untitled3\.\hubs\symfony,develop,460345,vladdnepr,2019-07-17T07:10:31.000Z,21K,,21K,51,25,without_company
D:\untitled3\.\hubs\symfony,develop,460022,pronskiy,2019-07-15T00:02:50.000Z,15K,,15K,54,4,without_company
D:\untitled3\.\hubs\symfony,develop,458292,pronskiy,2019-07-01T00:25:36.000Z,15K,,15K,40,7,without_company
D:\untitled3\.\hubs\symfony,develop,457750,vladdnepr,2019-06-26T13:09:20.000Z,13K,,13K,57,14,without_company
D:\untitled3\.\hubs\symfony,develop,456332,pronskiy,2019-06-16T21:45:10.000Z,14K,,14K,41,24,without_company
D:\untitled3\.\hubs\symfony,develop,455571,livinbelievin,2019-06-11T08:06:02.000Z,13K,,13K,102,22,without_company
D:\untitled3\.\hubs\symfony,develop,455258,ConfGuru,2019-06-07T13:22:31.000Z,1.1K,,1.1K,7,0,without_company
D:\untitled3\.\hubs\symfony,develop,454558,pronskiy,2019-06-02T22:22:32.000Z,15K,,15K,34,1,without_company
D:\untitled3\.\hubs\symfony,develop,451138,greeflas,2019-05-27T21:31:06.000Z,14K,,14K,63,20,without_company
D:\untitled3\.\hubs\symfony,develop,452560,pronskiy,2019-05-19T22:09:16.000Z,14K,,14K,38,13,without_company
D:\untitled3\.\hubs\symfony,develop,450642,pronskiy,2019-05-05T23:41:35.000Z,15K,,15K,36,12,without_company
D:\untitled3\.\hubs\symfony,develop,448880,pronskiy,2019-04-21T18:16:14.000Z,16K,,16K,34,15,without_company
D:\untitled3\.\hubs\symfony,develop,447130,pronskiy,2019-04-07T21:32:32.000Z,15K,,15K,56,3,without_company
D:\untitled3\.\hubs\symfony,develop,445976,pronskiy,2019-03-29T13:57:56.000Z,19K,,19K,62,23,without_company
D:\untitled3\.\hubs\symfony,develop,445140,pronskiy,2019-03-25T02:27:06.000Z,14K,,14K,38,38,without_company
D:\untitled3\.\hubs\symfony,develop,443220,pronskiy,2019-03-10T22:41:26.000Z,15K,,15K,46,9,without_company
