hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\sys_admin,null,776402,Stanner,2023-11-25T20:35:18.000Z,3.1K,,3.1K,46,10,without_company
D:\untitled3\.\hubs\sys_admin,null,776256,MiraclePtr,2023-11-24T17:24:25.000Z,71K,,71K,719,144,without_company
D:\untitled3\.\hubs\sys_admin,null,776234,vStack,2023-11-24T14:05:37.000Z,925,,925,5,2,without_company
D:\untitled3\.\hubs\sys_admin,null,776188,arsis-ltd,2023-11-24T12:12:23.000Z,9K,,9K,126,17,without_company
D:\untitled3\.\hubs\sys_admin,null,776062,Butaforsky,2023-11-23T22:48:58.000Z,27K,,27K,109,54,without_company
D:\untitled3\.\hubs\sys_admin,null,775452,alumnibmstu,2023-11-21T15:03:24.000Z,3.9K,,3.9K,17,18,without_company
D:\untitled3\.\hubs\sys_admin,null,773946,Tirarex,2023-11-21T13:00:01.000Z,55K,,55K,259,205,without_company
D:\untitled3\.\hubs\sys_admin,null,771290,Gacblk,2023-11-21T12:24:59.000Z,1.7K,,1.7K,17,0,without_company
D:\untitled3\.\hubs\sys_admin,null,775110,itdog,2023-11-20T11:14:50.000Z,14K,,14K,134,27,without_company
D:\untitled3\.\hubs\sys_admin,null,774838,MiraclePtr,2023-11-18T18:07:10.000Z,18K,,18K,206,44,without_company
D:\untitled3\.\hubs\sys_admin,null,774720,Pas,2023-11-17T14:59:27.000Z,9.1K,,9.1K,50,16,without_company
D:\untitled3\.\hubs\sys_admin,null,774628,ITSumma,2023-11-17T10:57:55.000Z,2.7K,,2.7K,36,0,without_company
D:\untitled3\.\hubs\sys_admin,null,774576,Liloon21,2023-11-17T09:01:56.000Z,4.3K,,4.3K,44,2,without_company
D:\untitled3\.\hubs\sys_admin,null,774278,vadimr,2023-11-16T11:34:11.000Z,1.3K,,1.3K,12,0,without_company
D:\untitled3\.\hubs\sys_admin,null,774150,badcasedaily1,2023-11-16T10:03:52.000Z,2.7K,,2.7K,31,38,without_company
D:\untitled3\.\hubs\sys_admin,null,772702,piton_nsk,2023-11-16T05:53:53.000Z,5.8K,,5.8K,68,9,without_company
D:\untitled3\.\hubs\sys_admin,null,774024,AndreyMitrofanov,2023-11-15T08:14:52.000Z,7K,,7K,13,5,without_company
D:\untitled3\.\hubs\sys_admin,null,773696,Andrevich,2023-11-13T18:01:16.000Z,11K,,11K,113,7,without_company
D:\untitled3\.\hubs\sys_admin,null,773448,therb1,2023-11-12T23:11:41.000Z,2.1K,,2.1K,46,0,without_company
D:\untitled3\.\hubs\sys_admin,null,773274,lioncub,2023-11-11T11:31:06.000Z,2K,,2K,11,2,without_company
