hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\system_programming,null,775076,RustLangRu,2023-11-20T10:01:54.000Z,1.7K,,1.7K,3,4,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,757000,aabzel,2023-11-15T23:12:09.000Z,8.2K,,8.2K,91,26,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,774178,maisvendoo,2023-11-15T22:54:26.000Z,2.5K,,2.5K,18,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,772808,ph_piter,2023-11-14T15:19:19.000Z,1.2K,,1.2K,12,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\system_programming,null,772402,davidbadd,2023-11-07T15:36:07.000Z,5K,,5K,45,6,/ru/companies/isp_ras/articles/
D:\untitled3\.\hubs\system_programming,null,770314,PatientZero,2023-10-27T13:14:58.000Z,36K,,36K,83,62,/ru/hubs/webdev/
D:\untitled3\.\hubs\system_programming,null,769846,ru_vds,2023-10-25T13:00:02.000Z,44K,,44K,186,147,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,768688,ser-mk,2023-10-25T08:08:25.000Z,2.5K,,2.5K,58,0,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,768460,ser-mk,2023-10-25T07:57:54.000Z,5.9K,,5.9K,66,20,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,767910,ru_vds,2023-10-18T09:00:01.000Z,8.7K,,8.7K,100,8,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,767528,kaneki_li,2023-10-15T08:43:04.000Z,2.7K,,2.7K,9,16,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,766772,Albert_Wesker,2023-10-12T08:01:01.000Z,7.4K,,7.4K,76,10,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\system_programming,null,763038,Apoheliy,2023-10-12T00:58:16.000Z,1.5K,,1.5K,20,2,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,765074,alizar,2023-10-09T09:00:01.000Z,9.2K,,9.2K,57,8,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,765890,RustLangRu,2023-10-06T17:43:06.000Z,3.9K,,3.9K,20,2,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,765760,x6x4,2023-10-06T09:30:42.000Z,5.9K,,5.9K,34,15,/ru/hubs/cpp/
D:\untitled3\.\hubs\system_programming,null,759988,artyomsoft,2023-10-03T09:00:02.000Z,54K,,54K,589,5,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,764330,pavlusha311245,2023-09-29T07:21:55.000Z,1.9K,,1.9K,18,1,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\system_programming,null,763636,piton_nsk,2023-09-26T19:20:03.000Z,17K,,17K,124,86,/ru/hubs/assembler/
D:\untitled3\.\hubs\system_programming,null,759372,EvilMan,2023-09-24T15:05:43.000Z,2.4K,,2.4K,36,2,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,761424,rukhi7,2023-09-19T06:17:01.000Z,12K,,12K,100,19,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,761512,Racesas,2023-09-17T08:30:43.000Z,28K,,28K,232,40,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,756806,EvilMan,2023-09-05T19:29:17.000Z,8.2K,,8.2K,97,6,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,757614,karen07,2023-08-29T09:53:48.000Z,7.2K,,7.2K,76,15,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,757158,RustLangRu,2023-08-27T08:18:22.000Z,4.2K,,4.2K,12,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,757150,Nurked,2023-08-27T07:38:45.000Z,48K,,48K,137,271,/ru/hubs/webdev/
D:\untitled3\.\hubs\system_programming,null,753306,AnimeSlave,2023-08-25T16:02:22.000Z,3.5K,,3.5K,25,29,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,756174,kamaisha,2023-08-23T07:00:02.000Z,1.8K,,1.8K,9,3,/ru/companies/kryptonite/articles/
D:\untitled3\.\hubs\system_programming,null,755362,easimonenko,2023-08-17T22:52:32.000Z,1.6K,,1.6K,10,0,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,754210,Apoheliy,2023-08-13T08:34:09.000Z,1.4K,,1.4K,17,0,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,753338,KernelCore,2023-08-08T14:28:44.000Z,3.5K,,3.5K,31,22,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,753078,AnimeSlave,2023-08-07T13:47:21.000Z,13K,,13K,44,111,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,752094,Apoheliy,2023-08-03T20:55:41.000Z,2.2K,,2.2K,29,19,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,751214,apevzner,2023-07-29T09:45:21.000Z,32K,,32K,228,70,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,744434,mvideo,2023-07-24T07:52:45.000Z,5.6K,,5.6K,51,0,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\system_programming,null,748684,rukhi7,2023-07-18T08:00:35.000Z,6.2K,,6.2K,59,5,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,748122,RustLangRu,2023-07-14T14:01:06.000Z,2.3K,,2.3K,7,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,746366,Dark_wing_Duck,2023-07-07T08:00:02.000Z,1.6K,,1.6K,10,2,/ru/companies/swd_es/articles/
D:\untitled3\.\hubs\system_programming,null,743002,JozeAlehandro,2023-06-21T08:25:35.000Z,2.1K,,2.1K,20,7,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,742504,edeshina,2023-06-19T07:27:57.000Z,6.6K,,6.6K,37,1,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\system_programming,null,741358,edeshina,2023-06-13T07:55:50.000Z,5.4K,,5.4K,67,3,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\system_programming,null,739570,RustLangRu,2023-06-02T16:35:21.000Z,4.1K,,4.1K,9,24,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,735794,CuriousGeorgiy,2023-05-31T07:57:33.000Z,1.9K,,1.9K,14,11,/ru/companies/vk/articles/
D:\untitled3\.\hubs\system_programming,null,736514,nickname9,2023-05-21T11:05:33.000Z,2.6K,,2.6K,15,29,/ru/hubs/python/
D:\untitled3\.\hubs\system_programming,null,736408,jcmvbkbc,2023-05-20T06:19:07.000Z,22K,,22K,132,18,/ru/hubs/crazydev/
D:\untitled3\.\hubs\system_programming,null,724886,Furax,2023-05-16T11:00:01.000Z,2.1K,,2.1K,5,8,/ru/hubs/analysis_design/
D:\untitled3\.\hubs\system_programming,null,734216,Aelentux,2023-05-11T06:00:01.000Z,1.2K,,1.2K,10,2,/ru/companies/stc_spb/articles/
D:\untitled3\.\hubs\system_programming,null,733948,vda19999,2023-05-08T17:54:29.000Z,12K,,12K,69,16,/ru/hubs/cpp/
D:\untitled3\.\hubs\system_programming,null,731904,Sivchenko_translate,2023-04-26T21:36:10.000Z,26K,,26K,67,29,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,731268,RustLangRu,2023-04-24T14:28:14.000Z,2.5K,,2.5K,9,0,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,726418,a-n-d,2023-04-21T08:00:02.000Z,4K,,4K,12,3,/ru/companies/swd_es/articles/
D:\untitled3\.\hubs\system_programming,null,730610,XO490,2023-04-21T03:10:18.000Z,4.2K,,4.2K,8,2,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,730240,joursoir,2023-04-19T21:08:29.000Z,10K,,10K,83,10,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,727918,dlinyj,2023-04-11T08:05:11.000Z,20K,,20K,197,57,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\system_programming,null,726196,a-n-d,2023-04-10T07:00:02.000Z,1.4K,,1.4K,9,4,/ru/companies/swd_es/articles/
D:\untitled3\.\hubs\system_programming,null,727468,aleaksah,2023-04-07T04:17:01.000Z,12K,,12K,53,33,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,726410,simonzolin,2023-04-02T09:50:42.000Z,7.5K,,7.5K,129,27,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,725584,kmoseenk,2023-03-29T10:16:59.000Z,4K,,4K,25,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\system_programming,null,724682,ftc,2023-03-24T21:01:09.000Z,9.1K,,9.1K,74,15,/ru/hubs/php/
D:\untitled3\.\hubs\system_programming,null,723812,alizar,2023-03-22T09:00:01.000Z,20K,,20K,141,20,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,722658,JoseLopez,2023-03-15T18:15:57.000Z,19K,,19K,60,23,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,721408,nick1612,2023-03-10T16:20:09.000Z,31K,,31K,169,9,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,719614,phillennium,2023-03-06T09:26:39.000Z,19K,,19K,133,18,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\system_programming,null,720126,ftc,2023-03-03T22:06:45.000Z,5.9K,,5.9K,54,23,/ru/hubs/php/
D:\untitled3\.\hubs\system_programming,null,717634,eucariot,2023-02-17T18:46:28.000Z,33K,,33K,147,54,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\system_programming,null,714980,Sivchenko_translate,2023-02-05T18:58:59.000Z,17K,,17K,140,13,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,713550,AtariSMN82,2023-01-30T22:24:53.000Z,11K,,11K,94,54,/ru/hubs/programming/
D:\untitled3\.\hubs\system_programming,null,713740,RustLangRu,2023-01-30T15:21:13.000Z,3.2K,,3.2K,6,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,712896,Basheyev,2023-01-28T02:52:17.000Z,4.3K,,4.3K,48,30,/ru/hubs/cpp/
D:\untitled3\.\hubs\system_programming,null,710268,alizar,2023-01-16T09:00:02.000Z,43K,,43K,188,62,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,710082,EasyLy,2023-01-13T09:02:54.000Z,12K,,12K,61,29,/ru/hubs/system_programming/
D:\untitled3\.\hubs\system_programming,null,709234,sicikh,2023-01-06T03:47:33.000Z,24K,,24K,215,62,/ru/hubs/crazydev/
D:\untitled3\.\hubs\system_programming,null,708768,Basheyev,2023-01-01T03:47:13.000Z,17K,,17K,153,60,/ru/hubs/cpp/
D:\untitled3\.\hubs\system_programming,null,707356,missing_id,2022-12-23T11:59:38.000Z,3.6K,,3.6K,31,4,/ru/companies/swd_es/articles/
D:\untitled3\.\hubs\system_programming,null,707148,Digital_League,2022-12-22T12:12:06.000Z,1.9K,,1.9K,12,2,/ru/companies/digitalleague/articles/
D:\untitled3\.\hubs\system_programming,null,706176,RustLangRu,2022-12-18T08:01:57.000Z,4K,,4K,7,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\system_programming,null,704464,edeshina,2022-12-09T08:29:16.000Z,4.4K,,4.4K,39,2,/ru/companies/slurm/articles/
D:\untitled3\.\hubs\system_programming,null,697854,alef13,2022-12-06T09:00:02.000Z,6K,,6K,60,2,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\system_programming,null,702814,vda19999,2022-12-01T09:35:46.000Z,5.9K,,5.9K,26,4,/ru/hubs/crazydev/
