hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\tablets,popsci,770486,WillyWodka,2023-10-28T12:45:53.000Z,1.2K,,1.2K,13,0,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\tablets,popsci,769536,IvanMimo,2023-10-26T07:42:02.000Z,8.1K,,8.1K,43,29,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\tablets,popsci,766206,zloiromantik,2023-10-09T09:35:25.000Z,9.8K,,9.8K,6,11,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,753316,zloiromantik,2023-08-08T13:42:18.000Z,10K,,10K,9,7,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,749784,boris_mednikov,2023-07-23T10:00:23.000Z,9.6K,,9.6K,26,20,/ru/hubs/soft/
D:\untitled3\.\hubs\tablets,popsci,747034,MDXE1337,2023-07-10T14:00:14.000Z,9.7K,,9.7K,35,20,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\tablets,popsci,742394,bodyawm,2023-06-23T08:01:18.000Z,7.1K,,7.1K,11,16,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\tablets,popsci,741160,zloiromantik,2023-06-11T12:42:40.000Z,5.7K,,5.7K,10,20,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,739694,MAXPribalt,2023-06-04T08:20:42.000Z,28K,,28K,3,10,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,737996,bodyawm,2023-05-27T13:55:28.000Z,5K,,5K,13,6,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,735094,bodyawm,2023-05-15T10:41:51.000Z,7.3K,,7.3K,19,9,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,734950,Lonsdaleite,2023-05-14T13:20:42.000Z,10K,,10K,28,21,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,733034,zloiromantik,2023-05-03T10:55:14.000Z,5.4K,,5.4K,12,8,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,720912,bodyawm,2023-03-13T06:09:25.000Z,16K,,16K,32,57,/ru/hubs/nix/
D:\untitled3\.\hubs\tablets,popsci,716428,bodyawm,2023-02-16T08:01:01.000Z,4.8K,,4.8K,10,32,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\tablets,popsci,709326,ivansychev,2023-01-07T10:03:44.000Z,7.5K,,7.5K,8,21,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,706718,bodyawm,2022-12-20T17:55:26.000Z,9.8K,,9.8K,16,34,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,702766,Catherine_Romanova,2022-12-01T07:16:41.000Z,948,,948,5,7,/ru/companies/ipmatika/articles/
D:\untitled3\.\hubs\tablets,popsci,685718,bodyawm,2022-08-31T15:30:32.000Z,19K,,19K,108,32,/ru/hubs/nix/
D:\untitled3\.\hubs\tablets,popsci,677446,zloiromantik,2022-07-18T08:45:47.000Z,8.7K,,8.7K,12,13,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,645523,f15,2022-01-13T19:40:12.000Z,25K,,25K,13,35,/ru/companies/kaspersky/articles/
D:\untitled3\.\hubs\tablets,popsci,594991,zloiromantik,2021-12-12T10:53:40.000Z,43K,,43K,16,36,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,579596,f15,2021-09-23T11:51:16.000Z,25K,,25K,19,79,/ru/companies/kaspersky/articles/
D:\untitled3\.\hubs\tablets,popsci,572736,ignat99,2021-08-24T17:25:06.000Z,3.5K,,3.5K,20,6,/ru/hubs/linux/
D:\untitled3\.\hubs\tablets,popsci,549216,istishev,2021-04-30T13:36:54.000Z,9.7K,,9.7K,14,3,/ru/companies/droider/articles/
D:\untitled3\.\hubs\tablets,popsci,549208,istishev,2021-04-05T10:49:12.000Z,23K,,23K,14,4,/ru/companies/droider/articles/
D:\untitled3\.\hubs\tablets,popsci,550076,uzverkms,2021-03-31T19:20:06.000Z,41K,,41K,24,186,/ru/hubs/business-laws/
D:\untitled3\.\hubs\tablets,popsci,540598,Seleditor,2021-02-02T17:07:07.000Z,22K,,22K,33,43,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\tablets,popsci,536988,Vper,2021-01-12T12:17:56.000Z,19K,,19K,18,17,/ru/hubs/webdev/
D:\untitled3\.\hubs\tablets,popsci,525272,Anker_Innovations,2020-10-27T13:26:50.000Z,14K,,14K,30,10,/ru/companies/anker_innovations/articles/
D:\untitled3\.\hubs\tablets,popsci,522450,ragequit,2020-10-12T07:45:01.000Z,43K,,43K,24,396,/ru/companies/vdsina/articles/
D:\untitled3\.\hubs\tablets,popsci,521676,host_m,2020-10-02T08:34:03.000Z,39K,,39K,36,7,/ru/companies/vdsina/articles/
D:\untitled3\.\hubs\tablets,popsci,517994,Anastasia_My,2020-09-06T11:00:22.000Z,27K,,27K,35,178,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,509292,liklaysh,2020-07-03T07:42:06.000Z,3K,,3K,14,0,/ru/companies/Linx/articles/
D:\untitled3\.\hubs\tablets,popsci,507158,f15,2020-06-18T12:57:21.000Z,10K,,10K,12,35,/ru/companies/kaspersky/articles/
D:\untitled3\.\hubs\tablets,popsci,494210,empenoso,2020-03-30T02:12:48.000Z,28K,,28K,34,21,/ru/hubs/linux/
D:\untitled3\.\hubs\tablets,popsci,484018,ignat99,2020-01-15T05:04:43.000Z,30K,,30K,99,179,/ru/hubs/geo/
D:\untitled3\.\hubs\tablets,popsci,482800,empenoso,2020-01-04T03:16:09.000Z,47K,,47K,200,77,/ru/hubs/gadgets/
D:\untitled3\.\hubs\tablets,popsci,482562,SLY_G,2019-12-31T07:00:01.000Z,80K,,80K,63,500,/ru/hubs/history/
D:\untitled3\.\hubs\tablets,popsci,482378,IvanPavlov,2019-12-29T11:52:40.000Z,9.9K,,9.9K,29,1,/ru/companies/maccentre/articles/
D:\untitled3\.\hubs\tablets,popsci,473046,DellTechTeam,2019-10-28T10:53:17.000Z,4.7K,,4.7K,14,29,/ru/companies/dell_technologies/articles/
D:\untitled3\.\hubs\tablets,popsci,473376,Data_center_MIRAN,2019-10-28T08:13:36.000Z,22K,,22K,30,58,/ru/companies/dcmiran/articles/
D:\untitled3\.\hubs\tablets,popsci,469909,Pochtoycom,2019-10-03T05:24:57.000Z,25K,,25K,21,124,/ru/companies/pochtoy/articles/
D:\untitled3\.\hubs\tablets,popsci,469477,SLY_G,2019-10-01T07:00:02.000Z,31K,,31K,25,73,/ru/hubs/tablets/
D:\untitled3\.\hubs\tablets,popsci,468607,Steve_R,2019-09-25T14:29:04.000Z,9.3K,,9.3K,76,10,/ru/hubs/cad_cam/
D:\untitled3\.\hubs\tablets,popsci,466957,Pochtoycom,2019-09-10T18:45:48.000Z,20K,,20K,20,80,/ru/companies/pochtoy/articles/
D:\untitled3\.\hubs\tablets,popsci,460137,FeeAR,2019-07-16T07:48:18.000Z,12K,,12K,14,36,/ru/companies/fujitsu/articles/
