hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\tdd,develop,775346,psushko,2023-11-21T10:01:41.000Z,2K,,2K,18,1,/ru/hubs/it_testing/
D:\untitled3\.\hubs\tdd,develop,773142,NewTechAudit,2023-11-10T12:04:46.000Z,2.6K,,2.6K,28,7,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\tdd,develop,768086,StarKRE,2023-10-18T15:29:59.000Z,6K,,6K,40,18,/ru/companies/otus/articles/
D:\untitled3\.\hubs\tdd,develop,767874,comerc,2023-10-16T20:12:49.000Z,4.7K,,4.7K,50,1,/ru/hubs/tdd/
D:\untitled3\.\hubs\tdd,develop,767858,comerc,2023-10-16T17:52:10.000Z,2.8K,,2.8K,28,7,/ru/hubs/tdd/
D:\untitled3\.\hubs\tdd,develop,767228,ph_piter,2023-10-13T12:13:17.000Z,2.1K,,2.1K,33,3,/ru/companies/piter/articles/
D:\untitled3\.\hubs\tdd,develop,765996,comerc,2023-10-07T20:54:49.000Z,1.1K,,1.1K,13,0,/ru/hubs/tdd/
D:\untitled3\.\hubs\tdd,develop,755302,melkor_morgoth,2023-08-17T15:00:32.000Z,9.2K,,9.2K,64,23,/ru/companies/nordclan/articles/
D:\untitled3\.\hubs\tdd,develop,744674,smallsky,2023-06-29T06:38:41.000Z,4.6K,,4.6K,29,24,/ru/hubs/net/
D:\untitled3\.\hubs\tdd,develop,725086,Awaitable,2023-03-27T14:35:34.000Z,8.8K,,8.8K,77,11,/ru/hubs/python/
D:\untitled3\.\hubs\tdd,develop,718746,vmihaylov,2023-02-24T09:49:25.000Z,2.5K,,2.5K,19,13,/ru/companies/mkb/articles/
D:\untitled3\.\hubs\tdd,develop,705970,maxmorev,2023-01-12T08:01:36.000Z,11K,,11K,65,8,/ru/companies/gazprombank/articles/
D:\untitled3\.\hubs\tdd,develop,690216,itallix,2022-09-27T21:37:11.000Z,2.4K,,2.4K,20,0,/ru/hubs/python/
D:\untitled3\.\hubs\tdd,develop,686386,vep,2022-09-05T08:09:58.000Z,2.6K,,2.6K,17,2,/ru/hubs/net/
D:\untitled3\.\hubs\tdd,develop,681280,aabzel,2022-08-07T18:13:26.000Z,6.1K,,6.1K,51,23,/ru/hubs/tdd/
D:\untitled3\.\hubs\tdd,develop,677250,pishukady,2022-07-17T13:45:55.000Z,13K,,13K,64,28,/ru/hubs/programming/
D:\untitled3\.\hubs\tdd,develop,666196,AndrewPiterov,2022-05-20T12:01:02.000Z,4.7K,,4.7K,20,2,/ru/hubs/tdd/
D:\untitled3\.\hubs\tdd,develop,665512,Tap0k,2022-05-16T13:58:02.000Z,3.3K,,3.3K,15,2,/ru/companies/sbermarket/articles/
D:\untitled3\.\hubs\tdd,develop,661335,Doberman2029,2022-04-16T16:30:25.000Z,6.6K,,6.6K,67,4,/ru/hubs/javascript/
D:\untitled3\.\hubs\tdd,develop,659443,YuriiPlohov,2022-04-06T15:29:29.000Z,8.9K,,8.9K,60,0,/ru/hubs/php/
D:\untitled3\.\hubs\tdd,develop,659305,Usetech,2022-04-06T05:08:01.000Z,13K,,13K,56,9,/ru/companies/usetech/articles/
D:\untitled3\.\hubs\tdd,develop,657809,myoffice_ru,2022-03-29T10:06:25.000Z,5.4K,,5.4K,14,11,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\tdd,develop,656595,Usetech,2022-03-21T05:41:24.000Z,13K,,13K,30,17,/ru/companies/usetech/articles/
D:\untitled3\.\hubs\tdd,develop,656475,YuriiPlohov,2022-03-19T13:06:22.000Z,3.2K,,3.2K,23,2,/ru/hubs/it_testing/
D:\untitled3\.\hubs\tdd,develop,655707,Usetech,2022-03-15T09:28:11.000Z,4.9K,,4.9K,25,6,/ru/companies/usetech/articles/
D:\untitled3\.\hubs\tdd,develop,651663,info_habr,2022-02-15T11:09:37.000Z,5.4K,,5.4K,17,0,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\tdd,develop,592047,melmoth_the_wanderer,2021-11-28T07:35:45.000Z,4.1K,,4.1K,22,2,/ru/companies/superjob/articles/
D:\untitled3\.\hubs\tdd,develop,586372,ArkadiyXIII,2021-10-31T07:00:01.000Z,15K,,15K,71,95,/ru/hubs/it_testing/
