hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\technical_writing,null,776492,document_moscow,2023-11-26T15:28:35.000Z,207,,207,4,0,without_company
D:\untitled3\.\hubs\technical_writing,null,776410,alexsavochkin,2023-11-26T01:15:24.000Z,1.3K,,1.3K,12,31,without_company
D:\untitled3\.\hubs\technical_writing,null,775234,savecons,2023-11-21T08:15:01.000Z,1.2K,,1.2K,10,0,without_company
D:\untitled3\.\hubs\technical_writing,null,775102,makushevkm,2023-11-20T11:05:01.000Z,3.5K,,3.5K,51,5,without_company
D:\untitled3\.\hubs\technical_writing,null,774938,BA_Mentor,2023-11-19T15:29:30.000Z,524,,524,6,0,without_company
D:\untitled3\.\hubs\technical_writing,null,774922,DrArgentum,2023-11-19T12:11:25.000Z,17K,,17K,179,42,without_company
D:\untitled3\.\hubs\technical_writing,null,774856,AnimeSlave,2023-11-18T18:52:59.000Z,9K,,9K,42,16,without_company
D:\untitled3\.\hubs\technical_writing,null,774830,Dmitriy_Mironiuk,2023-11-18T15:17:18.000Z,2.8K,,2.8K,25,7,without_company
D:\untitled3\.\hubs\technical_writing,null,774632,kikhuz,2023-11-17T11:07:56.000Z,731,,731,8,2,without_company
D:\untitled3\.\hubs\technical_writing,null,774384,a1exjob,2023-11-17T05:15:12.000Z,1.6K,,1.6K,17,11,without_company
D:\untitled3\.\hubs\technical_writing,null,774048,Ks_nepomnit,2023-11-15T09:12:05.000Z,1.1K,,1.1K,13,2,without_company
D:\untitled3\.\hubs\technical_writing,null,773960,MaxRokatansky,2023-11-15T07:36:01.000Z,2.7K,,2.7K,24,2,without_company
D:\untitled3\.\hubs\technical_writing,null,773710,document_moscow,2023-11-13T19:27:09.000Z,4.4K,,4.4K,23,12,without_company
D:\untitled3\.\hubs\technical_writing,null,772732,andreysolovev,2023-11-09T04:46:12.000Z,4.9K,,4.9K,35,5,without_company
D:\untitled3\.\hubs\technical_writing,null,772568,Creazard,2023-11-08T09:45:01.000Z,1.4K,,1.4K,22,2,without_company
D:\untitled3\.\hubs\technical_writing,null,772022,AKlimenkov,2023-11-06T16:29:25.000Z,14K,,14K,74,50,without_company
D:\untitled3\.\hubs\technical_writing,null,771940,document_moscow,2023-11-04T18:11:45.000Z,4.3K,,4.3K,33,15,without_company
