hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\terminator,null,772022,AKlimenkov,2023-11-06T16:29:25.000Z,14K,,14K,74,50,without_company
D:\untitled3\.\hubs\terminator,null,771986,BA_Mentor,2023-11-05T08:22:43.000Z,1.9K,,1.9K,6,2,without_company
D:\untitled3\.\hubs\terminator,null,771628,hard_sign,2023-11-02T21:16:48.000Z,22K,,22K,41,334,without_company
D:\untitled3\.\hubs\terminator,null,770536,arturdumchev,2023-10-29T07:09:24.000Z,32K,,32K,36,565,without_company
D:\untitled3\.\hubs\terminator,null,765884,Editor_Translator,2023-10-06T17:23:02.000Z,934,,934,13,3,without_company
D:\untitled3\.\hubs\terminator,null,765692,TimurTukaev,2023-10-06T06:31:28.000Z,1K,,1K,7,2,without_company
D:\untitled3\.\hubs\terminator,null,765442,drobushevkiy,2023-10-05T06:37:53.000Z,1.9K,,1.9K,12,10,without_company
D:\untitled3\.\hubs\terminator,null,765422,sorokinaa,2023-10-04T22:25:24.000Z,3.1K,,3.1K,29,7,without_company
D:\untitled3\.\hubs\terminator,null,763910,itGuevara,2023-09-27T15:08:48.000Z,2.3K,,2.3K,15,10,without_company
D:\untitled3\.\hubs\terminator,null,761856,gag_fenix,2023-09-22T10:51:55.000Z,50K,,50K,240,229,without_company
D:\untitled3\.\hubs\terminator,null,760270,Renata_Bakhtiarova,2023-09-11T14:47:54.000Z,7.4K,,7.4K,53,3,without_company
D:\untitled3\.\hubs\terminator,null,758692,GFactors,2023-09-04T05:38:07.000Z,1.1K,,1.1K,10,21,without_company
D:\untitled3\.\hubs\terminator,null,758640,gordeevbr,2023-09-03T15:28:48.000Z,3.1K,,3.1K,24,10,without_company
D:\untitled3\.\hubs\terminator,null,757160,Renata_Bakhtiarova,2023-08-27T08:27:33.000Z,3K,,3K,25,10,without_company
D:\untitled3\.\hubs\terminator,null,752932,catwomenko,2023-08-09T06:11:26.000Z,3.3K,,3.3K,12,9,without_company
D:\untitled3\.\hubs\terminator,null,752208,alex_expert_borisov,2023-08-03T09:14:36.000Z,1.9K,,1.9K,25,0,without_company
D:\untitled3\.\hubs\terminator,null,751620,ildarin,2023-07-31T23:06:56.000Z,5.8K,,5.8K,16,118,without_company
D:\untitled3\.\hubs\terminator,null,750868,qa_helenrv,2023-07-28T08:02:16.000Z,5.1K,,5.1K,19,7,without_company
D:\untitled3\.\hubs\terminator,null,749702,avost,2023-07-22T10:16:22.000Z,2.9K,,2.9K,13,6,without_company
D:\untitled3\.\hubs\terminator,null,745948,honsour72,2023-07-04T22:38:45.000Z,160K,,160K,1449,177,without_company
D:\untitled3\.\hubs\terminator,null,742890,xeovo,2023-06-21T12:39:13.000Z,11K,,11K,38,53,without_company
D:\untitled3\.\hubs\terminator,null,741094,gordeevbr,2023-06-10T15:24:49.000Z,3K,,3K,27,3,without_company
D:\untitled3\.\hubs\terminator,null,737254,Renewal_Studio,2023-05-24T11:18:54.000Z,5K,,5K,13,0,without_company
D:\untitled3\.\hubs\terminator,null,731526,alitenicole,2023-04-25T12:53:09.000Z,2.5K,,2.5K,13,1,without_company
D:\untitled3\.\hubs\terminator,null,729616,Anna_sokol22,2023-04-17T16:00:03.000Z,1.4K,,1.4K,19,0,without_company
D:\untitled3\.\hubs\terminator,null,727812,pashigorev,2023-04-08T16:14:43.000Z,5.1K,,5.1K,48,19,without_company
D:\untitled3\.\hubs\terminator,null,727154,Polybot,2023-04-05T11:40:24.000Z,5K,,5K,30,8,without_company
D:\untitled3\.\hubs\terminator,null,726390,uhahatbl_tv,2023-04-02T05:40:51.000Z,10K,,10K,92,8,without_company
D:\untitled3\.\hubs\terminator,null,720604,TilekSamiev,2023-03-19T08:01:02.000Z,3.8K,,3.8K,28,74,without_company
