hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\transport,popsci,776286,SLY_G,2023-11-24T19:43:07.000Z,7.1K,,7.1K,4,26,without_company
D:\untitled3\.\hubs\transport,popsci,775380,Catx2,2023-11-22T13:16:01.000Z,7.4K,,7.4K,21,12,without_company
D:\untitled3\.\hubs\transport,popsci,775384,ajava2,2023-11-21T11:28:32.000Z,3K,,3K,8,56,without_company
D:\untitled3\.\hubs\transport,popsci,774008,AeroHabr,2023-11-21T11:08:01.000Z,17K,,17K,31,17,without_company
D:\untitled3\.\hubs\transport,popsci,774332,Catx2,2023-11-16T10:21:14.000Z,11K,,11K,33,41,without_company
D:\untitled3\.\hubs\transport,popsci,773652,Vik_E,2023-11-13T15:10:46.000Z,1.9K,,1.9K,10,2,without_company
D:\untitled3\.\hubs\transport,popsci,773614,Mickety,2023-11-13T13:06:36.000Z,7.1K,,7.1K,21,34,without_company
D:\untitled3\.\hubs\transport,popsci,772028,TinyElectronicFriends,2023-11-09T13:00:01.000Z,4.7K,,4.7K,18,6,without_company
D:\untitled3\.\hubs\transport,popsci,772288,k0mar0v,2023-11-07T10:18:18.000Z,1.7K,,1.7K,5,3,without_company
D:\untitled3\.\hubs\transport,popsci,772222,SantrY,2023-11-07T08:30:57.000Z,106K,,106K,197,184,without_company
D:\untitled3\.\hubs\transport,popsci,772012,Lozkins,2023-11-06T08:50:02.000Z,988,,988,16,7,without_company
D:\untitled3\.\hubs\transport,popsci,771780,StasyTomas,2023-11-03T12:48:20.000Z,4.9K,,4.9K,18,126,without_company
D:\untitled3\.\hubs\transport,popsci,770758,ATOM_Team,2023-11-01T06:59:15.000Z,2.1K,,2.1K,6,11,without_company
D:\untitled3\.\hubs\transport,popsci,770236,SLY_G,2023-10-27T07:44:02.000Z,7.4K,,7.4K,34,9,without_company
D:\untitled3\.\hubs\transport,popsci,769130,GlobalSign_admin,2023-10-22T15:41:12.000Z,8.5K,,8.5K,27,62,without_company
D:\untitled3\.\hubs\transport,popsci,767970,KA_Malyshev,2023-10-17T09:00:04.000Z,1K,,1K,11,0,without_company
D:\untitled3\.\hubs\transport,popsci,765936,klimensky,2023-10-13T10:48:24.000Z,4.5K,,4.5K,34,9,without_company
D:\untitled3\.\hubs\transport,popsci,766120,TinyElectronicFriends,2023-10-12T09:00:01.000Z,4.9K,,4.9K,34,11,without_company
D:\untitled3\.\hubs\transport,popsci,765990,MaFrance351,2023-10-10T08:01:01.000Z,16K,,16K,46,96,without_company
