hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\typescript,develop,775330,andrey_stepanov1,2023-11-22T07:31:04.000Z,7.2K,,7.2K,78,9,without_company
D:\untitled3\.\hubs\typescript,develop,775524,danila_egorenko,2023-11-22T06:15:02.000Z,11K,,11K,137,9,without_company
D:\untitled3\.\hubs\typescript,develop,774174,DefeNder93,2023-11-16T13:00:03.000Z,4.3K,,4.3K,30,18,without_company
D:\untitled3\.\hubs\typescript,develop,773236,DmitryKazakov8,2023-11-11T13:40:53.000Z,8K,,8K,64,26,without_company
D:\untitled3\.\hubs\typescript,develop,772894,qmzik,2023-11-09T12:20:03.000Z,9.3K,,9.3K,25,5,without_company
D:\untitled3\.\hubs\typescript,develop,772136,askoropad,2023-11-06T21:20:35.000Z,4.8K,,4.8K,39,0,without_company
D:\untitled3\.\hubs\typescript,develop,771660,hdbdbeben,2023-11-03T06:27:51.000Z,4.1K,,4.1K,32,5,without_company
D:\untitled3\.\hubs\typescript,develop,771630,tfkfan,2023-11-02T21:26:31.000Z,13K,,13K,104,7,without_company
D:\untitled3\.\hubs\typescript,develop,771586,ahmoleg,2023-11-02T16:00:56.000Z,8.7K,,8.7K,13,11,without_company
D:\untitled3\.\hubs\typescript,develop,771554,krakotay,2023-11-02T13:55:46.000Z,110K,,110K,52,156,without_company
D:\untitled3\.\hubs\typescript,develop,770066,sahsAGU,2023-10-30T04:32:02.000Z,3.9K,,3.9K,61,0,without_company
D:\untitled3\.\hubs\typescript,develop,770646,fafnur,2023-10-30T03:06:26.000Z,9.6K,,9.6K,62,31,without_company
D:\untitled3\.\hubs\typescript,develop,770512,MaxRyazan,2023-10-28T16:51:29.000Z,3.4K,,3.4K,33,14,without_company
D:\untitled3\.\hubs\typescript,develop,735022,glebmachine,2023-10-25T09:05:34.000Z,4.8K,,4.8K,48,1,without_company
D:\untitled3\.\hubs\typescript,develop,769312,SimbirSoft_frontend,2023-10-24T08:23:09.000Z,23K,,23K,166,19,without_company
D:\untitled3\.\hubs\typescript,develop,768928,isumix,2023-10-20T20:14:25.000Z,4.6K,,4.6K,15,41,without_company
D:\untitled3\.\hubs\typescript,develop,757230,adss332,2023-10-20T18:46:12.000Z,5.8K,,5.8K,43,6,without_company
D:\untitled3\.\hubs\typescript,develop,767496,Infinity_kim,2023-10-14T17:29:07.000Z,3.4K,,3.4K,36,6,without_company
D:\untitled3\.\hubs\typescript,develop,765608,broxus,2023-10-05T14:08:28.000Z,1.6K,,1.6K,10,3,without_company
D:\untitled3\.\hubs\typescript,develop,765164,Dragonek,2023-10-04T10:28:50.000Z,2.4K,,2.4K,19,2,without_company
D:\untitled3\.\hubs\typescript,develop,765024,SimbirSoft_frontend,2023-10-04T09:44:34.000Z,7.4K,,7.4K,53,5,without_company
D:\untitled3\.\hubs\typescript,develop,764656,alxgrn,2023-10-03T12:05:52.000Z,3K,,3K,27,5,without_company
D:\untitled3\.\hubs\typescript,develop,764254,Yoskutik,2023-10-03T09:05:03.000Z,4.3K,,4.3K,52,13,without_company
D:\untitled3\.\hubs\typescript,develop,764626,Maxim__Ss,2023-10-01T06:30:26.000Z,7.1K,,7.1K,47,11,without_company
D:\untitled3\.\hubs\typescript,develop,764510,Fines_Unes,2023-09-29T21:37:05.000Z,4K,,4K,60,11,without_company
D:\untitled3\.\hubs\typescript,develop,764354,denisstasyev,2023-09-29T10:28:40.000Z,2.1K,,2.1K,33,0,without_company
D:\untitled3\.\hubs\typescript,develop,764256,DanteLFC,2023-09-29T08:30:02.000Z,2.6K,,2.6K,24,7,without_company
D:\untitled3\.\hubs\typescript,develop,762902,amas1ov,2023-09-24T05:52:14.000Z,24K,,24K,226,12,without_company
D:\untitled3\.\hubs\typescript,develop,762514,Igoryas,2023-09-22T06:20:36.000Z,4.3K,,4.3K,56,1,without_company
D:\untitled3\.\hubs\typescript,develop,761228,UprightMan,2023-09-20T08:05:02.000Z,2.9K,,2.9K,19,7,without_company
D:\untitled3\.\hubs\typescript,develop,761756,technokratiya,2023-09-18T13:11:22.000Z,3.8K,,3.8K,35,5,without_company
D:\untitled3\.\hubs\typescript,develop,761596,ZetZet,2023-09-17T18:31:57.000Z,11K,,11K,34,45,without_company
D:\untitled3\.\hubs\typescript,develop,759206,mitya_k,2023-09-13T08:56:05.000Z,1.9K,,1.9K,24,3,without_company
D:\untitled3\.\hubs\typescript,develop,760276,Waterplea,2023-09-12T10:52:01.000Z,12K,,12K,38,3,without_company
D:\untitled3\.\hubs\typescript,develop,759300,iliazeus,2023-09-12T09:00:02.000Z,7.4K,,7.4K,62,11,without_company
D:\untitled3\.\hubs\typescript,develop,760166,DefeNder93,2023-09-11T08:33:56.000Z,3.5K,,3.5K,37,5,without_company
D:\untitled3\.\hubs\typescript,develop,760002,arusakov,2023-09-09T22:18:48.000Z,32K,,32K,118,117,without_company
D:\untitled3\.\hubs\typescript,develop,759962,rastop123,2023-09-09T15:46:32.000Z,4.3K,,4.3K,32,3,without_company
D:\untitled3\.\hubs\typescript,develop,759826,novusnota,2023-09-08T14:59:34.000Z,7.8K,,7.8K,19,108,without_company
D:\untitled3\.\hubs\typescript,develop,759200,vadglinka,2023-09-06T08:30:05.000Z,2K,,2K,11,5,without_company
D:\untitled3\.\hubs\typescript,develop,758954,dipiash,2023-09-05T17:54:07.000Z,5.6K,,5.6K,66,3,without_company
D:\untitled3\.\hubs\typescript,develop,758514,mitya_k,2023-09-04T12:02:30.000Z,2.8K,,2.8K,27,11,without_company
D:\untitled3\.\hubs\typescript,develop,758360,shahromako,2023-09-01T10:51:14.000Z,6.5K,,6.5K,22,21,without_company
D:\untitled3\.\hubs\typescript,develop,757332,vnosov,2023-08-28T09:15:10.000Z,7.2K,,7.2K,55,3,without_company
D:\untitled3\.\hubs\typescript,develop,757202,Katsuba,2023-08-27T15:43:44.000Z,5K,,5K,32,3,without_company
D:\untitled3\.\hubs\typescript,develop,754764,iliazeus,2023-08-23T09:00:02.000Z,7.3K,,7.3K,57,0,without_company
D:\untitled3\.\hubs\typescript,develop,756064,corsairdnb,2023-08-22T18:04:09.000Z,13K,,13K,83,38,without_company
D:\untitled3\.\hubs\typescript,develop,756024,Waterplea,2023-08-22T14:44:20.000Z,6.9K,,6.9K,53,3,without_company
D:\untitled3\.\hubs\typescript,develop,756186,iliazeus,2023-08-22T12:09:19.000Z,1.8K,,1.8K,9,0,without_company
D:\untitled3\.\hubs\typescript,develop,755302,melkor_morgoth,2023-08-17T15:00:32.000Z,9.2K,,9.2K,64,23,without_company
D:\untitled3\.\hubs\typescript,develop,754928,fafnur,2023-08-16T09:32:37.000Z,1.8K,,1.8K,12,0,without_company
D:\untitled3\.\hubs\typescript,develop,754884,fafnur,2023-08-16T09:28:18.000Z,1.7K,,1.7K,10,12,without_company
D:\untitled3\.\hubs\typescript,develop,754560,Cere8ellum,2023-08-14T17:16:14.000Z,6.5K,,6.5K,48,11,without_company
D:\untitled3\.\hubs\typescript,develop,754450,ru_vds,2023-08-14T13:00:01.000Z,6.7K,,6.7K,47,1,without_company
D:\untitled3\.\hubs\typescript,develop,754152,vvcigy,2023-08-11T19:48:59.000Z,2.6K,,2.6K,11,0,without_company
D:\untitled3\.\hubs\typescript,develop,753958,Goodzonchik,2023-08-11T07:55:48.000Z,15K,,15K,60,27,without_company
D:\untitled3\.\hubs\typescript,develop,752684,nikitapaparimskiy,2023-08-05T13:31:05.000Z,2.5K,,2.5K,27,2,without_company
D:\untitled3\.\hubs\typescript,develop,752526,andry36,2023-08-04T11:55:17.000Z,10K,,10K,63,9,without_company
D:\untitled3\.\hubs\typescript,develop,752346,PavelBotezat,2023-08-03T16:02:33.000Z,1.3K,,1.3K,6,9,without_company
D:\untitled3\.\hubs\typescript,develop,752074,glebanya13,2023-08-02T15:40:16.000Z,2K,,2K,18,2,without_company
D:\untitled3\.\hubs\typescript,develop,751618,GonnaMakeItBrah,2023-08-02T08:04:41.000Z,1.2K,,1.2K,22,2,without_company
