hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\typography,design,768838,alsnum,2023-10-20T12:46:28.000Z,6.5K,,6.5K,28,90,without_company
D:\untitled3\.\hubs\typography,design,764596,Al_A,2023-09-30T17:40:47.000Z,3.7K,,3.7K,38,32,without_company
D:\untitled3\.\hubs\typography,design,750588,kostya_kisleyko,2023-07-27T07:30:57.000Z,2.6K,,2.6K,24,6,without_company
D:\untitled3\.\hubs\typography,design,748900,PereslavlFoto,2023-07-18T17:14:43.000Z,4.2K,,4.2K,15,62,without_company
D:\untitled3\.\hubs\typography,design,728122,koursivin,2023-04-12T11:35:47.000Z,4.4K,,4.4K,34,13,without_company
D:\untitled3\.\hubs\typography,design,725350,TypeType,2023-03-28T13:41:32.000Z,8.2K,,8.2K,35,0,without_company
D:\untitled3\.\hubs\typography,design,723928,AndrewYaremko,2023-03-21T21:31:38.000Z,3.1K,,3.1K,22,64,without_company
D:\untitled3\.\hubs\typography,design,722516,TypeType,2023-03-15T09:22:51.000Z,759,,759,4,6,without_company
D:\untitled3\.\hubs\typography,design,715424,honyaki,2023-02-07T18:32:27.000Z,3.9K,,3.9K,35,3,without_company
D:\untitled3\.\hubs\typography,design,714818,atomlib,2023-02-04T08:00:48.000Z,18K,,18K,131,53,without_company
D:\untitled3\.\hubs\typography,design,714324,tesnovsky,2023-02-02T07:48:47.000Z,2.3K,,2.3K,16,7,without_company
D:\untitled3\.\hubs\typography,design,708858,AndrewYaremko,2023-01-02T01:08:51.000Z,8.2K,,8.2K,76,4,without_company
D:\untitled3\.\hubs\typography,design,708496,AndrewYaremko,2022-12-29T14:10:56.000Z,14K,,14K,53,35,without_company
D:\untitled3\.\hubs\typography,design,707186,KabirK,2022-12-22T15:22:52.000Z,7K,,7K,27,30,without_company
D:\untitled3\.\hubs\typography,design,698994,AndrewYaremko,2022-11-13T10:39:45.000Z,3.4K,,3.4K,29,12,without_company
D:\untitled3\.\hubs\typography,design,691262,sbitny,2022-10-07T09:51:50.000Z,4.5K,,4.5K,22,13,without_company
D:\untitled3\.\hubs\typography,design,684824,kultura_knigi,2022-08-26T11:54:32.000Z,12K,,12K,49,31,without_company
D:\untitled3\.\hubs\typography,design,683488,AstraLinux_Group,2022-08-19T09:10:36.000Z,9K,,9K,39,8,without_company
D:\untitled3\.\hubs\typography,design,679780,robot_eats_yoghurt,2022-07-29T08:07:53.000Z,3.5K,,3.5K,22,3,without_company
