hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\ui,null,776354,pcbteach,2023-11-25T10:48:19.000Z,539,,539,10,0,without_company
D:\untitled3\.\hubs\ui,null,775108,Razant,2023-11-22T11:30:02.000Z,2.1K,,2.1K,30,5,without_company
D:\untitled3\.\hubs\ui,null,775648,ProductivityInside,2023-11-22T11:18:03.000Z,3.2K,,3.2K,23,5,without_company
D:\untitled3\.\hubs\ui,null,774808,Testograf,2023-11-18T10:06:36.000Z,1.3K,,1.3K,14,1,without_company
D:\untitled3\.\hubs\ui,null,774616,ATOM_Team,2023-11-17T14:10:09.000Z,763,,763,9,2,without_company
D:\untitled3\.\hubs\ui,null,774328,Anastasiia_Vinokurova,2023-11-17T09:13:40.000Z,2.5K,,2.5K,21,5,without_company
D:\untitled3\.\hubs\ui,null,773942,vaniacer,2023-11-16T17:34:12.000Z,19K,,19K,100,43,without_company
D:\untitled3\.\hubs\ui,null,774386,smlab_dev,2023-11-16T12:27:58.000Z,649,,649,15,1,without_company
D:\untitled3\.\hubs\ui,null,772830,ulitin,2023-11-16T11:10:43.000Z,1.9K,,1.9K,20,2,without_company
D:\untitled3\.\hubs\ui,null,773870,AlexeyW100,2023-11-15T07:01:08.000Z,22K,,22K,160,20,without_company
D:\untitled3\.\hubs\ui,null,773084,Revyashko,2023-11-10T08:41:33.000Z,1.6K,,1.6K,12,14,without_company
D:\untitled3\.\hubs\ui,null,772828,Autonomnoe,2023-11-09T09:44:38.000Z,7K,,7K,52,20,without_company
D:\untitled3\.\hubs\ui,null,772760,VladPopovich,2023-11-09T07:30:33.000Z,4.8K,,4.8K,56,2,without_company
D:\untitled3\.\hubs\ui,null,772686,pcbteach,2023-11-08T15:47:43.000Z,1.3K,,1.3K,18,0,without_company
D:\untitled3\.\hubs\ui,null,772664,GrayHoax,2023-11-08T14:40:22.000Z,655,,655,4,9,without_company
D:\untitled3\.\hubs\ui,null,771970,Evgeny_E,2023-11-05T06:08:32.000Z,7.5K,,7.5K,70,23,without_company
D:\untitled3\.\hubs\ui,null,770348,Sh3f,2023-11-03T12:40:37.000Z,5.7K,,5.7K,33,14,without_company
D:\untitled3\.\hubs\ui,null,771216,shiru8bit,2023-11-03T09:00:03.000Z,3.3K,,3.3K,32,11,without_company
D:\untitled3\.\hubs\ui,null,771586,ahmoleg,2023-11-02T16:00:56.000Z,8.7K,,8.7K,13,11,without_company
D:\untitled3\.\hubs\ui,null,771092,igorvarnavsky,2023-10-31T15:03:08.000Z,14K,,14K,64,55,without_company
D:\untitled3\.\hubs\ui,null,770064,ackedze,2023-10-31T07:14:35.000Z,2.6K,,2.6K,11,17,without_company
D:\untitled3\.\hubs\ui,null,770770,Artsfactory,2023-10-30T12:23:37.000Z,7.2K,,7.2K,23,0,without_company
D:\untitled3\.\hubs\ui,null,770614,Artsfactory,2023-10-29T19:22:55.000Z,1.8K,,1.8K,9,12,without_company
D:\untitled3\.\hubs\ui,null,770586,blessque,2023-10-29T15:28:35.000Z,2.7K,,2.7K,36,3,without_company
