hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\unity,null,776356,maxgammer,2023-11-25T13:54:49.000Z,2K,,2K,17,0,without_company
D:\untitled3\.\hubs\unity,null,775872,A-G-B,2023-11-23T09:47:53.000Z,6.8K,,6.8K,10,2,without_company
D:\untitled3\.\hubs\unity,null,775588,olegchir,2023-11-22T08:03:54.000Z,1.5K,,1.5K,5,3,without_company
D:\untitled3\.\hubs\unity,null,749228,Paradox179,2023-11-09T16:26:42.000Z,6.1K,,6.1K,35,21,without_company
D:\untitled3\.\hubs\unity,null,772284,PatientZero,2023-11-07T13:37:25.000Z,28K,,28K,34,58,without_company
D:\untitled3\.\hubs\unity,null,772082,PatientZero,2023-11-06T10:53:43.000Z,23K,,23K,25,21,without_company
D:\untitled3\.\hubs\unity,null,771904,MarkoffIN,2023-11-04T12:01:04.000Z,2.5K,,2.5K,10,0,without_company
D:\untitled3\.\hubs\unity,null,771226,5a5ha,2023-11-01T10:14:14.000Z,1.2K,,1.2K,12,1,without_company
D:\untitled3\.\hubs\unity,null,769894,MarkoffIN,2023-10-25T13:31:03.000Z,5.6K,,5.6K,43,1,without_company
D:\untitled3\.\hubs\unity,null,769044,vangogih,2023-10-23T08:00:01.000Z,7.5K,,7.5K,64,18,without_company
D:\untitled3\.\hubs\unity,null,768958,Nigylam,2023-10-21T07:02:26.000Z,752,,752,4,0,without_company
D:\untitled3\.\hubs\unity,null,768086,StarKRE,2023-10-18T15:29:59.000Z,6K,,6K,40,18,without_company
D:\untitled3\.\hubs\unity,null,767944,Firensis,2023-10-17T07:54:28.000Z,1.6K,,1.6K,13,4,without_company
D:\untitled3\.\hubs\unity,null,767436,Nigylam,2023-10-14T07:40:10.000Z,970,,970,4,2,without_company
D:\untitled3\.\hubs\unity,null,754296,StarKRE,2023-10-12T14:49:02.000Z,4.7K,,4.7K,29,7,without_company
D:\untitled3\.\hubs\unity,null,764658,StarKRE,2023-10-02T12:56:01.000Z,4.4K,,4.4K,40,18,without_company
D:\untitled3\.\hubs\unity,null,763988,Sivchenko_translate,2023-09-27T22:04:11.000Z,21K,,21K,55,35,without_company
D:\untitled3\.\hubs\unity,null,763290,Wanderality,2023-09-25T12:00:29.000Z,1.2K,,1.2K,14,0,without_company
D:\untitled3\.\hubs\unity,null,762076,PatientZero,2023-09-21T08:05:19.000Z,22K,,22K,104,26,without_company
D:\untitled3\.\hubs\unity,null,759958,Dmitry9192,2023-09-19T06:25:14.000Z,6.1K,,6.1K,33,18,without_company
D:\untitled3\.\hubs\unity,null,761644,Suvitruf,2023-09-18T05:36:03.000Z,15K,,15K,9,42,without_company
D:\untitled3\.\hubs\unity,null,761572,viruseg,2023-09-17T20:51:52.000Z,1.1K,,1.1K,6,1,without_company
D:\untitled3\.\hubs\unity,null,761030,haldagan,2023-09-14T09:56:59.000Z,10K,,10K,9,44,without_company
D:\untitled3\.\hubs\unity,null,760032,xterminal86,2023-09-10T09:30:42.000Z,2.8K,,2.8K,5,14,without_company
D:\untitled3\.\hubs\unity,null,758004,5a5ha,2023-08-30T19:40:04.000Z,4.9K,,4.9K,47,9,without_company
D:\untitled3\.\hubs\unity,null,757540,Nigylam,2023-08-29T06:27:05.000Z,5.8K,,5.8K,11,29,without_company
D:\untitled3\.\hubs\unity,null,755574,5a5ha,2023-08-18T16:47:34.000Z,1.8K,,1.8K,17,0,without_company
D:\untitled3\.\hubs\unity,null,746782,Dmitry9192,2023-08-15T04:39:35.000Z,1.5K,,1.5K,14,0,without_company
D:\untitled3\.\hubs\unity,null,748364,Ipashelovo,2023-07-16T20:25:35.000Z,4.1K,,4.1K,24,0,without_company
D:\untitled3\.\hubs\unity,null,747796,EkaterinaDuma,2023-07-13T11:17:24.000Z,4.7K,,4.7K,35,13,without_company
D:\untitled3\.\hubs\unity,null,747578,ph_piter,2023-07-12T14:25:35.000Z,6K,,6K,25,4,without_company
D:\untitled3\.\hubs\unity,null,747226,ligofff,2023-07-11T07:36:23.000Z,6.9K,,6.9K,82,6,without_company
D:\untitled3\.\hubs\unity,null,745338,RomanR12,2023-07-02T08:49:57.000Z,1.9K,,1.9K,20,0,without_company
D:\untitled3\.\hubs\unity,null,744676,Darthman,2023-06-29T06:41:55.000Z,1.4K,,1.4K,4,35,without_company
D:\untitled3\.\hubs\unity,null,744630,Nigylam,2023-06-28T18:21:44.000Z,6K,,6K,27,25,without_company
D:\untitled3\.\hubs\unity,null,742958,maxgammer,2023-06-20T19:13:44.000Z,2.1K,,2.1K,9,58,without_company
D:\untitled3\.\hubs\unity,null,742400,StarKRE,2023-06-19T15:37:01.000Z,4.2K,,4.2K,36,3,without_company
