hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\urban,null,775544,igor_suhorukov,2023-11-22T05:00:29.000Z,2.9K,,2.9K,20,2,/ru/hubs/programming/
D:\untitled3\.\hubs\urban,null,775176,vasyaivanovpv,2023-11-20T17:47:01.000Z,1.7K,,1.7K,5,10,/ru/hubs/openstreetmap/
D:\untitled3\.\hubs\urban,null,774516,igor_suhorukov,2023-11-17T06:07:21.000Z,2.3K,,2.3K,26,16,/ru/hubs/search_technologies/
D:\untitled3\.\hubs\urban,null,774332,Catx2,2023-11-16T10:21:14.000Z,11K,,11K,33,41,/ru/hubs/popular_science/
D:\untitled3\.\hubs\urban,null,772006,iMonin,2023-11-05T11:15:40.000Z,19K,,19K,96,109,/ru/hubs/popular_science/
D:\untitled3\.\hubs\urban,null,771184,igor_suhorukov,2023-11-01T05:12:54.000Z,6.1K,,6.1K,21,32,/ru/hubs/postgresql/
D:\untitled3\.\hubs\urban,null,770780,anastasiy_y,2023-10-30T13:12:39.000Z,18K,,18K,60,187,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\urban,null,769024,SergioMalecci,2023-10-27T09:00:02.000Z,21K,,21K,58,43,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\urban,null,770278,ITMan82,2023-10-27T07:38:20.000Z,37K,,37K,71,394,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\urban,null,767234,melnikovaad,2023-10-26T08:01:02.000Z,2K,,2K,27,1,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\urban,null,767202,melnikovaad,2023-10-19T08:01:01.000Z,1.5K,,1.5K,25,1,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\urban,null,766908,Dmytro_Kikot,2023-10-13T07:00:05.000Z,8.5K,,8.5K,31,5,/ru/companies/ua-hosting/articles/
D:\untitled3\.\hubs\urban,null,766930,melnikovaad,2023-10-12T08:00:39.000Z,4K,,4K,189,1,/ru/companies/rshb/articles/
D:\untitled3\.\hubs\urban,null,764780,klimensky,2023-10-02T10:13:01.000Z,5.1K,,5.1K,26,32,/ru/companies/first/articles/
D:\untitled3\.\hubs\urban,null,763782,dewolix,2023-09-27T11:23:36.000Z,1.2K,,1.2K,15,0,/ru/companies/kts/articles/
D:\untitled3\.\hubs\urban,null,760976,IBS_habrablog,2023-09-14T07:52:09.000Z,2.7K,,2.7K,12,3,/ru/companies/ibs/articles/
D:\untitled3\.\hubs\urban,null,759094,iMonin,2023-09-05T16:37:29.000Z,11K,,11K,45,130,/ru/hubs/zadachki/
D:\untitled3\.\hubs\urban,null,758032,Arnak,2023-08-31T03:54:47.000Z,15K,,15K,31,63,/ru/companies/getmatch/articles/
D:\untitled3\.\hubs\urban,null,755710,OlegSivchenko,2023-08-20T09:42:50.000Z,4.8K,,4.8K,18,72,/ru/hubs/popular_science/
D:\untitled3\.\hubs\urban,null,751170,SergioMalecci,2023-07-29T10:00:01.000Z,9.9K,,9.9K,49,49,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\urban,null,747394,nikolz,2023-07-12T04:17:32.000Z,1.9K,,1.9K,12,9,/ru/hubs/home_automation/
D:\untitled3\.\hubs\urban,null,746826,nikolz,2023-07-09T06:23:41.000Z,3.5K,,3.5K,16,10,/ru/hubs/robot/
D:\untitled3\.\hubs\urban,null,746604,Zangasta,2023-07-07T11:43:05.000Z,13K,,13K,12,606,/ru/hubs/transport/
