hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\usability,design,774616,ATOM_Team,2023-11-17T14:10:09.000Z,763,,763,9,2,/ru/companies/atom/articles/
D:\untitled3\.\hubs\usability,design,772830,ulitin,2023-11-16T11:10:43.000Z,1.9K,,1.9K,20,2,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\usability,design,772760,VladPopovich,2023-11-09T07:30:33.000Z,4.8K,,4.8K,56,2,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,771092,igorvarnavsky,2023-10-31T15:03:08.000Z,14K,,14K,64,55,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,770484,AKlimenkov,2023-10-28T13:06:32.000Z,8.8K,,8.8K,47,79,/ru/hubs/habr/
D:\untitled3\.\hubs\usability,design,770450,Pavel_nobranch,2023-10-28T06:32:09.000Z,17K,,17K,21,17,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,770272,Flamyatina,2023-10-27T10:32:21.000Z,921,,921,23,0,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\usability,design,770158,frontedward,2023-10-26T12:36:18.000Z,13K,,13K,52,39,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,769328,adaev_me,2023-10-25T07:31:34.000Z,2.3K,,2.3K,15,1,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\usability,design,769724,Ekamelev,2023-10-24T23:30:21.000Z,3K,,3K,20,0,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,768044,ph_piter,2023-10-17T12:35:53.000Z,2.1K,,2.1K,19,1,/ru/companies/piter/articles/
D:\untitled3\.\hubs\usability,design,767912,limmm,2023-10-17T08:00:01.000Z,1.2K,,1.2K,4,0,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\usability,design,767888,ilih,2023-10-17T04:23:02.000Z,1.4K,,1.4K,16,9,/ru/hubs/gamedev/
D:\untitled3\.\hubs\usability,design,767732,PatientZero,2023-10-16T10:45:28.000Z,30K,,30K,54,58,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,767482,viordash,2023-10-14T13:35:16.000Z,6.2K,,6.2K,63,6,/ru/hubs/open_source/
D:\untitled3\.\hubs\usability,design,766374,Milfgard,2023-10-10T06:58:16.000Z,10K,,10K,42,48,/ru/companies/orbita/articles/
D:\untitled3\.\hubs\usability,design,765974,AKlimenkov,2023-10-07T17:20:37.000Z,21K,,21K,43,110,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,765830,katrinyulina,2023-10-06T12:50:51.000Z,2.5K,,2.5K,17,0,/ru/companies/ispsystem/articles/
D:\untitled3\.\hubs\usability,design,765504,danasprdnv,2023-10-05T13:32:29.000Z,5.3K,,5.3K,43,7,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\usability,design,764870,georgy_shv,2023-10-03T07:59:25.000Z,3.6K,,3.6K,13,6,/ru/companies/X5Tech/articles/
D:\untitled3\.\hubs\usability,design,764564,AKlimenkov,2023-09-30T13:09:58.000Z,12K,,12K,45,28,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,764274,phillennium,2023-09-29T11:00:06.000Z,6.7K,,6.7K,23,60,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\usability,design,763782,dewolix,2023-09-27T11:23:36.000Z,1.2K,,1.2K,15,0,/ru/companies/kts/articles/
D:\untitled3\.\hubs\usability,design,763386,PatientZero,2023-09-25T19:12:25.000Z,21K,,21K,51,110,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,762824,AndrewYaremko,2023-09-22T11:53:41.000Z,2.7K,,2.7K,24,26,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,761716,tatianna,2023-09-18T11:02:21.000Z,1.5K,,1.5K,16,0,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\usability,design,759672,Alfa_Research_Center,2023-09-18T06:57:29.000Z,1.5K,,1.5K,17,0,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\usability,design,761292,PatientZero,2023-09-15T10:40:27.000Z,17K,,17K,59,100,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,758108,spodvipodvertom,2023-09-05T08:11:21.000Z,5.8K,,5.8K,18,5,/ru/companies/alfa/articles/
D:\untitled3\.\hubs\usability,design,749148,jaythomas,2023-08-17T08:00:01.000Z,6K,,6K,30,1,/ru/companies/domclick/articles/
D:\untitled3\.\hubs\usability,design,754820,broxus,2023-08-15T16:09:42.000Z,2.3K,,2.3K,25,4,/ru/hubs/p2p/
D:\untitled3\.\hubs\usability,design,754382,dewolix,2023-08-14T12:03:53.000Z,2.6K,,2.6K,23,2,/ru/companies/kts/articles/
D:\untitled3\.\hubs\usability,design,753522,hardclient,2023-08-09T11:30:44.000Z,1.3K,,1.3K,21,3,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,753022,kira_kalimulina,2023-08-08T10:05:07.000Z,18K,,18K,104,48,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\usability,design,753156,Ekamelev,2023-08-08T01:29:47.000Z,13K,,13K,157,11,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,751936,DavidMkrtumyan,2023-08-02T08:02:46.000Z,410,,410,3,2,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,751546,Oksaa,2023-07-31T13:15:52.000Z,3.2K,,3.2K,23,0,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,750728,hardclient,2023-07-27T07:11:39.000Z,2.1K,,2.1K,20,4,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\usability,design,749030,Daryadesignux,2023-07-26T07:44:36.000Z,900,,900,18,0,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\usability,design,747828,Flamyatina,2023-07-13T12:34:47.000Z,1.1K,,1.1K,30,2,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\usability,design,747550,ru_vds,2023-07-12T13:00:01.000Z,11K,,11K,53,36,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\usability,design,747396,ru_vds,2023-07-12T09:00:01.000Z,32K,,32K,135,107,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\usability,design,747434,hardclient,2023-07-12T07:30:41.000Z,2K,,2K,24,2,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,747224,velon,2023-07-11T16:14:49.000Z,25K,,25K,45,108,/ru/hubs/silverlight/
D:\untitled3\.\hubs\usability,design,746914,Sivchenko_translate,2023-07-09T20:42:59.000Z,9.6K,,9.6K,32,56,/ru/hubs/hi/
D:\untitled3\.\hubs\usability,design,746394,tatianna,2023-07-07T12:30:41.000Z,1.7K,,1.7K,21,2,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\usability,design,746602,cupraer,2023-07-07T11:41:26.000Z,34K,,34K,91,98,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\usability,design,746130,MGalaxx,2023-07-06T09:51:38.000Z,908,,908,9,0,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\usability,design,744670,yu228,2023-06-30T06:43:05.000Z,5.3K,,5.3K,59,3,/ru/companies/dododev/articles/
D:\untitled3\.\hubs\usability,design,744942,hardclient,2023-06-30T04:15:02.000Z,1.3K,,1.3K,5,6,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,744156,OlegSivchenko,2023-06-27T09:06:48.000Z,7.1K,,7.1K,40,27,/ru/hubs/ui/
D:\untitled3\.\hubs\usability,design,743264,hardclient,2023-06-22T08:11:56.000Z,2.7K,,2.7K,29,6,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\usability,design,741906,Flamyatina,2023-06-15T11:54:10.000Z,2.8K,,2.8K,26,1,/ru/companies/rtlabs/articles/
D:\untitled3\.\hubs\usability,design,740354,Ugryumy,2023-06-08T12:43:48.000Z,2.7K,,2.7K,32,2,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\usability,design,739718,Ekamelev,2023-06-04T13:01:53.000Z,1.9K,,1.9K,13,2,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,738816,everest_ux,2023-05-31T09:13:12.000Z,2.6K,,2.6K,17,2,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,737452,hardclient,2023-05-25T06:52:34.000Z,1.5K,,1.5K,15,2,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\usability,design,736880,hardclient,2023-05-23T06:07:40.000Z,3.4K,,3.4K,49,4,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\usability,design,736614,hardclient,2023-05-22T06:00:09.000Z,1.6K,,1.6K,14,0,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\usability,design,735816,avsxvii,2023-05-18T11:36:40.000Z,2.2K,,2.2K,19,2,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\usability,design,733608,yulia-dolgun,2023-05-11T09:04:16.000Z,3.1K,,3.1K,40,3,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\usability,design,731970,plnttr1003,2023-04-27T11:00:04.000Z,763,,763,11,1,/ru/companies/sportmaster_lab/articles/
D:\untitled3\.\hubs\usability,design,731906,limmm,2023-04-27T04:14:22.000Z,2.3K,,2.3K,13,4,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\usability,design,730172,iliazeus,2023-04-19T15:21:09.000Z,3.8K,,3.8K,26,24,/ru/hubs/web_design/
D:\untitled3\.\hubs\usability,design,729842,dimitr_a,2023-04-18T12:31:04.000Z,39K,,39K,70,559,/ru/hubs/usability/
D:\untitled3\.\hubs\usability,design,729298,AKlimenkov,2023-04-15T14:55:47.000Z,29K,,29K,90,239,/ru/hubs/usability/
