hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\venturecap,null,775252,tw0face,2023-11-21T06:17:41.000Z,1.1K,,1.1K,17,8,without_company
D:\untitled3\.\hubs\venturecap,null,774218,tw0face,2023-11-16T10:06:13.000Z,455,,455,7,1,without_company
D:\untitled3\.\hubs\venturecap,null,772810,tw0face,2023-11-09T08:59:49.000Z,1.2K,,1.2K,8,5,without_company
D:\untitled3\.\hubs\venturecap,null,772218,Deian-Edigarov,2023-11-07T12:21:02.000Z,1.3K,,1.3K,11,17,without_company
D:\untitled3\.\hubs\venturecap,null,771996,dionisdimetor,2023-11-05T10:16:44.000Z,2.9K,,2.9K,16,41,without_company
D:\untitled3\.\hubs\venturecap,null,771740,Denis_Chernobaev,2023-11-03T10:26:35.000Z,2.3K,,2.3K,9,16,without_company
D:\untitled3\.\hubs\venturecap,null,769438,tw0face,2023-10-24T04:41:38.000Z,1.9K,,1.9K,20,5,without_company
D:\untitled3\.\hubs\venturecap,null,767634,tw0face,2023-10-16T06:20:33.000Z,840,,840,5,2,without_company
D:\untitled3\.\hubs\venturecap,null,766966,evgvolnov,2023-10-13T10:47:20.000Z,2.1K,,2.1K,9,0,without_company
D:\untitled3\.\hubs\venturecap,null,766218,hse_spb,2023-10-09T10:13:20.000Z,1.4K,,1.4K,10,3,without_company
D:\untitled3\.\hubs\venturecap,null,766114,YuriPanchul,2023-10-09T05:28:51.000Z,4.2K,,4.2K,12,23,without_company
D:\untitled3\.\hubs\venturecap,null,764828,Alexandra_Kovalyova,2023-10-02T12:23:14.000Z,363,,363,0,0,without_company
D:\untitled3\.\hubs\venturecap,null,759406,MarketAnalyst,2023-09-07T06:38:23.000Z,1.2K,,1.2K,1,1,without_company
D:\untitled3\.\hubs\venturecap,null,757562,kuzz,2023-09-05T07:01:02.000Z,2.8K,,2.8K,34,24,without_company
D:\untitled3\.\hubs\venturecap,null,758692,GFactors,2023-09-04T05:38:07.000Z,1.1K,,1.1K,10,21,without_company
D:\untitled3\.\hubs\venturecap,null,756648,Denis_Chernobaev,2023-08-24T09:50:01.000Z,2.5K,,2.5K,14,32,without_company
D:\untitled3\.\hubs\venturecap,null,756456,Alexandra_Kovalyova,2023-08-23T12:13:02.000Z,1.2K,,1.2K,11,5,without_company
D:\untitled3\.\hubs\venturecap,null,756440,elaracore,2023-08-23T11:30:19.000Z,468,,468,3,0,without_company
D:\untitled3\.\hubs\venturecap,null,754456,zapp,2023-08-14T11:37:32.000Z,780,,780,2,2,without_company
D:\untitled3\.\hubs\venturecap,null,750840,tim_saf,2023-07-28T10:46:51.000Z,3K,,3K,14,3,without_company
D:\untitled3\.\hubs\venturecap,null,750890,Dlougach,2023-07-27T17:57:46.000Z,10K,,10K,73,11,without_company
D:\untitled3\.\hubs\venturecap,null,744374,M_Aksenova,2023-06-28T06:32:52.000Z,2K,,2K,12,3,without_company
D:\untitled3\.\hubs\venturecap,null,742444,Kibkalo,2023-06-19T08:22:34.000Z,3.9K,,3.9K,22,22,without_company
D:\untitled3\.\hubs\venturecap,null,741198,RustamPush,2023-06-12T05:46:49.000Z,4.1K,,4.1K,15,2,without_company
D:\untitled3\.\hubs\venturecap,null,741090,berlicon,2023-06-10T15:14:50.000Z,1.3K,,1.3K,6,6,without_company
D:\untitled3\.\hubs\venturecap,null,740176,tw0face,2023-06-06T11:56:24.000Z,2K,,2K,14,2,without_company
D:\untitled3\.\hubs\venturecap,null,739890,tw0face,2023-06-05T11:20:04.000Z,2.1K,,2.1K,8,0,without_company
D:\untitled3\.\hubs\venturecap,null,739672,Kallist,2023-06-04T03:09:01.000Z,4.9K,,4.9K,33,10,without_company
D:\untitled3\.\hubs\venturecap,null,734138,irina_invest,2023-05-10T09:09:07.000Z,2.7K,,2.7K,8,22,without_company
D:\untitled3\.\hubs\venturecap,null,732130,grokru,2023-04-27T20:22:08.000Z,4.2K,,4.2K,8,9,without_company
D:\untitled3\.\hubs\venturecap,null,726822,business-incubat0r,2023-04-04T09:39:33.000Z,1.4K,,1.4K,9,0,without_company
D:\untitled3\.\hubs\venturecap,null,726414,grokru,2023-04-02T11:50:07.000Z,1.6K,,1.6K,8,1,without_company
D:\untitled3\.\hubs\venturecap,null,725934,DigitalTatarstan,2023-03-31T13:31:36.000Z,574,,574,0,1,without_company
D:\untitled3\.\hubs\venturecap,null,724652,gerasimovich,2023-03-24T16:58:44.000Z,2.1K,,2.1K,8,4,without_company
D:\untitled3\.\hubs\venturecap,null,720666,Serg_Step,2023-03-06T08:03:45.000Z,3.2K,,3.2K,13,0,without_company
D:\untitled3\.\hubs\venturecap,null,716734,AMalysh,2023-02-13T19:42:31.000Z,2.1K,,2.1K,9,2,without_company
D:\untitled3\.\hubs\venturecap,null,716270,YuvaHH,2023-02-11T07:01:14.000Z,16K,,16K,31,27,without_company
D:\untitled3\.\hubs\venturecap,null,713818,tw0face,2023-01-31T09:06:02.000Z,1.4K,,1.4K,2,1,without_company
D:\untitled3\.\hubs\venturecap,null,709412,ImFOXMF,2023-01-07T18:07:35.000Z,5.4K,,5.4K,60,17,without_company
D:\untitled3\.\hubs\venturecap,null,709072,GFactors,2023-01-04T09:38:22.000Z,3.4K,,3.4K,31,12,without_company
D:\untitled3\.\hubs\venturecap,null,706894,arsmagic,2022-12-21T13:24:57.000Z,3K,,3K,14,0,without_company
D:\untitled3\.\hubs\venturecap,null,704820,SpaceFinance,2022-12-12T05:50:00.000Z,4.8K,,4.8K,12,4,without_company
D:\untitled3\.\hubs\venturecap,null,703692,russianlawyers,2022-12-06T08:27:26.000Z,1.1K,,1.1K,17,0,without_company
D:\untitled3\.\hubs\venturecap,null,703698,gl_rom,2022-12-05T19:50:47.000Z,10K,,10K,22,22,without_company
D:\untitled3\.\hubs\venturecap,null,703016,lisa_minaeva,2022-12-02T08:40:48.000Z,10K,,10K,34,7,without_company
D:\untitled3\.\hubs\venturecap,null,701916,gl_rom,2022-11-27T22:57:04.000Z,13K,,13K,8,2,without_company
D:\untitled3\.\hubs\venturecap,null,700660,wolf24ru,2022-11-21T14:42:36.000Z,6.6K,,6.6K,52,6,without_company
D:\untitled3\.\hubs\venturecap,null,700150,l_kalinovskaya,2022-11-18T07:58:52.000Z,18K,,18K,34,45,without_company
D:\untitled3\.\hubs\venturecap,null,696854,Generation_S,2022-11-01T14:42:05.000Z,3K,,3K,11,1,without_company
D:\untitled3\.\hubs\venturecap,null,696068,Artezio_team,2022-11-01T07:01:24.000Z,6.5K,,6.5K,71,1,without_company
D:\untitled3\.\hubs\venturecap,null,694932,marshersusanin,2022-10-23T06:46:18.000Z,4.6K,,4.6K,16,2,without_company
D:\untitled3\.\hubs\venturecap,null,691760,YNDXFamily,2022-10-10T06:38:15.000Z,4.6K,,4.6K,17,10,without_company
D:\untitled3\.\hubs\venturecap,null,690868,russianlawyers,2022-09-30T06:00:02.000Z,1.7K,,1.7K,12,1,without_company
D:\untitled3\.\hubs\venturecap,null,688430,russianlawyers,2022-09-15T11:17:39.000Z,3.3K,,3.3K,52,1,without_company
D:\untitled3\.\hubs\venturecap,null,687562,rogozin_alexey,2022-09-10T18:54:28.000Z,7.3K,,7.3K,18,37,without_company
D:\untitled3\.\hubs\venturecap,null,681188,MagisterLudi,2022-09-09T00:58:35.000Z,1.4K,,1.4K,5,0,without_company
D:\untitled3\.\hubs\venturecap,null,682094,MagisterLudi,2022-09-08T16:14:58.000Z,13K,,13K,17,47,without_company
D:\untitled3\.\hubs\venturecap,null,687060,MagisterLudi,2022-09-07T18:42:17.000Z,6.8K,,6.8K,23,0,without_company
D:\untitled3\.\hubs\venturecap,null,684808,IvanLunegov,2022-08-26T10:38:32.000Z,4.1K,,4.1K,7,9,without_company
D:\untitled3\.\hubs\venturecap,null,682012,dairok,2022-08-16T07:01:07.000Z,1.1K,,1.1K,20,3,without_company
D:\untitled3\.\hubs\venturecap,null,678080,RAAD,2022-07-21T08:49:25.000Z,11K,,11K,15,6,without_company
D:\untitled3\.\hubs\venturecap,null,676074,MagisterLudi,2022-07-12T16:43:30.000Z,5.4K,,5.4K,11,10,without_company
D:\untitled3\.\hubs\venturecap,null,675612,RAAD,2022-07-07T09:19:24.000Z,13K,,13K,14,0,without_company
D:\untitled3\.\hubs\venturecap,null,672662,MediaMetriqa,2022-06-21T13:04:44.000Z,4.7K,,4.7K,20,2,without_company
D:\untitled3\.\hubs\venturecap,null,671534,lanit_team,2022-06-21T07:02:10.000Z,2.2K,,2.2K,39,2,without_company
D:\untitled3\.\hubs\venturecap,null,671032,urvalla,2022-06-12T17:09:39.000Z,5.6K,,5.6K,17,19,without_company
D:\untitled3\.\hubs\venturecap,null,670070,russianlawyers,2022-06-07T11:07:27.000Z,1.8K,,1.8K,11,0,without_company
D:\untitled3\.\hubs\venturecap,null,666446,EgorKotkin,2022-06-07T08:00:03.000Z,6K,,6K,21,64,without_company
D:\untitled3\.\hubs\venturecap,null,665690,MagisterLudi,2022-05-14T10:24:34.000Z,7.1K,,7.1K,11,3,without_company
D:\untitled3\.\hubs\venturecap,null,665244,MagisterLudi,2022-05-11T16:16:23.000Z,4.9K,,4.9K,1,0,without_company
D:\untitled3\.\hubs\venturecap,null,664562,MagisterLudi,2022-05-07T12:11:41.000Z,2.9K,,2.9K,6,0,without_company
D:\untitled3\.\hubs\venturecap,null,662588,MagisterLudi,2022-04-30T10:53:10.000Z,4.5K,,4.5K,12,15,without_company
D:\untitled3\.\hubs\venturecap,null,662842,MagisterLudi,2022-04-28T08:59:23.000Z,4K,,4K,4,10,without_company
D:\untitled3\.\hubs\venturecap,null,662836,MagisterLudi,2022-04-27T11:29:17.000Z,6.4K,,6.4K,11,1,without_company
D:\untitled3\.\hubs\venturecap,null,662892,hsbi,2022-04-25T15:26:23.000Z,1.5K,,1.5K,1,3,without_company
D:\untitled3\.\hubs\venturecap,null,662828,MagisterLudi,2022-04-25T12:08:49.000Z,915,,915,1,0,without_company
D:\untitled3\.\hubs\venturecap,null,661171,MagisterLudi,2022-04-15T10:52:32.000Z,1.1K,,1.1K,4,0,without_company
D:\untitled3\.\hubs\venturecap,null,660975,MagisterLudi,2022-04-14T12:29:22.000Z,2.5K,,2.5K,7,1,without_company
D:\untitled3\.\hubs\venturecap,null,654631,MagisterLudi,2022-04-12T11:17:07.000Z,8.5K,,8.5K,37,1,without_company
D:\untitled3\.\hubs\venturecap,null,660083,Kifir42,2022-04-10T16:43:05.000Z,11K,,11K,41,3,without_company
D:\untitled3\.\hubs\venturecap,null,653591,MagisterLudi,2022-02-28T14:35:51.000Z,5.4K,,5.4K,10,1,without_company
D:\untitled3\.\hubs\venturecap,null,649895,MagisterLudi,2022-02-21T15:24:19.000Z,1.7K,,1.7K,7,5,without_company
D:\untitled3\.\hubs\venturecap,null,341222,MagisterLudi,2022-02-18T10:24:06.000Z,3.9K,,3.9K,10,4,without_company
D:\untitled3\.\hubs\venturecap,null,652207,MagisterLudi,2022-02-17T17:15:51.000Z,4K,,4K,9,9,without_company
D:\untitled3\.\hubs\venturecap,null,651811,MC_DRaggon_Requiem,2022-02-15T22:00:03.000Z,3.8K,,3.8K,5,6,without_company
D:\untitled3\.\hubs\venturecap,null,651607,Marat1980,2022-02-15T07:12:56.000Z,5K,,5K,54,4,without_company
D:\untitled3\.\hubs\venturecap,null,591387,MagisterLudi,2022-02-14T13:23:36.000Z,11K,,11K,28,21,without_company
D:\untitled3\.\hubs\venturecap,null,649893,Analyst_Vladimir,2022-02-05T15:46:30.000Z,15K,,15K,21,25,without_company
D:\untitled3\.\hubs\venturecap,null,649397,msgeek,2022-02-04T07:02:01.000Z,916,,916,4,0,without_company
