hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\video,null,765798,alizar,2023-11-06T09:00:01.000Z,55K,,55K,376,420,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video,null,771840,timonin,2023-11-03T17:39:17.000Z,19K,,19K,133,27,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,769996,phillennium,2023-11-03T15:37:09.000Z,1K,,1K,5,0,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video,null,770916,beatlejute,2023-10-31T07:41:32.000Z,911,,911,5,0,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\video,null,768456,xanderxanderfto,2023-10-19T06:40:06.000Z,14K,,14K,64,21,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,768134,Wladradchenko,2023-10-17T17:23:32.000Z,4.6K,,4.6K,48,8,/ru/hubs/open_source/
D:\untitled3\.\hubs\video,null,767222,timonin,2023-10-13T09:45:55.000Z,6.6K,,6.6K,96,7,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,765218,DewT-Mag,2023-10-05T10:01:18.000Z,8.7K,,8.7K,86,22,/ru/companies/magnus-tech/articles/
D:\untitled3\.\hubs\video,null,762304,Artezio_team,2023-10-03T07:02:06.000Z,1.3K,,1.3K,32,1,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\video,null,764714,Milfgard,2023-10-02T06:58:26.000Z,5.4K,,5.4K,22,40,/ru/companies/orbita/articles/
D:\untitled3\.\hubs\video,null,760716,alizar,2023-09-18T09:00:01.000Z,36K,,36K,321,73,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video,null,760712,ThisIsMaksim,2023-09-13T09:15:27.000Z,3.2K,,3.2K,15,24,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\video,null,759566,Wladradchenko,2023-09-07T12:48:15.000Z,19K,,19K,139,37,/ru/hubs/open_source/
D:\untitled3\.\hubs\video,null,758894,srg_kdmv,2023-09-05T03:51:55.000Z,51K,,51K,119,318,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,757632,euclid,2023-08-30T07:07:02.000Z,1K,,1K,4,2,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,757476,Wladradchenko,2023-08-28T16:56:25.000Z,6.8K,,6.8K,82,21,/ru/hubs/open_source/
D:\untitled3\.\hubs\video,null,757276,PatientZero,2023-08-28T06:54:41.000Z,5.5K,,5.5K,61,8,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,757240,dimabelousov1,2023-08-27T21:12:11.000Z,1.6K,,1.6K,6,1,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,754654,Sivchenko_translate,2023-08-15T07:45:32.000Z,15K,,15K,116,25,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,752096,TilekSamiev,2023-08-13T14:04:19.000Z,11K,,11K,26,14,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\video,null,753230,HTS775,2023-08-08T08:53:37.000Z,1.8K,,1.8K,11,0,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,752506,i_leech,2023-08-04T11:01:13.000Z,14K,,14K,94,41,/ru/hubs/open_source/
D:\untitled3\.\hubs\video,null,751240,Clickru,2023-07-29T12:43:15.000Z,45K,,45K,84,19,/ru/companies/click/articles/
D:\untitled3\.\hubs\video,null,744752,mvideo,2023-07-27T09:40:29.000Z,530,,530,5,0,/ru/companies/mvideo/articles/
D:\untitled3\.\hubs\video,null,747252,LyudmilaAlt,2023-07-11T08:51:29.000Z,679,,679,5,1,/ru/companies/altcraft/articles/
D:\untitled3\.\hubs\video,null,746252,itglobalcom,2023-07-07T10:00:01.000Z,7.8K,,7.8K,43,1,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\video,null,746282,fildens,2023-07-06T09:55:30.000Z,1.5K,,1.5K,12,0,/ru/companies/edgecenter/articles/
D:\untitled3\.\hubs\video,null,744436,alizar,2023-07-03T09:00:01.000Z,14K,,14K,51,32,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video,null,744498,Infotecs_official,2023-06-28T11:24:39.000Z,1.9K,,1.9K,15,2,/ru/companies/infotecs_official/articles/
D:\untitled3\.\hubs\video,null,743752,GlobalSign_admin,2023-06-25T13:46:09.000Z,9.2K,,9.2K,25,9,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\video,null,742378,aleksiej-ostrowski,2023-06-18T12:25:03.000Z,4.2K,,4.2K,32,5,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,741296,gorodex,2023-06-12T20:15:29.000Z,8.7K,,8.7K,59,24,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,734956,zergon321,2023-06-03T18:07:41.000Z,2.5K,,2.5K,12,8,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,738178,TzimisceDracula,2023-05-29T06:59:54.000Z,2K,,2K,19,0,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,736584,GlobalSign_admin,2023-05-21T18:49:21.000Z,8.4K,,8.4K,39,15,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\video,null,732664,AlterEgoAI,2023-05-01T15:58:25.000Z,12K,,12K,52,54,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,731900,alexprozoroff,2023-04-27T06:50:01.000Z,2K,,2K,11,3,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,730658,bartov-e,2023-04-21T09:09:42.000Z,1.3K,,1.3K,7,2,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,729548,nikit6000,2023-04-17T11:20:01.000Z,2.2K,,2.2K,15,5,/ru/companies/cleverpumpkin/articles/
D:\untitled3\.\hubs\video,null,728582,CloudMTS,2023-04-12T13:54:32.000Z,1.3K,,1.3K,7,1,/ru/companies/cloud_mts/articles/
D:\untitled3\.\hubs\video,null,728518,olegbunin,2023-04-12T08:54:33.000Z,1.6K,,1.6K,21,2,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\video,null,728332,virtual_explorer,2023-04-11T11:07:33.000Z,5.7K,,5.7K,22,13,/ru/companies/first/articles/
D:\untitled3\.\hubs\video,null,727740,WitFed,2023-04-07T21:42:29.000Z,5.3K,,5.3K,17,17,/ru/hubs/hi/
D:\untitled3\.\hubs\video,null,727126,petr97,2023-04-05T10:14:42.000Z,1.7K,,1.7K,6,1,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,726818,Marik1001,2023-04-04T09:32:05.000Z,3.7K,,3.7K,17,52,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,720886,Dovgaluk,2023-04-01T03:27:04.000Z,4.8K,,4.8K,29,6,/ru/hubs/crazydev/
D:\untitled3\.\hubs\video,null,725724,getrender,2023-03-31T13:43:49.000Z,3.3K,,3.3K,9,6,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,724818,DungeonLords,2023-03-26T12:27:16.000Z,1.5K,,1.5K,9,4,/ru/hubs/linux/
D:\untitled3\.\hubs\video,null,724634,DigitalTatarstan,2023-03-24T14:45:47.000Z,1.4K,,1.4K,7,3,/ru/companies/digital_tatarstan/articles/
D:\untitled3\.\hubs\video,null,724284,kabachuha,2023-03-23T11:00:57.000Z,13K,,13K,60,11,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,721444,iliazeus,2023-03-09T23:34:47.000Z,5.2K,,5.2K,14,15,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,718384,alizar,2023-02-27T09:00:01.000Z,37K,,37K,388,83,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video,null,718106,alexprozoroff,2023-02-20T13:01:07.000Z,11K,,11K,108,21,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,715518,atomlib,2023-02-07T22:50:00.000Z,7.3K,,7.3K,25,26,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,715016,vladpen,2023-02-06T04:00:15.000Z,7.3K,,7.3K,64,10,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,714424,Qualab,2023-02-02T11:23:34.000Z,7.8K,,7.8K,19,17,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,707314,ru_vds,2022-12-29T13:00:01.000Z,4.5K,,4.5K,29,2,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video,null,706902,petr97,2022-12-21T14:00:09.000Z,6.4K,,6.4K,5,1,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,704292,ChristinaTalvir,2022-12-08T11:08:03.000Z,11K,,11K,45,2,/ru/hubs/web_design/
D:\untitled3\.\hubs\video,null,703848,selenzorn,2022-12-06T14:25:36.000Z,11K,,11K,34,17,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\video,null,703756,GlobalSign_admin,2022-12-06T08:45:01.000Z,13K,,13K,65,54,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\video,null,702436,Dmitrii_DAK,2022-12-01T16:01:13.000Z,6.2K,,6.2K,41,37,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,702082,euclid,2022-11-28T14:15:13.000Z,1.8K,,1.8K,5,5,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,697646,einhorn,2022-11-06T13:27:18.000Z,5K,,5K,37,15,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,697358,euclid,2022-11-03T15:41:59.000Z,4.9K,,4.9K,18,9,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,694120,rukhi7,2022-10-18T13:58:23.000Z,6.8K,,6.8K,22,70,/ru/hubs/habr/
D:\untitled3\.\hubs\video,null,693956,phillennium,2022-10-18T09:00:23.000Z,5.7K,,5.7K,45,4,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video,null,693268,Bright_Translate,2022-10-16T10:00:02.000Z,12K,,12K,42,23,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video,null,693580,tairsu,2022-10-16T08:35:39.000Z,7.4K,,7.4K,37,3,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,660693,glebmachine,2022-10-14T11:56:49.000Z,4.5K,,4.5K,26,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\video,null,690432,lelyakuznetsova,2022-10-12T14:56:45.000Z,1.1K,,1.1K,4,0,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video,null,690596,Tichva,2022-09-29T07:05:01.000Z,3.6K,,3.6K,27,5,/ru/companies/ozontech/articles/
D:\untitled3\.\hubs\video,null,688452,tolkkv,2022-09-16T12:06:10.000Z,7.4K,,7.4K,45,4,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video,null,686870,suncru,2022-09-07T11:18:57.000Z,21K,,21K,45,32,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\video,null,685108,srg_kdmv,2022-08-28T22:31:34.000Z,110K,,110K,288,339,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,683586,Bee_brightside,2022-08-19T14:13:07.000Z,2K,,2K,13,1,/ru/companies/beeline/articles/
D:\untitled3\.\hubs\video,null,683064,aleksandrshatalov,2022-08-17T11:30:01.000Z,6.2K,,6.2K,19,5,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\video,null,682440,R3EQ,2022-08-16T04:55:16.000Z,19K,,19K,73,10,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,678068,arkhwise,2022-08-02T08:11:18.000Z,3.2K,,3.2K,25,1,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\video,null,679762,arch1baald,2022-07-29T06:13:30.000Z,4K,,4K,18,8,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,678608,NanoMan-007,2022-07-24T05:36:11.000Z,15K,,15K,43,16,/ru/hubs/video/
D:\untitled3\.\hubs\video,null,678398,honyaki,2022-07-23T20:37:06.000Z,6.3K,,6.3K,20,3,/ru/companies/skillfactory/articles/
D:\untitled3\.\hubs\video,null,677884,slavanikolsky,2022-07-21T09:50:28.000Z,12K,,12K,15,118,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\video,null,676282,FirstJohn,2022-07-18T08:00:03.000Z,35K,,35K,135,112,/ru/companies/first/articles/
D:\untitled3\.\hubs\video,null,676484,nmgtech,2022-07-12T10:40:05.000Z,2.8K,,2.8K,13,3,/ru/companies/nmg/articles/
