hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\video_conferencing,null,775838,Papkin,2023-11-23T08:02:40.000Z,3.9K,,3.9K,5,9,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\video_conferencing,null,775352,anchishkin,2023-11-21T10:34:22.000Z,2.6K,,2.6K,7,1,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\video_conferencing,null,774730,vcs_su,2023-11-18T11:04:40.000Z,757,,757,5,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,767980,Usikoff,2023-11-13T15:12:46.000Z,1.6K,,1.6K,10,2,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,769996,phillennium,2023-11-03T15:37:09.000Z,1K,,1K,5,0,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video_conferencing,null,770916,beatlejute,2023-10-31T07:41:32.000Z,911,,911,5,0,/ru/companies/tensor/articles/
D:\untitled3\.\hubs\video_conferencing,null,766776,VlSergeev,2023-10-11T12:52:46.000Z,8K,,8K,23,25,/ru/companies/k2tech/articles/
D:\untitled3\.\hubs\video_conferencing,null,761762,ATeslenko,2023-09-20T11:01:38.000Z,3.4K,,3.4K,7,1,/ru/companies/croc/articles/
D:\untitled3\.\hubs\video_conferencing,null,747762,alcob,2023-07-13T09:00:59.000Z,885,,885,10,1,/ru/hubs/cloud_services/
D:\untitled3\.\hubs\video_conferencing,null,730676,CTI,2023-04-24T07:16:51.000Z,745,,745,2,0,/ru/companies/cti/articles/
D:\untitled3\.\hubs\video_conferencing,null,731014,ancotir,2023-04-23T11:38:39.000Z,2.5K,,2.5K,4,2,/ru/hubs/tech_events/
D:\untitled3\.\hubs\video_conferencing,null,729548,nikit6000,2023-04-17T11:20:01.000Z,2.2K,,2.2K,15,5,/ru/companies/cleverpumpkin/articles/
D:\untitled3\.\hubs\video_conferencing,null,728088,Maximov_psy,2023-04-10T12:01:46.000Z,1.3K,,1.3K,6,0,/ru/hubs/health/
D:\untitled3\.\hubs\video_conferencing,null,724362,Usikoff,2023-03-29T08:24:39.000Z,2.5K,,2.5K,6,0,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,723040,AlexeyGerasimov,2023-03-21T07:01:04.000Z,1.4K,,1.4K,14,6,/ru/companies/lanit/articles/
D:\untitled3\.\hubs\video_conferencing,null,721900,ivanova04,2023-03-13T03:19:41.000Z,9K,,9K,35,18,/ru/hubs/pm/
D:\untitled3\.\hubs\video_conferencing,null,714134,vcs_su,2023-02-01T09:58:26.000Z,2.8K,,2.8K,3,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,710524,baadzhi,2023-01-18T08:15:41.000Z,5K,,5K,22,9,/ru/hubs/python/
D:\untitled3\.\hubs\video_conferencing,null,707252,vcs_su,2022-12-23T10:11:57.000Z,3.9K,,3.9K,10,6,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,703990,ancotir,2022-12-07T08:42:48.000Z,3K,,3K,10,6,/ru/hubs/cpp/
D:\untitled3\.\hubs\video_conferencing,null,702766,Catherine_Romanova,2022-12-01T07:16:41.000Z,948,,948,5,7,/ru/companies/ipmatika/articles/
D:\untitled3\.\hubs\video_conferencing,null,699758,vcs_su,2022-11-17T08:53:41.000Z,3.5K,,3.5K,9,5,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,699160,CNS-it,2022-11-14T08:11:14.000Z,18K,,18K,29,24,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,696034,vcs_su,2022-10-28T10:54:19.000Z,2.2K,,2.2K,6,6,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,693044,vcs_su,2022-10-17T12:07:15.000Z,3.8K,,3.8K,9,0,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\video_conferencing,null,690432,lelyakuznetsova,2022-10-12T14:56:45.000Z,1.1K,,1.1K,4,0,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video_conferencing,null,691430,Zextras,2022-10-05T10:00:03.000Z,1.1K,,1.1K,3,0,/ru/companies/Zextras/articles/
D:\untitled3\.\hubs\video_conferencing,null,691470,tw0face,2022-10-04T13:52:12.000Z,8.4K,,8.4K,18,0,/ru/hubs/contentmarketing/
D:\untitled3\.\hubs\video_conferencing,null,688452,tolkkv,2022-09-16T12:06:10.000Z,7.4K,,7.4K,45,4,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video_conferencing,null,688484,vcs_su,2022-09-15T14:31:03.000Z,1.8K,,1.8K,7,1,/ru/hubs/ios_dev/
D:\untitled3\.\hubs\video_conferencing,null,685598,vcs_su,2022-08-31T09:31:55.000Z,5.3K,,5.3K,16,4,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,684370,JetHabr,2022-08-24T10:06:56.000Z,2.1K,,2.1K,7,7,/ru/companies/jetinfosystems/articles/
D:\untitled3\.\hubs\video_conferencing,null,682180,Hanamime,2022-08-12T10:00:01.000Z,4.3K,,4.3K,21,27,/ru/companies/sberbank/articles/
D:\untitled3\.\hubs\video_conferencing,null,681774,vcs_su,2022-08-10T09:04:44.000Z,1.4K,,1.4K,7,6,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,678068,arkhwise,2022-08-02T08:11:18.000Z,3.2K,,3.2K,25,1,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\video_conferencing,null,677668,vcs_su,2022-07-19T11:03:06.000Z,3.4K,,3.4K,10,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,669376,SoftAV,2022-07-12T11:42:40.000Z,3.4K,,3.4K,11,0,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,675820,alt_k,2022-07-08T07:31:29.000Z,3.6K,,3.6K,12,3,/ru/hubs/video/
D:\untitled3\.\hubs\video_conferencing,null,675766,GlobalSign_admin,2022-07-07T18:51:49.000Z,18K,,18K,69,21,/ru/companies/globalsign/articles/
D:\untitled3\.\hubs\video_conferencing,null,673288,vcs_su,2022-06-28T09:41:00.000Z,1.7K,,1.7K,7,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,666916,Usikoff,2022-06-23T10:32:13.000Z,1.7K,,1.7K,5,0,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,671942,Mitrokhin,2022-06-17T12:07:19.000Z,3.4K,,3.4K,10,0,/ru/companies/syssoft/articles/
D:\untitled3\.\hubs\video_conferencing,null,670076,vcs_su,2022-06-07T13:04:09.000Z,3.1K,,3.1K,7,2,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,669820,Metimol,2022-06-06T11:51:20.000Z,4.4K,,4.4K,18,2,/ru/hubs/browser_extensions/
D:\untitled3\.\hubs\video_conferencing,null,666156,dumasti,2022-05-30T08:27:46.000Z,6.5K,,6.5K,12,3,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\video_conferencing,null,667712,PatientZero,2022-05-30T06:35:01.000Z,36K,,36K,37,39,/ru/hubs/photo/
D:\untitled3\.\hubs\video_conferencing,null,667196,ontony,2022-05-23T07:10:37.000Z,2.4K,,2.4K,8,6,/ru/companies/croc/articles/
D:\untitled3\.\hubs\video_conferencing,null,665624,BIOCAD,2022-05-15T16:20:58.000Z,9.4K,,9.4K,20,24,/ru/companies/biocad/articles/
D:\untitled3\.\hubs\video_conferencing,null,660979,SoftAV,2022-05-05T13:18:08.000Z,5.2K,,5.2K,15,3,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,663318,Ents,2022-04-28T11:01:09.000Z,11K,,11K,28,15,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\video_conferencing,null,662592,rimecode,2022-04-24T00:07:43.000Z,4.8K,,4.8K,18,6,/ru/companies/hostkey/articles/
D:\untitled3\.\hubs\video_conferencing,null,660929,myoffice_ru,2022-04-14T12:03:42.000Z,4.4K,,4.4K,14,11,/ru/companies/ncloudtech/articles/
D:\untitled3\.\hubs\video_conferencing,null,660945,alcob,2022-04-14T11:22:46.000Z,21K,,21K,24,1,/ru/hubs/open_source/
D:\untitled3\.\hubs\video_conferencing,null,659057,Usikoff,2022-04-08T12:53:07.000Z,2.2K,,2.2K,16,8,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,659725,rimecode,2022-04-07T19:58:31.000Z,5.9K,,5.9K,27,15,/ru/companies/hostkey/articles/
D:\untitled3\.\hubs\video_conferencing,null,658009,EllinaGu,2022-03-29T14:26:53.000Z,44K,,44K,46,23,/ru/hubs/internetmarketing/
D:\untitled3\.\hubs\video_conferencing,null,656841,vcs_su,2022-03-22T12:14:58.000Z,12K,,12K,10,17,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,655273,Usikoff,2022-03-22T07:36:11.000Z,1.2K,,1.2K,12,0,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,654425,SoftAV,2022-03-05T08:03:19.000Z,10K,,10K,36,12,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,653199,DeverGent,2022-02-23T19:49:28.000Z,2K,,2K,13,2,/ru/hubs/javascript/
D:\untitled3\.\hubs\video_conferencing,null,652907,DeverGent,2022-02-22T08:19:25.000Z,1.5K,,1.5K,10,0,/ru/hubs/programming/
D:\untitled3\.\hubs\video_conferencing,null,651995,rimecode,2022-02-16T17:43:09.000Z,4.5K,,4.5K,22,10,/ru/companies/hostkey/articles/
D:\untitled3\.\hubs\video_conferencing,null,651315,Usikoff,2022-02-15T05:02:01.000Z,1.8K,,1.8K,10,2,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,649691,bskton,2022-02-10T06:01:02.000Z,5.5K,,5.5K,23,7,/ru/companies/skyeng/articles/
D:\untitled3\.\hubs\video_conferencing,null,648811,vcs_su,2022-02-01T10:25:24.000Z,1.1K,,1.1K,6,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,591863,SoftAV,2022-01-28T10:11:15.000Z,7.6K,,7.6K,13,0,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,646095,dimitrii_z,2022-01-17T20:49:41.000Z,4K,,4K,14,1,/ru/companies/trueconf/articles/
D:\untitled3\.\hubs\video_conferencing,null,598813,dimitrii_z,2021-12-30T13:07:59.000Z,3.4K,,3.4K,10,0,/ru/companies/trueconf/articles/
D:\untitled3\.\hubs\video_conferencing,null,598603,SHUstri,2021-12-29T12:30:37.000Z,2.6K,,2.6K,13,2,/ru/hubs/unreal_engine/
D:\untitled3\.\hubs\video_conferencing,null,597731,DrAndyHunter,2021-12-24T12:43:07.000Z,2.9K,,2.9K,24,0,/ru/hubs/programming/
D:\untitled3\.\hubs\video_conferencing,null,597485,UnitSolutions,2021-12-23T12:54:53.000Z,2.7K,,2.7K,6,0,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\video_conferencing,null,596073,KsanaVic,2021-12-21T13:30:12.000Z,12K,,12K,19,31,/ru/companies/trueconf/articles/
D:\untitled3\.\hubs\video_conferencing,null,595457,gavrilov_n_v,2021-12-14T10:09:41.000Z,1.9K,,1.9K,6,0,/ru/companies/huawei/articles/
D:\untitled3\.\hubs\video_conferencing,null,594547,ItisMarketing,2021-12-09T15:31:10.000Z,926,,926,1,0,/ru/companies/sezinnopolis/articles/
D:\untitled3\.\hubs\video_conferencing,null,593805,ashpilsky,2021-12-07T07:30:02.000Z,3.9K,,3.9K,15,0,/ru/companies/gcorelabs/articles/
D:\untitled3\.\hubs\video_conferencing,null,593031,MelkovaCROC,2021-12-03T06:30:02.000Z,3.1K,,3.1K,27,0,/ru/companies/croc/articles/
D:\untitled3\.\hubs\video_conferencing,null,592387,tester-it,2021-12-02T06:15:52.000Z,5.9K,,5.9K,18,17,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,580792,Usikoff,2021-11-29T15:08:17.000Z,15K,,15K,10,11,/ru/companies/sezinnopolis/articles/
D:\untitled3\.\hubs\video_conferencing,null,575358,alatobol,2021-11-24T14:04:37.000Z,18K,,18K,55,13,/ru/companies/vk/articles/
D:\untitled3\.\hubs\video_conferencing,null,589931,k_tultseva,2021-11-19T11:57:49.000Z,2.8K,,2.8K,14,3,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video_conferencing,null,589377,Nurked,2021-11-16T09:00:02.000Z,8.5K,,8.5K,60,20,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video_conferencing,null,589441,trueteam,2021-11-16T08:17:40.000Z,5.7K,,5.7K,11,13,/ru/companies/trueconf/articles/
D:\untitled3\.\hubs\video_conferencing,null,589359,viktordenisenko,2021-11-15T18:01:31.000Z,6.7K,,6.7K,11,9,/ru/hubs/robot/
D:\untitled3\.\hubs\video_conferencing,null,588220,Usikoff,2021-11-12T05:00:01.000Z,33K,,33K,34,111,/ru/hubs/business-laws/
D:\untitled3\.\hubs\video_conferencing,null,583404,JetHabr,2021-10-25T08:00:02.000Z,2.6K,,2.6K,9,0,/ru/companies/jetinfosystems/articles/
D:\untitled3\.\hubs\video_conferencing,null,584632,trueteam,2021-10-20T17:12:15.000Z,1K,,1K,2,6,/ru/companies/trueconf/articles/
D:\untitled3\.\hubs\video_conferencing,null,584046,Parinov,2021-10-18T09:58:35.000Z,9K,,9K,21,7,/ru/companies/trueconf/articles/
D:\untitled3\.\hubs\video_conferencing,null,580726,phillennium,2021-10-14T10:03:49.000Z,1.4K,,1.4K,11,2,/ru/companies/jugru/articles/
D:\untitled3\.\hubs\video_conferencing,null,581732,alatobol,2021-10-07T10:53:14.000Z,7.2K,,7.2K,34,11,/ru/companies/vk/articles/
D:\untitled3\.\hubs\video_conferencing,null,576528,Usikoff,2021-09-29T14:30:06.000Z,3K,,3K,11,0,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,570146,Usikoff,2021-08-27T07:35:43.000Z,2.9K,,2.9K,18,11,/ru/companies/stss/articles/
D:\untitled3\.\hubs\video_conferencing,null,574604,alatobol,2021-08-25T11:37:33.000Z,7.9K,,7.9K,29,24,/ru/companies/vk/articles/
D:\untitled3\.\hubs\video_conferencing,null,570804,Nesmiyanov,2021-08-16T09:00:01.000Z,22K,,22K,40,19,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\video_conferencing,null,568664,fpn,2021-07-28T05:05:02.000Z,12K,,12K,88,8,/ru/companies/flashphoner/articles/
