hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\videocards,popsci,776132,antonaleks605,2023-11-24T12:28:56.000Z,1.7K,,1.7K,28,6,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\videocards,popsci,774882,SergiiDia,2023-11-19T05:47:58.000Z,13K,,13K,16,96,/ru/hubs/hardware/
D:\untitled3\.\hubs\videocards,popsci,774766,Albert_Wesker,2023-11-18T08:01:01.000Z,3.5K,,3.5K,30,16,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\videocards,popsci,768946,bodyawm,2023-10-24T08:01:02.000Z,104K,,104K,117,145,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\videocards,popsci,766168,skovalev,2023-10-11T12:16:54.000Z,6.1K,,6.1K,12,3,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\videocards,popsci,762704,Xcom-shop,2023-09-22T06:40:41.000Z,20K,,20K,17,20,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\videocards,popsci,761626,SergiiDia,2023-09-17T23:45:14.000Z,20K,,20K,35,75,/ru/hubs/hardware/
D:\untitled3\.\hubs\videocards,popsci,758696,skovalev,2023-09-14T10:47:39.000Z,8.9K,,8.9K,17,29,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\videocards,popsci,760516,Xcom-shop,2023-09-12T12:29:52.000Z,8.5K,,8.5K,17,14,/ru/companies/x-com/articles/
D:\untitled3\.\hubs\videocards,popsci,756934,antonaleks605,2023-08-30T13:08:05.000Z,4.2K,,4.2K,42,8,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\videocards,popsci,756430,zatim,2023-08-29T07:01:01.000Z,10K,,10K,83,69,/ru/companies/timeweb/articles/
D:\untitled3\.\hubs\videocards,popsci,755386,TourmalineCore,2023-08-22T08:19:20.000Z,2.3K,,2.3K,19,3,/ru/hubs/linux/
D:\untitled3\.\hubs\videocards,popsci,743756,LuchS-lynx,2023-08-09T06:48:22.000Z,8.8K,,8.8K,86,33,/ru/hubs/linux/
D:\untitled3\.\hubs\videocards,popsci,752506,i_leech,2023-08-04T11:01:13.000Z,14K,,14K,94,41,/ru/hubs/open_source/
D:\untitled3\.\hubs\videocards,popsci,752458,s_valuev,2023-08-04T10:05:26.000Z,3.2K,,3.2K,25,3,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\videocards,popsci,749682,SergiiDia,2023-07-22T06:58:27.000Z,16K,,16K,24,177,/ru/hubs/hardware/
D:\untitled3\.\hubs\videocards,popsci,748544,antonaleks605,2023-07-18T11:23:44.000Z,5.1K,,5.1K,46,11,/ru/companies/selectel/articles/
