hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\virtualization,admin,776234,vStack,2023-11-24T14:05:37.000Z,927,,927,5,2,without_company
D:\untitled3\.\hubs\virtualization,admin,776188,arsis-ltd,2023-11-24T12:12:23.000Z,9.1K,,9.1K,127,17,without_company
D:\untitled3\.\hubs\virtualization,admin,773856,ptsecurity,2023-11-16T08:54:16.000Z,735,,735,11,1,without_company
D:\untitled3\.\hubs\virtualization,admin,774128,DrZub,2023-11-15T14:12:04.000Z,13K,,13K,34,22,without_company
D:\untitled3\.\hubs\virtualization,admin,773200,Cyberprotect,2023-11-10T15:08:00.000Z,1.2K,,1.2K,2,4,without_company
D:\untitled3\.\hubs\virtualization,admin,772916,ap_security,2023-11-09T13:16:29.000Z,1.3K,,1.3K,15,0,without_company
D:\untitled3\.\hubs\virtualization,admin,772412,DrZub,2023-11-07T17:00:56.000Z,13K,,13K,25,36,without_company
D:\untitled3\.\hubs\virtualization,admin,771326,Alexander_Sukharev,2023-11-01T13:26:35.000Z,2K,,2K,10,50,without_company
D:\untitled3\.\hubs\virtualization,admin,770662,vStack,2023-10-30T09:00:03.000Z,5.8K,,5.8K,50,3,without_company
D:\untitled3\.\hubs\virtualization,admin,770266,Cyberprotect,2023-10-27T09:01:44.000Z,1.4K,,1.4K,17,0,without_company
D:\untitled3\.\hubs\virtualization,admin,769878,orokhovatskiy,2023-10-25T12:30:58.000Z,12K,,12K,56,23,without_company
D:\untitled3\.\hubs\virtualization,admin,769360,DrZub,2023-10-23T14:24:56.000Z,16K,,16K,39,47,without_company
D:\untitled3\.\hubs\virtualization,admin,768818,ph_piter,2023-10-20T12:49:10.000Z,4.7K,,4.7K,40,31,without_company
D:\untitled3\.\hubs\virtualization,admin,768462,vStack,2023-10-19T09:00:05.000Z,6K,,6K,48,3,without_company
D:\untitled3\.\hubs\virtualization,admin,766670,vStack,2023-10-11T10:00:02.000Z,842,,842,5,1,without_company
D:\untitled3\.\hubs\virtualization,admin,766198,AERODISK,2023-10-09T09:32:01.000Z,667,,667,0,0,without_company
D:\untitled3\.\hubs\virtualization,admin,763890,DrZub,2023-09-29T11:28:21.000Z,6.5K,,6.5K,25,17,without_company
D:\untitled3\.\hubs\virtualization,admin,761408,pfemidi,2023-09-15T19:32:41.000Z,28K,,28K,162,60,without_company
D:\untitled3\.\hubs\virtualization,admin,760442,vStack,2023-09-12T09:45:59.000Z,2K,,2K,13,4,without_company
D:\untitled3\.\hubs\virtualization,admin,759692,AERODISK,2023-09-08T09:10:01.000Z,788,,788,3,1,without_company
D:\untitled3\.\hubs\virtualization,admin,759486,stazot,2023-09-07T11:20:40.000Z,5.8K,,5.8K,35,0,without_company
D:\untitled3\.\hubs\virtualization,admin,758642,Sivchenko_translate,2023-09-03T15:47:38.000Z,3.1K,,3.1K,18,6,without_company
D:\untitled3\.\hubs\virtualization,admin,757864,kvaps,2023-09-01T06:49:24.000Z,4K,,4K,26,10,without_company
D:\untitled3\.\hubs\virtualization,admin,756892,itNews,2023-08-25T08:57:12.000Z,14K,,14K,14,3,without_company
D:\untitled3\.\hubs\virtualization,admin,751746,kvaps,2023-08-25T07:14:08.000Z,17K,,17K,127,14,without_company
D:\untitled3\.\hubs\virtualization,admin,756360,dima_lvs,2023-08-23T07:19:44.000Z,2.6K,,2.6K,10,13,without_company
D:\untitled3\.\hubs\virtualization,admin,756058,kail0,2023-08-22T07:00:06.000Z,6.9K,,6.9K,89,14,without_company
D:\untitled3\.\hubs\virtualization,admin,743756,LuchS-lynx,2023-08-09T06:48:22.000Z,8.8K,,8.8K,86,33,without_company
D:\untitled3\.\hubs\virtualization,admin,752494,Agastos_sec,2023-08-08T07:01:31.000Z,8.9K,,8.9K,75,12,without_company
D:\untitled3\.\hubs\virtualization,admin,749482,dasafyev,2023-07-24T08:02:02.000Z,2.2K,,2.2K,15,0,without_company
D:\untitled3\.\hubs\virtualization,admin,749346,vStack,2023-07-20T11:25:04.000Z,1.4K,,1.4K,8,3,without_company
D:\untitled3\.\hubs\virtualization,admin,748326,ogun,2023-07-16T11:16:39.000Z,856,,856,4,0,without_company
D:\untitled3\.\hubs\virtualization,admin,747698,Cyberprotect,2023-07-14T12:26:03.000Z,6.2K,,6.2K,16,17,without_company
D:\untitled3\.\hubs\virtualization,admin,746820,vgorbatikov,2023-07-09T14:57:45.000Z,24K,,24K,43,46,without_company
D:\untitled3\.\hubs\virtualization,admin,745184,tykm,2023-06-30T14:56:12.000Z,1.6K,,1.6K,5,7,without_company
D:\untitled3\.\hubs\virtualization,admin,744996,SolarSecurity,2023-06-30T13:33:56.000Z,6.1K,,6.1K,42,2,without_company
