hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\voice_interfaces,null,776208,APPKODE,2023-11-24T13:11:11.000Z,1K,,1K,23,32,without_company
D:\untitled3\.\hubs\voice_interfaces,null,774212,BarakAdama,2023-11-16T09:00:03.000Z,17K,,17K,42,70,without_company
D:\untitled3\.\hubs\voice_interfaces,null,772416,akimovpro,2023-11-13T10:51:11.000Z,17K,,17K,57,25,without_company
D:\untitled3\.\hubs\voice_interfaces,null,769706,MR_VF,2023-10-26T21:06:29.000Z,5.5K,,5.5K,14,12,without_company
D:\untitled3\.\hubs\voice_interfaces,null,768562,AnatolyBelov,2023-10-20T07:56:05.000Z,4.9K,,4.9K,57,3,without_company
D:\untitled3\.\hubs\voice_interfaces,null,765558,ritabelkova,2023-10-13T10:25:38.000Z,2K,,2K,10,14,without_company
D:\untitled3\.\hubs\voice_interfaces,null,764880,AlexxIT,2023-10-09T06:00:19.000Z,14K,,14K,35,12,without_company
D:\untitled3\.\hubs\voice_interfaces,null,764102,Arseny_AI,2023-09-29T11:50:06.000Z,1.8K,,1.8K,24,0,without_company
D:\untitled3\.\hubs\voice_interfaces,null,763776,Alexey_Cherepetckoi,2023-09-27T08:51:15.000Z,658,,658,10,4,without_company
D:\untitled3\.\hubs\voice_interfaces,null,762252,MarkParker5,2023-09-20T09:27:41.000Z,6.6K,,6.6K,71,10,without_company
D:\untitled3\.\hubs\voice_interfaces,null,759858,AlexxIT,2023-09-19T06:04:55.000Z,17K,,17K,67,21,without_company
D:\untitled3\.\hubs\voice_interfaces,null,760570,LyudmilaAlt,2023-09-13T09:44:51.000Z,568,,568,3,0,without_company
D:\untitled3\.\hubs\voice_interfaces,null,756012,BosonBeard,2023-09-13T09:31:15.000Z,1.7K,,1.7K,27,0,without_company
D:\untitled3\.\hubs\voice_interfaces,null,756036,denis-19,2023-08-22T08:01:28.000Z,10K,,10K,6,14,without_company
D:\untitled3\.\hubs\voice_interfaces,null,754772,snakers4,2023-08-17T09:38:26.000Z,5K,,5K,33,15,without_company
D:\untitled3\.\hubs\voice_interfaces,null,754620,telecomgod,2023-08-15T06:20:07.000Z,1.3K,,1.3K,4,2,without_company
D:\untitled3\.\hubs\voice_interfaces,null,750238,kventinel,2023-07-26T07:58:08.000Z,15K,,15K,27,51,without_company
D:\untitled3\.\hubs\voice_interfaces,null,750306,Bottookku,2023-07-25T16:45:15.000Z,2.1K,,2.1K,16,1,without_company
D:\untitled3\.\hubs\voice_interfaces,null,744450,mvideo,2023-07-11T08:52:58.000Z,4.3K,,4.3K,6,30,without_company
D:\untitled3\.\hubs\voice_interfaces,null,744196,virtual_explorer,2023-06-27T10:25:01.000Z,4.4K,,4.4K,23,2,without_company
