hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\web_monetization,null,774218,tw0face,2023-11-16T10:06:13.000Z,455,,455,7,1,/ru/hubs/venturecap/
D:\untitled3\.\hubs\web_monetization,null,772810,tw0face,2023-11-09T08:59:49.000Z,1.2K,,1.2K,8,5,/ru/hubs/saas/
D:\untitled3\.\hubs\web_monetization,null,772496,its_capitan,2023-11-08T13:26:14.000Z,9.1K,,9.1K,26,39,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,771196,its_capitan,2023-11-01T09:28:46.000Z,17K,,17K,70,55,/ru/hubs/webdev/
D:\untitled3\.\hubs\web_monetization,null,769774,rumin_v_rabote,2023-10-25T08:13:43.000Z,29K,,29K,43,141,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,769438,tw0face,2023-10-24T04:41:38.000Z,1.9K,,1.9K,20,5,/ru/hubs/venturecap/
D:\untitled3\.\hubs\web_monetization,null,767634,tw0face,2023-10-16T06:20:33.000Z,840,,840,5,2,/ru/hubs/venturecap/
D:\untitled3\.\hubs\web_monetization,null,766450,tw0face,2023-10-10T08:58:50.000Z,2.1K,,2.1K,8,2,/ru/hubs/saas/
D:\untitled3\.\hubs\web_monetization,null,765550,tw0face,2023-10-06T06:37:14.000Z,1.6K,,1.6K,9,4,/ru/hubs/saas/
D:\untitled3\.\hubs\web_monetization,null,764144,ProductivityInside,2023-09-28T11:35:48.000Z,5.4K,,5.4K,19,9,/ru/companies/productivity_inside/articles/
D:\untitled3\.\hubs\web_monetization,null,763014,SiaShults,2023-09-23T15:46:26.000Z,2.4K,,2.4K,6,2,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,748160,Boomburum,2023-07-25T07:30:13.000Z,6.2K,,6.2K,18,107,/ru/companies/habr/articles/
D:\untitled3\.\hubs\web_monetization,null,746446,xeovo,2023-07-09T10:38:36.000Z,20K,,20K,79,98,/ru/companies/xeovo/articles/
D:\untitled3\.\hubs\web_monetization,null,743624,RTBSape,2023-06-23T17:52:35.000Z,850,,850,5,2,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,742890,xeovo,2023-06-21T12:39:13.000Z,11K,,11K,38,53,/ru/companies/xeovo/articles/
D:\untitled3\.\hubs\web_monetization,null,736932,RTBSape,2023-05-23T08:40:47.000Z,613,,613,1,0,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,728288,RTBSape,2023-04-11T09:02:47.000Z,949,,949,8,0,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,724212,drobushevkiy,2023-03-23T08:48:24.000Z,4.7K,,4.7K,50,7,/ru/hubs/php/
D:\untitled3\.\hubs\web_monetization,null,723230,makovke,2023-03-17T18:04:22.000Z,4K,,4K,10,3,/ru/companies/adminvps/articles/
D:\untitled3\.\hubs\web_monetization,null,722790,RTBSape,2023-03-16T10:05:42.000Z,6.3K,,6.3K,6,3,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,721998,ru_vds,2023-03-13T14:00:02.000Z,3.1K,,3.1K,33,2,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\web_monetization,null,497464,pragmatik,2023-02-17T12:28:14.000Z,199K,,199K,453,767,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,714848,Adlook,2023-02-04T11:48:17.000Z,3K,,3K,22,9,/ru/hubs/it_monetization/
D:\untitled3\.\hubs\web_monetization,null,713496,Adlook,2023-01-29T10:10:15.000Z,3.1K,,3.1K,32,4,/ru/hubs/it_monetization/
D:\untitled3\.\hubs\web_monetization,null,711584,revoltlab,2023-01-19T10:57:45.000Z,1.2K,,1.2K,7,6,/ru/hubs/server_side_optimization/
D:\untitled3\.\hubs\web_monetization,null,696064,RTBSape,2022-10-28T10:39:32.000Z,7.4K,,7.4K,5,0,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,686250,oma_marketer,2022-09-05T14:31:08.000Z,1.9K,,1.9K,8,0,/ru/hubs/growthhacking/
D:\untitled3\.\hubs\web_monetization,null,672074,RTBSape,2022-06-17T15:49:22.000Z,5.2K,,5.2K,6,4,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,666940,RTBSape,2022-05-20T15:34:24.000Z,3.9K,,3.9K,14,0,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,666654,PatientZero,2022-05-19T13:01:38.000Z,41K,,41K,213,102,/ru/hubs/webdev/
D:\untitled3\.\hubs\web_monetization,null,660711,gmtd,2022-04-13T11:32:47.000Z,5.6K,,5.6K,17,13,/ru/hubs/webdev/
D:\untitled3\.\hubs\web_monetization,null,658149,Christina29,2022-03-30T08:45:23.000Z,880,,880,9,0,/ru/companies/sberdevices/articles/
D:\untitled3\.\hubs\web_monetization,null,657451,RTBSape,2022-03-25T11:50:25.000Z,2.5K,,2.5K,9,0,/ru/hubs/web_monetization/
D:\untitled3\.\hubs\web_monetization,null,650473,echmel,2022-02-09T16:10:51.000Z,5.1K,,5.1K,26,0,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\web_monetization,null,648857,itel,2022-01-31T14:42:51.000Z,3K,,3K,18,42,/ru/hubs/p2p/
D:\untitled3\.\hubs\web_monetization,null,594973,Dier_Sergio_Great,2021-12-12T08:38:23.000Z,3.1K,,3.1K,8,2,/ru/hubs/webdev/
D:\untitled3\.\hubs\web_monetization,null,592411,RTBSape,2021-11-29T22:31:13.000Z,2K,,2K,10,9,/ru/hubs/webdev/
D:\untitled3\.\hubs\web_monetization,null,581296,SamuelNakshon,2021-10-04T06:15:10.000Z,3.9K,,3.9K,19,5,/ru/hubs/it_monetization/
D:\untitled3\.\hubs\web_monetization,null,579442,Anastasia_rova,2021-09-23T10:18:01.000Z,9.2K,,9.2K,28,3,/ru/companies/netologyru/articles/
D:\untitled3\.\hubs\web_monetization,null,575020,SanDark7,2021-08-29T11:07:42.000Z,4.6K,,4.6K,38,5,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\web_monetization,null,567948,sternina,2021-07-19T08:57:08.000Z,5.6K,,5.6K,21,10,/ru/hubs/usability/
D:\untitled3\.\hubs\web_monetization,null,566572,VasylArtiushchenko,2021-07-07T13:06:10.000Z,7.6K,,7.6K,11,0,/ru/hubs/weban/
D:\untitled3\.\hubs\web_monetization,null,560640,MegaplanCEO,2021-06-02T12:00:02.000Z,3.3K,,3.3K,32,6,/ru/hubs/it_monetization/
D:\untitled3\.\hubs\web_monetization,null,560116,host_m,2021-05-31T09:45:01.000Z,18K,,18K,53,29,/ru/companies/vdsina/articles/
D:\untitled3\.\hubs\web_monetization,null,558544,host_m,2021-05-21T09:29:01.000Z,20K,,20K,86,18,/ru/companies/vdsina/articles/
D:\untitled3\.\hubs\web_monetization,null,558588,Zaoserg,2021-05-21T08:32:46.000Z,1.5K,,1.5K,8,6,/ru/hubs/prototyping/
D:\untitled3\.\hubs\web_monetization,null,553748,Tagfelix,2021-04-22T10:16:07.000Z,19K,,19K,65,8,/ru/companies/tinkoff/articles/
