hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\weban,null,776102,MAKO_digital,2023-11-24T07:07:06.000Z,1.7K,,1.7K,8,4,without_company
D:\untitled3\.\hubs\weban,null,775938,SergeiKazarian,2023-11-23T12:45:58.000Z,1.7K,,1.7K,11,8,without_company
D:\untitled3\.\hubs\weban,null,774668,vikt-gord,2023-11-17T12:53:02.000Z,863,,863,8,2,without_company
D:\untitled3\.\hubs\weban,null,774520,MAKO_digital,2023-11-17T06:41:59.000Z,674,,674,4,4,without_company
D:\untitled3\.\hubs\weban,null,771874,akurilov,2023-11-04T12:34:30.000Z,426,,426,3,0,without_company
D:\untitled3\.\hubs\weban,null,771596,MAKO_digital,2023-11-03T11:00:01.000Z,4.9K,,4.9K,24,1,without_company
D:\untitled3\.\hubs\weban,null,771004,vlevena,2023-10-31T13:56:20.000Z,3.1K,,3.1K,21,12,without_company
D:\untitled3\.\hubs\weban,null,768860,MAKO_digital,2023-10-20T13:22:08.000Z,611,,611,6,2,without_company
D:\untitled3\.\hubs\weban,null,767362,MAKO_digital,2023-10-13T14:41:00.000Z,2.2K,,2.2K,16,0,without_company
D:\untitled3\.\hubs\weban,null,767118,badcasedaily1,2023-10-13T09:54:03.000Z,1.1K,,1.1K,26,2,without_company
D:\untitled3\.\hubs\weban,null,763152,blognetology,2023-09-25T07:27:01.000Z,1.3K,,1.3K,12,0,without_company
D:\untitled3\.\hubs\weban,null,762720,SuperLeha,2023-09-22T07:20:38.000Z,676,,676,4,0,without_company
D:\untitled3\.\hubs\weban,null,762046,wilelf,2023-09-21T09:11:29.000Z,937,,937,11,0,without_company
D:\untitled3\.\hubs\weban,null,762376,Ekamelev,2023-09-20T15:02:39.000Z,5.6K,,5.6K,64,9,without_company
D:\untitled3\.\hubs\weban,null,762340,estrizhak82,2023-09-20T13:18:06.000Z,2.1K,,2.1K,15,6,without_company
D:\untitled3\.\hubs\weban,null,762300,rumin_v_rabote,2023-09-20T11:37:23.000Z,2.5K,,2.5K,25,4,without_company
D:\untitled3\.\hubs\weban,null,761924,vontot-digital,2023-09-19T07:53:51.000Z,627,,627,3,2,without_company
D:\untitled3\.\hubs\weban,null,761278,MAKO_digital,2023-09-15T11:00:01.000Z,1.4K,,1.4K,7,0,without_company
D:\untitled3\.\hubs\weban,null,759912,perevalov_a,2023-09-09T09:44:38.000Z,40K,,40K,76,49,without_company
D:\untitled3\.\hubs\weban,null,759744,MAKO_digital,2023-09-08T11:00:01.000Z,7.9K,,7.9K,16,7,without_company
