hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\webdev,null,776260,Onde,2023-11-24T16:02:09.000Z,1.8K,,1.8K,12,4,/ru/hubs/web_design/
D:\untitled3\.\hubs\webdev,null,775978,SuperLeha,2023-11-24T15:12:31.000Z,422,,422,6,1,/ru/companies/newtel/articles/
D:\untitled3\.\hubs\webdev,null,772500,Konstantin_Loginovskikh,2023-11-22T11:56:03.000Z,1.2K,,1.2K,8,0,/ru/companies/cloud_ru/articles/
D:\untitled3\.\hubs\webdev,null,775624,To4KaXD,2023-11-22T09:51:41.000Z,5.5K,,5.5K,77,15,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,775330,andrey_stepanov1,2023-11-22T07:31:04.000Z,7.2K,,7.2K,78,9,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,775550,gmtd,2023-11-22T06:54:38.000Z,2.2K,,2.2K,22,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,775524,danila_egorenko,2023-11-22T06:15:02.000Z,11K,,11K,137,9,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,775398,isa3v,2023-11-21T12:11:05.000Z,1.6K,,1.6K,6,9,/ru/hubs/cms/
D:\untitled3\.\hubs\webdev,null,775318,rikki_tikki,2023-11-21T09:08:09.000Z,1.7K,,1.7K,39,3,/ru/companies/otus/articles/
D:\untitled3\.\hubs\webdev,null,775052,mr-pickles,2023-11-20T09:01:06.000Z,21K,,21K,111,26,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\webdev,null,771388,alizar,2023-11-20T09:00:01.000Z,13K,,13K,109,5,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\webdev,null,774822,RostislavDugin,2023-11-18T11:47:35.000Z,77K,,77K,147,165,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,774548,Parker0,2023-11-17T08:04:12.000Z,12K,,12K,132,25,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,769394,GreyTomcat,2023-11-16T11:23:02.000Z,16K,,16K,90,33,/ru/companies/netologyru/articles/
D:\untitled3\.\hubs\webdev,null,771438,bquadro,2023-11-16T06:41:32.000Z,2.6K,,2.6K,17,30,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,774112,BitterLollipop,2023-11-15T13:07:29.000Z,17K,,17K,222,28,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,774090,varlab,2023-11-15T11:40:27.000Z,6K,,6K,48,7,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,735034,glebmachine,2023-11-15T09:57:01.000Z,3.4K,,3.4K,33,3,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\webdev,null,773912,u4aew,2023-11-14T15:40:49.000Z,4.2K,,4.2K,70,1,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,772926,Boomburum,2023-11-13T13:45:39.000Z,21K,,21K,38,87,/ru/companies/habr/articles/
D:\untitled3\.\hubs\webdev,null,769180,mr-pickles,2023-11-13T08:55:18.000Z,1.5K,,1.5K,28,0,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\webdev,null,773474,1shaman,2023-11-13T08:23:02.000Z,1.5K,,1.5K,20,0,/ru/companies/first/articles/
D:\untitled3\.\hubs\webdev,null,772104,Cutcode,2023-11-12T11:52:38.000Z,5.2K,,5.2K,5,0,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,773236,DmitryKazakov8,2023-11-11T13:40:53.000Z,8K,,8K,64,26,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,773234,OlgaPy,2023-11-10T21:59:04.000Z,8.4K,,8.4K,18,21,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,772744,serge-krivoruchko,2023-11-10T07:10:01.000Z,6.5K,,6.5K,62,4,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\webdev,null,772994,shasoftX,2023-11-10T04:46:07.000Z,2.2K,,2.2K,14,15,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,772894,qmzik,2023-11-09T12:20:03.000Z,9.3K,,9.3K,25,5,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,772856,redmadrobot,2023-11-09T10:36:25.000Z,3K,,3K,34,0,/ru/companies/redmadrobot/articles/
D:\untitled3\.\hubs\webdev,null,769178,mr-pickles,2023-11-07T08:11:03.000Z,2K,,2K,26,1,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\webdev,null,772100,ranquild,2023-11-06T11:22:00.000Z,1.3K,,1.3K,21,0,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\webdev,null,771472,Bright_Translate,2023-11-03T13:00:02.000Z,22K,,22K,62,18,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\webdev,null,770146,ewolf,2023-11-03T09:00:05.000Z,5.7K,,5.7K,39,2,/ru/companies/avito/articles/
D:\untitled3\.\hubs\webdev,null,771566,dasafyev,2023-11-03T09:00:01.000Z,6.8K,,6.8K,39,10,/ru/companies/hostkey/articles/
D:\untitled3\.\hubs\webdev,null,771046,jehy,2023-11-02T08:00:02.000Z,3.1K,,3.1K,15,1,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\webdev,null,771196,its_capitan,2023-11-01T09:28:46.000Z,17K,,17K,70,55,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,771220,qmzik,2023-11-01T08:39:50.000Z,5.7K,,5.7K,8,3,/ru/hubs/webdev/
D:\untitled3\.\hubs\webdev,null,771160,Ivan006,2023-10-31T20:46:54.000Z,16K,,16K,43,21,/ru/hubs/web_design/
D:\untitled3\.\hubs\webdev,null,769176,mr-pickles,2023-10-30T08:15:30.000Z,4.3K,,4.3K,35,1,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\webdev,null,770066,sahsAGU,2023-10-30T04:32:02.000Z,3.9K,,3.9K,61,0,/ru/hubs/webdev/
