hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\wordpress,develop,774584,nikitaGlobal,2023-11-17T09:26:28.000Z,6.8K,,6.8K,33,7,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,764472,assdestr0yer,2023-09-29T15:19:43.000Z,24K,,24K,164,19,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,761520,m5xim,2023-09-18T09:48:07.000Z,2.9K,,2.9K,27,1,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,761506,m5xim,2023-09-18T06:03:02.000Z,654,,654,10,0,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,760954,mlstart,2023-09-14T06:47:36.000Z,8.6K,,8.6K,41,21,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,753264,adss332,2023-08-08T10:55:48.000Z,2.8K,,2.8K,30,15,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,728294,ex-mi,2023-04-11T09:16:43.000Z,4.2K,,4.2K,18,0,/ru/hubs/cms/
D:\untitled3\.\hubs\wordpress,develop,717506,ImFOXMF,2023-02-17T10:43:47.000Z,2.7K,,2.7K,9,8,/ru/hubs/cms/
D:\untitled3\.\hubs\wordpress,develop,708706,doctorweb,2022-12-30T13:02:55.000Z,4.6K,,4.6K,23,10,/ru/companies/drweb/articles/
D:\untitled3\.\hubs\wordpress,develop,707782,m5xim,2022-12-26T15:04:41.000Z,10K,,10K,29,10,/ru/hubs/cms/
D:\untitled3\.\hubs\wordpress,develop,706520,makasin4ik,2022-12-20T08:38:32.000Z,3.2K,,3.2K,24,2,/ru/companies/offlinecrm/articles/
D:\untitled3\.\hubs\wordpress,develop,706482,ilyachalov,2022-12-20T01:54:39.000Z,4.6K,,4.6K,16,5,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,704350,UprightMan,2022-12-13T08:06:02.000Z,15K,,15K,61,15,/ru/companies/first/articles/
D:\untitled3\.\hubs\wordpress,develop,699712,m5xim,2022-11-17T06:00:02.000Z,4K,,4K,15,0,/ru/hubs/cms/
D:\untitled3\.\hubs\wordpress,develop,699774,m5xim,2022-11-16T15:27:03.000Z,2.9K,,2.9K,17,3,/ru/hubs/cms/
D:\untitled3\.\hubs\wordpress,develop,697062,snezhko,2022-11-02T11:37:07.000Z,713,,713,10,0,/ru/companies/3cx/articles/
D:\untitled3\.\hubs\wordpress,develop,696650,kas_elvirov,2022-10-31T21:50:09.000Z,1.4K,,1.4K,11,7,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,687348,m5xim,2022-09-09T09:06:23.000Z,2.9K,,2.9K,23,3,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,686572,a1konstantin,2022-09-05T21:37:44.000Z,6.1K,,6.1K,36,14,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,682992,snezhko,2022-08-16T21:55:39.000Z,2.3K,,2.3K,21,6,/ru/companies/3cx/articles/
D:\untitled3\.\hubs\wordpress,develop,676798,Epsiloncool,2022-07-13T15:32:19.000Z,5.9K,,5.9K,28,43,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,664004,kot_review,2022-05-06T11:00:02.000Z,14K,,14K,61,11,/ru/companies/first/articles/
D:\untitled3\.\hubs\wordpress,develop,659329,RockyMotion,2022-04-06T07:32:26.000Z,11K,,11K,24,4,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,599307,Vel_Wild,2022-01-04T13:53:03.000Z,23K,,23K,16,119,/ru/hubs/cms/
D:\untitled3\.\hubs\wordpress,develop,598319,via-site,2021-12-28T08:13:35.000Z,3K,,3K,29,0,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,594999,nikkutuzov,2021-12-15T09:16:14.000Z,13K,,13K,42,41,/ru/hubs/hosting/
D:\untitled3\.\hubs\wordpress,develop,583324,Khov1,2021-10-13T15:52:22.000Z,4K,,4K,34,12,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,579700,easycode,2021-09-23T19:47:15.000Z,1.6K,,1.6K,7,2,/ru/hubs/wordpress/
D:\untitled3\.\hubs\wordpress,develop,579670,easycode,2021-09-23T16:53:28.000Z,4.5K,,4.5K,5,7,/ru/hubs/wordpress/
