hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\yandex_api,null,771160,Ivan006,2023-10-31T20:46:54.000Z,16K,,16K,43,21,without_company
D:\untitled3\.\hubs\yandex_api,null,764880,AlexxIT,2023-10-09T06:00:19.000Z,14K,,14K,35,12,without_company
D:\untitled3\.\hubs\yandex_api,null,759858,AlexxIT,2023-09-19T06:04:55.000Z,17K,,17K,67,21,without_company
D:\untitled3\.\hubs\yandex_api,null,754800,Roman_Sklyarenko,2023-08-18T10:28:18.000Z,4.5K,,4.5K,25,4,without_company
D:\untitled3\.\hubs\yandex_api,null,751302,Sargeras02,2023-07-30T09:00:57.000Z,7K,,7K,95,5,without_company
D:\untitled3\.\hubs\yandex_api,null,750306,Bottookku,2023-07-25T16:45:15.000Z,2.1K,,2.1K,16,1,without_company
D:\untitled3\.\hubs\yandex_api,null,749462,Prog-Time,2023-07-20T18:38:41.000Z,2.6K,,2.6K,13,15,without_company
D:\untitled3\.\hubs\yandex_api,null,749174,Prog-Time,2023-07-20T17:40:46.000Z,1.1K,,1.1K,9,2,without_company
D:\untitled3\.\hubs\yandex_api,null,749172,Prog-Time,2023-07-20T17:40:13.000Z,847,,847,9,0,without_company
D:\untitled3\.\hubs\yandex_api,null,749168,Prog-Time,2023-07-20T17:39:26.000Z,1.8K,,1.8K,10,2,without_company
D:\untitled3\.\hubs\yandex_api,null,749162,Prog-Time,2023-07-20T17:38:59.000Z,998,,998,9,0,without_company
D:\untitled3\.\hubs\yandex_api,null,749156,Prog-Time,2023-07-20T17:37:49.000Z,4K,,4K,18,11,without_company
D:\untitled3\.\hubs\yandex_api,null,744536,uranusq,2023-06-28T13:38:55.000Z,3.1K,,3.1K,30,0,without_company
D:\untitled3\.\hubs\yandex_api,null,743208,spetryaev,2023-06-21T22:04:25.000Z,3.4K,,3.4K,17,0,without_company
D:\untitled3\.\hubs\yandex_api,null,729406,ilfatx,2023-04-16T18:53:23.000Z,4.6K,,4.6K,40,7,without_company
D:\untitled3\.\hubs\yandex_api,null,725460,cherkalexander,2023-04-02T08:00:02.000Z,18K,,18K,113,48,without_company
D:\untitled3\.\hubs\yandex_api,null,720130,Kraleks,2023-03-02T21:13:19.000Z,23K,,23K,169,32,without_company
D:\untitled3\.\hubs\yandex_api,null,713968,mosx1,2023-01-31T12:54:52.000Z,5.2K,,5.2K,29,9,without_company
D:\untitled3\.\hubs\yandex_api,null,710366,Coder69,2023-01-24T06:00:02.000Z,10K,,10K,62,12,without_company
D:\untitled3\.\hubs\yandex_api,null,712064,mihailgok,2023-01-23T08:50:01.000Z,4.6K,,4.6K,15,3,without_company
D:\untitled3\.\hubs\yandex_api,null,710736,ArtyomMorozov1,2023-01-15T21:11:05.000Z,3.1K,,3.1K,34,0,without_company
D:\untitled3\.\hubs\yandex_api,null,706132,dmitryweb,2022-12-17T16:13:36.000Z,7.9K,,7.9K,10,4,without_company
D:\untitled3\.\hubs\yandex_api,null,702794,andetlt,2022-12-01T08:41:31.000Z,14K,,14K,28,80,without_company
D:\untitled3\.\hubs\yandex_api,null,701736,SirToxin,2022-11-25T22:15:37.000Z,5.4K,,5.4K,28,7,without_company
D:\untitled3\.\hubs\yandex_api,null,701478,steshenko,2022-11-24T19:52:10.000Z,14K,,14K,49,12,without_company
D:\untitled3\.\hubs\yandex_api,null,700944,Story-teller,2022-11-22T16:00:04.000Z,1.9K,,1.9K,20,2,without_company
D:\untitled3\.\hubs\yandex_api,null,699060,guinmoon,2022-11-13T13:30:05.000Z,36K,,36K,101,21,without_company
D:\untitled3\.\hubs\yandex_api,null,697206,AshBlade,2022-11-03T05:11:23.000Z,7.9K,,7.9K,54,4,without_company
D:\untitled3\.\hubs\yandex_api,null,690594,vb64,2022-09-29T07:20:25.000Z,7.3K,,7.3K,10,2,without_company
D:\untitled3\.\hubs\yandex_api,null,689766,NewTechAudit,2022-09-23T07:15:16.000Z,5.4K,,5.4K,47,0,without_company
D:\untitled3\.\hubs\yandex_api,null,685520,v_valentinvolkov,2022-08-30T16:29:21.000Z,7.5K,,7.5K,45,4,without_company
D:\untitled3\.\hubs\yandex_api,null,685062,v_valentinvolkov,2022-08-28T12:58:56.000Z,9K,,9K,56,14,without_company
D:\untitled3\.\hubs\yandex_api,null,684964,v_valentinvolkov,2022-08-27T13:31:37.000Z,20K,,20K,143,4,without_company
D:\untitled3\.\hubs\yandex_api,null,683080,Evrone,2022-08-17T10:52:23.000Z,6.9K,,6.9K,26,2,without_company
D:\untitled3\.\hubs\yandex_api,null,681566,Tikhonnn,2022-08-09T08:20:20.000Z,30K,,30K,76,6,without_company
D:\untitled3\.\hubs\yandex_api,null,674464,Madjogger,2022-07-06T22:47:09.000Z,15K,,15K,84,3,without_company
D:\untitled3\.\hubs\yandex_api,null,663980,Valentine5,2022-05-02T11:14:38.000Z,1.7K,,1.7K,6,0,without_company
D:\untitled3\.\hubs\yandex_api,null,657657,dimabelousov1,2022-03-27T13:58:10.000Z,8.3K,,8.3K,55,15,without_company
D:\untitled3\.\hubs\yandex_api,null,645719,bogdoslavik,2022-01-14T18:42:34.000Z,7.3K,,7.3K,32,7,without_company
D:\untitled3\.\hubs\yandex_api,null,645429,AlekseyBr,2022-01-13T12:01:31.000Z,3.2K,,3.2K,10,12,without_company
D:\untitled3\.\hubs\yandex_api,null,599087,ipolfirst,2022-01-02T08:22:10.000Z,12K,,12K,21,99,without_company
D:\untitled3\.\hubs\yandex_api,null,598759,dumasti,2021-12-30T10:01:24.000Z,5.1K,,5.1K,3,36,without_company
D:\untitled3\.\hubs\yandex_api,null,597739,iseed12,2021-12-24T12:55:49.000Z,2.3K,,2.3K,19,2,without_company
D:\untitled3\.\hubs\yandex_api,null,596537,IlyaNazarov_DigitalLab,2021-12-19T12:15:25.000Z,15K,,15K,32,1,without_company
D:\untitled3\.\hubs\yandex_api,null,583230,Story-teller,2021-10-13T11:05:38.000Z,6.6K,,6.6K,38,15,without_company
D:\untitled3\.\hubs\yandex_api,null,578594,boogiedk,2021-09-17T13:48:23.000Z,7K,,7K,65,1,without_company
D:\untitled3\.\hubs\yandex_api,null,573958,itsoft,2021-08-20T19:17:54.000Z,46K,,46K,52,458,without_company
D:\untitled3\.\hubs\yandex_api,null,565834,cointegrated,2021-07-02T11:35:40.000Z,42K,,42K,46,8,without_company
D:\untitled3\.\hubs\yandex_api,null,534488,alPTR,2020-12-22T15:19:46.000Z,78K,,78K,39,158,without_company
D:\untitled3\.\hubs\yandex_api,null,532928,antirek,2020-12-14T10:53:35.000Z,9.5K,,9.5K,34,3,without_company
D:\untitled3\.\hubs\yandex_api,null,530854,mzaharov,2020-12-02T22:54:26.000Z,8.1K,,8.1K,18,4,without_company
D:\untitled3\.\hubs\yandex_api,null,529128,ikanel,2020-11-20T14:11:45.000Z,5.7K,,5.7K,11,0,without_company
D:\untitled3\.\hubs\yandex_api,null,524270,MaxRokatansky,2020-10-20T10:31:14.000Z,14K,,14K,68,5,without_company
D:\untitled3\.\hubs\yandex_api,null,524082,Nireko,2020-10-19T11:38:47.000Z,8.3K,,8.3K,38,1,without_company
D:\untitled3\.\hubs\yandex_api,null,522126,Nireko,2020-10-05T14:27:23.000Z,10K,,10K,59,13,without_company
D:\untitled3\.\hubs\yandex_api,null,515222,Lubiviy_Alexander,2020-08-14T18:56:10.000Z,4.8K,,4.8K,38,1,without_company
D:\untitled3\.\hubs\yandex_api,null,514380,maksim-zakharov,2020-08-09T22:43:06.000Z,15K,,15K,59,3,without_company
D:\untitled3\.\hubs\yandex_api,null,513884,water_arm,2020-08-05T07:25:01.000Z,2.1K,,2.1K,12,2,without_company
D:\untitled3\.\hubs\yandex_api,null,512902,Lubiviy_Alexander,2020-07-28T21:40:24.000Z,5K,,5K,31,7,without_company
D:\untitled3\.\hubs\yandex_api,null,511692,maksim-zakharov,2020-07-20T08:38:13.000Z,19K,,19K,47,9,without_company
D:\untitled3\.\hubs\yandex_api,null,509550,denismosolov,2020-07-04T13:13:13.000Z,2.3K,,2.3K,13,0,without_company
D:\untitled3\.\hubs\yandex_api,null,508106,AlexxIT,2020-06-26T05:50:35.000Z,104K,,104K,165,42,without_company
D:\untitled3\.\hubs\yandex_api,null,506372,Farwit,2020-06-11T13:03:08.000Z,3.5K,,3.5K,9,6,without_company
D:\untitled3\.\hubs\yandex_api,null,505500,rednaxi,2020-06-08T13:37:22.000Z,39K,,39K,54,19,without_company
D:\untitled3\.\hubs\yandex_api,null,504496,just_ai,2020-06-03T13:28:17.000Z,7.7K,,7.7K,44,9,without_company
D:\untitled3\.\hubs\yandex_api,null,503000,denismosolov,2020-05-20T15:49:02.000Z,8.2K,,8.2K,22,7,without_company
D:\untitled3\.\hubs\yandex_api,null,492204,Kuznetsov_Dmitry,2020-03-13T12:02:56.000Z,14K,,14K,45,5,without_company
D:\untitled3\.\hubs\yandex_api,null,491760,mzaharov,2020-03-10T21:47:04.000Z,15K,,15K,43,26,without_company
D:\untitled3\.\hubs\yandex_api,null,490242,SIMCom_RUS,2020-02-27T13:16:21.000Z,7.3K,,7.3K,43,6,without_company
D:\untitled3\.\hubs\yandex_api,null,489772,cointegrated,2020-02-26T16:44:57.000Z,1.8K,,1.8K,12,4,without_company
D:\untitled3\.\hubs\yandex_api,null,487428,MarshalX,2020-02-07T13:00:59.000Z,17K,,17K,93,10,without_company
D:\untitled3\.\hubs\yandex_api,null,486876,mzaharov,2020-02-06T21:07:50.000Z,42K,,42K,225,28,without_company
D:\untitled3\.\hubs\yandex_api,null,440374,mzaharov,2020-01-23T21:54:50.000Z,9.4K,,9.4K,38,10,without_company
D:\untitled3\.\hubs\yandex_api,null,483922,alex1iam,2020-01-14T11:40:27.000Z,36K,,36K,102,20,without_company
D:\untitled3\.\hubs\yandex_api,null,478122,mzaharov,2019-12-24T21:07:54.000Z,13K,,13K,69,2,without_company
D:\untitled3\.\hubs\yandex_api,null,479242,Krupnikas,2019-12-23T14:51:36.000Z,91K,,91K,135,29,without_company
D:\untitled3\.\hubs\yandex_api,null,480284,DmitryKolpo,2019-12-14T15:16:25.000Z,31K,,31K,42,6,without_company
D:\untitled3\.\hubs\yandex_api,null,479432,iosnick,2019-12-11T10:13:19.000Z,7.5K,,7.5K,23,0,without_company
D:\untitled3\.\hubs\yandex_api,null,479102,iosnick,2019-12-06T17:11:29.000Z,3.9K,,3.9K,8,7,without_company
D:\untitled3\.\hubs\yandex_api,null,476484,Andrey_Shatilo,2019-11-19T10:39:43.000Z,1.5K,,1.5K,10,2,without_company
D:\untitled3\.\hubs\yandex_api,null,472798,sdd-technology,2019-10-23T23:06:10.000Z,7.4K,,7.4K,19,6,without_company
