hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\yii,develop,740788,ipatiev,2023-06-08T20:19:56.000Z,2.7K,,2.7K,18,2,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,727930,DarkDef,2023-06-01T08:58:01.000Z,7.7K,,7.7K,44,24,/ru/companies/oleg-bunin/articles/
D:\untitled3\.\hubs\yii,develop,737662,SamDark,2023-05-25T16:53:59.000Z,5.4K,,5.4K,9,7,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,718444,NikoX,2023-02-22T12:00:00.000Z,6K,,6K,16,15,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,714802,Helldar,2023-02-03T21:16:30.000Z,4.3K,,4.3K,30,39,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,697676,xEpozZ,2022-11-29T15:14:17.000Z,3.5K,,3.5K,12,4,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,700420,SamDark,2022-11-20T11:23:08.000Z,4.4K,,4.4K,12,0,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,699312,mozg3000tm,2022-11-14T16:16:52.000Z,1.8K,,1.8K,8,8,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,697586,xEpozZ,2022-11-07T12:31:30.000Z,3.8K,,3.8K,20,0,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,697580,Krivodanov,2022-11-05T17:36:27.000Z,2.4K,,2.4K,6,12,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,695664,xEpozZ,2022-10-26T14:04:02.000Z,11K,,11K,31,13,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,689968,mozg3000tm,2022-09-24T15:37:37.000Z,2K,,2K,8,58,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,688090,mozg3000tm,2022-09-13T17:46:48.000Z,2.1K,,2.1K,11,77,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,677408,FoxDev,2022-07-17T19:47:26.000Z,4.4K,,4.4K,17,13,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,671074,AlexLeonov,2022-06-13T10:44:55.000Z,6.9K,,6.9K,16,7,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,662545,AlexLeonov,2022-05-08T10:15:04.000Z,6.2K,,6.2K,12,5,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,664030,SamDark,2022-05-02T17:48:27.000Z,7.5K,,7.5K,9,3,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,657873,AlexLeonov,2022-04-03T09:54:41.000Z,7.3K,,7.3K,25,27,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,655399,AlexLeonov,2022-03-13T15:08:38.000Z,34K,,34K,176,13,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,652753,pronskiy,2022-02-21T13:07:01.000Z,13K,,13K,32,12,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,650145,pronskiy,2022-02-07T11:42:15.000Z,11K,,11K,27,17,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,647491,pronskiy,2022-01-24T13:38:20.000Z,12K,,12K,21,10,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,645429,AlekseyBr,2022-01-13T12:01:31.000Z,3.2K,,3.2K,10,12,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,599935,pronskiy,2022-01-10T13:38:28.000Z,13K,,13K,27,6,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,598899,SamDark,2021-12-30T18:20:32.000Z,4.4K,,4.4K,9,7,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,597505,spasibo_kep,2021-12-29T07:05:01.000Z,4K,,4K,3,4,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,598189,pronskiy,2021-12-27T13:52:23.000Z,11K,,11K,21,14,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,595501,spasibo_kep,2021-12-20T11:58:18.000Z,6K,,6K,11,3,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,595309,pronskiy,2021-12-13T15:35:33.000Z,8.1K,,8.1K,18,11,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,592621,pronskiy,2021-11-30T16:44:30.000Z,9.9K,,9.9K,30,12,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,590529,Holyboom,2021-11-21T11:11:05.000Z,13K,,13K,49,4,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,589229,pronskiy,2021-11-15T11:45:22.000Z,11K,,11K,19,11,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,589019,tempick,2021-11-14T01:40:14.000Z,10K,,10K,8,16,/ru/hubs/yii/
D:\untitled3\.\hubs\yii,develop,585326,pronskiy,2021-10-25T10:28:48.000Z,11K,,11K,27,10,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,582776,pronskiy,2021-10-11T11:44:33.000Z,11K,,11K,20,12,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,580210,pronskiy,2021-09-27T12:53:02.000Z,11K,,11K,25,3,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,577660,pronskiy,2021-09-13T13:06:46.000Z,11K,,11K,28,1,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,575354,pronskiy,2021-08-30T12:09:36.000Z,10K,,10K,26,19,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,573940,SamDark,2021-08-20T15:25:03.000Z,8.3K,,8.3K,11,11,/ru/hubs/php/
D:\untitled3\.\hubs\yii,develop,573184,pronskiy,2021-08-16T14:10:45.000Z,11K,,11K,22,5,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,569626,pronskiy,2021-07-26T10:37:59.000Z,9.4K,,9.4K,19,6,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,567228,pronskiy,2021-07-12T08:39:04.000Z,8.6K,,8.6K,17,21,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,566394,genkovich,2021-07-06T12:44:59.000Z,9.6K,,9.6K,54,118,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,565202,pronskiy,2021-06-29T08:33:41.000Z,11K,,11K,28,21,/ru/hubs/webdev/
D:\untitled3\.\hubs\yii,develop,562718,pronskiy,2021-06-14T21:10:14.000Z,12K,,12K,20,8,/ru/hubs/webdev/
