hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\zadachki,null,775570,Bright_Translate,2023-11-24T13:00:01.000Z,55K,,55K,256,137,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\zadachki,null,775988,iMonin,2023-11-23T14:28:17.000Z,7.5K,,7.5K,32,127,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,775464,DrArgentum,2023-11-21T15:30:38.000Z,5.6K,,5.6K,34,25,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,771414,Doctor_IT,2023-11-14T07:55:11.000Z,6.4K,,6.4K,9,76,/ru/companies/selectel/articles/
D:\untitled3\.\hubs\zadachki,null,772858,Bright_Translate,2023-11-12T10:00:01.000Z,19K,,19K,48,96,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\zadachki,null,773288,Timofey_Gladkiy,2023-11-11T12:31:12.000Z,9K,,9K,93,13,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,773092,CyberLight,2023-11-10T09:02:23.000Z,3.2K,,3.2K,14,0,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,773034,PicoPicoRobotWoman,2023-11-10T08:30:17.000Z,24K,,24K,82,27,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,772758,AndanteMQ,2023-11-09T09:02:44.000Z,3.1K,,3.1K,24,1,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,772748,AndanteMQ,2023-11-09T06:58:46.000Z,4.4K,,4.4K,19,16,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,770464,iMonin,2023-10-28T08:43:26.000Z,37K,,37K,177,173,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,768916,iMonin,2023-10-20T16:09:08.000Z,8.3K,,8.3K,33,7,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,768818,ph_piter,2023-10-20T12:49:10.000Z,4.7K,,4.7K,40,31,/ru/companies/piter/articles/
D:\untitled3\.\hubs\zadachki,null,767618,mr-pickles,2023-10-16T09:10:22.000Z,4.9K,,4.9K,58,2,/ru/companies/wunderfund/articles/
D:\untitled3\.\hubs\zadachki,null,767488,AKlimenkov,2023-10-14T15:24:06.000Z,42K,,42K,102,36,/ru/companies/bercut/articles/
D:\untitled3\.\hubs\zadachki,null,765234,vadimr,2023-10-04T09:06:46.000Z,14K,,14K,19,153,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,764718,iGeni,2023-10-02T06:03:15.000Z,4.5K,,4.5K,58,41,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,763706,SimsiGenerativeBot,2023-09-27T06:51:57.000Z,6.6K,,6.6K,48,5,/ru/hubs/open_source/
D:\untitled3\.\hubs\zadachki,null,762850,CurasaoRG,2023-09-26T15:14:01.000Z,2K,,2K,17,2,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\zadachki,null,763372,aabzel,2023-09-25T22:59:18.000Z,3K,,3K,8,16,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,763048,iMonin,2023-09-24T08:06:43.000Z,16K,,16K,52,50,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,758484,serk0,2023-09-21T07:30:01.000Z,5.7K,,5.7K,32,10,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\zadachki,null,761560,AKlimenkov,2023-09-17T15:07:39.000Z,92K,,92K,113,285,/ru/companies/bercut/articles/
D:\untitled3\.\hubs\zadachki,null,761460,Satvalduev,2023-09-16T09:35:15.000Z,1.9K,,1.9K,11,5,/ru/hubs/infosecurity/
D:\untitled3\.\hubs\zadachki,null,760960,jasiejames,2023-09-14T08:14:01.000Z,14K,,14K,54,27,/ru/companies/first/articles/
D:\untitled3\.\hubs\zadachki,null,760510,ilusha_sergeevich,2023-09-12T12:12:53.000Z,23K,,23K,88,235,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,759094,iMonin,2023-09-05T16:37:29.000Z,11K,,11K,45,130,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,756272,iMonin,2023-08-22T17:21:05.000Z,15K,,15K,54,55,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,754940,lazy_mathematician,2023-08-16T09:20:31.000Z,4K,,4K,30,14,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,754090,Sergey_Kovalenko,2023-08-15T18:23:35.000Z,29K,,29K,97,297,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,751778,LeonID_L,2023-08-01T12:38:21.000Z,26K,,26K,84,15,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,750572,ajaxtpm,2023-07-28T10:20:45.000Z,2.4K,,2.4K,13,1,/ru/companies/pt/articles/
D:\untitled3\.\hubs\zadachki,null,750890,Dlougach,2023-07-27T17:57:46.000Z,10K,,10K,73,11,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,750314,omyhosts,2023-07-25T17:11:27.000Z,7.2K,,7.2K,17,11,/ru/companies/ispsystem/articles/
D:\untitled3\.\hubs\zadachki,null,749600,Amina_Zubairova,2023-07-21T12:47:28.000Z,2.6K,,2.6K,21,12,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,748372,Sivchenko_translate,2023-07-16T21:24:31.000Z,19K,,19K,71,73,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,746516,jasiejames,2023-07-07T08:45:01.000Z,1.6K,,1.6K,21,0,/ru/companies/first/articles/
D:\untitled3\.\hubs\zadachki,null,745880,e1vanov,2023-07-07T07:02:01.000Z,2.8K,,2.8K,31,4,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,743810,brawaga,2023-06-27T04:00:01.000Z,9.2K,,9.2K,36,8,/ru/companies/yandex_praktikum/articles/
D:\untitled3\.\hubs\zadachki,null,743762,alexanderskulikov,2023-06-25T15:07:16.000Z,6.8K,,6.8K,55,139,/ru/hubs/sport_programming/
D:\untitled3\.\hubs\zadachki,null,742978,jasiejames,2023-06-21T08:04:01.000Z,1.7K,,1.7K,26,19,/ru/companies/first/articles/
D:\untitled3\.\hubs\zadachki,null,742276,demitryy,2023-06-20T03:00:01.000Z,12K,,12K,38,48,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,741170,BestChange,2023-06-11T15:49:25.000Z,1.2K,,1.2K,8,3,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,741108,JackFaiSeT,2023-06-10T18:01:20.000Z,36K,,36K,137,4,/ru/hubs/zadachki/
D:\untitled3\.\hubs\zadachki,null,739460,samsergey,2023-06-02T10:48:28.000Z,4.2K,,4.2K,42,7,/ru/hubs/zadachki/
